id,scenario,kernel,horizon,scale,envOrder,searchHistory,optimaGuess,reward,start,instructionsComplete,end,ExperimentDuration,instructionDuration,age,gender,processDescription
1,0,0,0,"[76,66,77,73,71,68,68,62,75,62,60,62,68,74,74,66]","[9,37,28,31,33,12,25,10,22,2,5,14,36,23,11,39]","{""xcollect"":[[4,5,3,6,2,11],[2,3,1,9,17,18,16,14,23,22,23],[22,13,7,8,6,9],[16,5,6,4,3,22,29,26,12,11,13],[19,8,3,24,29,15],[16,9,4,21,26,1,6,12,18,23,17],[2,9,16,17,15,17],[9,10,8,11,15,16,14,19,23,27,2],[14,5,2,21,22,20],[4,13,24,21,7,8,6,5,2,0,29],[29,7,13,6,8,3],[10,20,25,14,3,0,7,28,29,17,18],[11,12,7,4,21,22],[29,28,27,26,25,24,23,22,21,20,19],[19,14,9,6,5,4],[29,17,11,8,4,3,5,6,0,1,2]],""ycollect"":[[93,74,78,49,58,23],[91,95,53,7,69,45,74,65,90,73,91],[41,33,81,94,35,68],[40,98,66,102,49,28,49,56,81,49,69],[29,52,55,45,42,61],[57,39,56,31,0,12,6,32,46,26,24],[46,64,99,79,65,78],[99,99,51,54,101,51,61,39,63,57,11],[32,40,61,76,42,84],[33,43,65,42,100,71,92,63,27,70,54],[15,82,50,60,81,76],[45,49,55,1,29,10,44,18,10,65,48],[51,47,63,51,64,69],[70,94,87,71,93,99,70,55,54,55,46],[35,36,47,58,96,70],[40,63,59,66,70,54,76,54,23,21,34]],""ycollectScaled"":[[76,61,64,42,49,22],[65,68,40,10,51,35,54,48,64,53,65],[37,30,67,77,32,57],[34,77,53,79,41,25,41,46,64,41,55],[26,42,44,37,35,48],[44,32,43,26,5,13,9,27,36,23,21],[36,49,72,59,49,58],[66,66,37,38,68,37,43,29,44,40,12],[29,35,51,62,37,68],[25,32,45,31,67,49,62,44,22,48,38],[14,54,35,41,54,51],[33,35,39,6,23,11,32,16,11,45,35],[40,37,48,40,49,52],[57,75,69,58,74,78,57,46,45,46,39],[31,32,40,48,76,57],[31,47,44,49,51,41,55,41,20,19,27]]}","16,102,72",1.01,22/02/2017 17:49:18,22/02/2017 17:50:10,22/02/2017 17:53:34,0:04:16,0:00:52,34,1,I tried to find high valued squares and to click around them for more high valued squares
2,0,0,1,"[66,72,77,64,76,75,72,77,62,77,60,68,76,73,64,64]","[11,38,35,8,14,3,36,33,2,20,12,7,15,22,37,21]","{""xcollect"":[[22,23,21,20,16,4,3,5,6,13,10],[27,26,25,24,28,29],[0,1,2,3,4,11,12,10,7,19,20],[3,4,2,1,13,14],[27,26,28,11,16,17,15,22,21,23,24],[12,11,10,9,13,14],[0,3,8,6,9,10,15,14,16,17,18],[18,17,16,10,9,11],[21,12,15,18,24,27,6,5,7,8,2],[12,13,11,10,9,8],[4,7,1,11,14,15,13,19,23,26,28],[20,19,21,22,23,13],[23,22,21,20,13,15,17,18,8,7,6],[6,7,5,13,17,18],[5,4,6,8,7,16,17,15,18,14,13],[20,18,22,13,12,14]],""ycollect"":[[91,55,99,65,34,72,32,96,58,23,23],[56,56,59,40,81,100],[51,66,69,72,68,37,26,42,46,99,82],[86,55,99,82,45,27],[56,53,18,38,78,68,41,100,87,96,84],[94,99,98,66,77,67],[42,42,70,65,92,73,77,50,86,87,100],[60,73,47,87,56,72],[40,22,-1,23,62,49,94,66,100,70,27],[47,0,46,71,100,52],[55,6,13,37,101,95,51,27,26,1,42],[55,16,100,74,37,68],[61,71,73,68,7,41,56,32,58,65,78],[51,47,40,42,69,31],[85,49,91,23,48,74,72,75,44,65,30],[53,55,-1,66,44,55]],""ycollectScaled"":[[65,41,70,48,27,53,26,68,43,20,20],[45,45,47,34,63,77],[44,56,58,60,57,33,25,37,40,81,68],[60,40,68,57,34,22],[48,45,19,34,64,57,36,81,71,78,69],[76,79,79,55,63,55],[35,35,55,52,71,58,60,41,67,68,77],[51,61,41,72,48,60],[30,19,4,19,43,35,63,46,67,48,22],[41,5,40,60,82,45],[38,9,13,27,66,62,36,21,21,6,30],[42,16,73,55,30,51],[51,59,60,57,10,36,48,29,49,54,64],[42,39,34,36,55,28],[59,36,63,20,36,52,51,53,33,47,24],[39,40,4,47,33,40]]}","5,41,31",1.04,22/02/2017 17:21:59,22/02/2017 17:22:41,22/02/2017 17:25:53,0:03:54,0:00:42,24,1,"Honed in on areas with large bonuses, if I could find none, I\\'d sample randomly across the row."
3,0,1,0,"[78,66,80,80,80,78,60,66,80,62,64,78,61,76,66,70]","[32,27,6,10,17,3,5,30,38,33,11,31,8,26,12,9]","{""xcollect"":[[1,7,8,9,10,9],[29,23,17,16,18,17,17,17,17,17,17],[23,2,8,14,14,14],[3,4,16,17,18,17,17,17,17,17,17],[15,22,7,14,15,15],[23,14,13,12,13,13,13,13,13,13,13],[14,6,13,15,16,15],[0,1,0,0,0,0,0,0,0,0,0],[23,15,14,15,15,15],[26,18,6,12,23,27,25,25,25,25,25],[10,22,3,2,4,3],[1,11,24,4,2,0,0,0,0,0,0],[2,10,11,9,8,9],[1,11,21,22,20,19,18,17,18,18,18],[23,4,15,15,15,15],[5,11,21,26,27,28,29,28,28,28,28]],""ycollect"":[[4,61,72,83,64,82],[52,66,85,78,84,88,87,86,85,86,86],[39,17,6,100,96,100],[65,57,91,100,93,100,101,99,99,99,101],[58,41,0,49,57,57],[0,75,101,97,100,100,100,99,98,100,100],[91,39,82,99,93,100],[100,98,100,98,100,99,100,100,101,100,101],[65,99,77,100,101,102],[71,61,21,34,44,64,73,72,71,73,74],[30,0,70,68,63,70],[57,9,8,42,47,68,66,66,67,68,66],[9,95,84,99,96,98],[24,24,64,49,72,87,102,90,99,100,101],[64,56,98,99,97,99],[7,23,28,46,62,66,39,65,67,66,64]],""ycollectScaled"":[[8,53,61,70,55,69],[39,49,61,56,60,63,62,62,61,62,62],[36,19,10,85,82,85],[57,51,78,85,79,85,86,84,84,84,86],[51,38,5,44,51,51],[5,64,84,81,83,83,83,82,81,83,83],[60,28,54,64,61,65],[71,70,71,70,71,70,71,71,72,71,72],[57,84,67,85,86,87],[49,43,18,26,32,45,50,50,49,50,51],[24,5,50,49,45,50],[49,12,11,38,42,58,56,56,57,58,56],[10,63,56,65,64,65],[23,23,54,42,60,71,83,73,80,81,82],[47,42,70,70,69,70],[10,21,25,37,48,51,32,51,52,51,50]]}","28,66,51",1.26,22/02/2017 17:37:57,22/02/2017 17:39:06,22/02/2017 17:44:47,0:06:50,0:01:09,32,0,I clicked a few times to find a large amount and then repeatedly clicked the biggest number I had revealed.
4,1,0,0,"[68,61,60,77,71,60,71,68,67,77,64,76,71,68,70,73]","[19,12,13,6,7,32,23,20,21,16,3,31,39,26,22,36]","{""xcollect"":[[9,6,15,21,16,14],[1,17,25,11,8,4,3,5,14,15,12],[24,23,22,25,14,7],[11,10,9,12,13,4,2,1,3,22,25],[0,10,19,25,26,24],[29,28,27,12,10,11,9,13,14,3,2],[16,15,17,14,13,18],[29,10,10,7,3,15,20,23,18,11,9],[4,9,13,14,12,23],[15,14,13,12,11,22,23,24,21,20,25],[29,23,17,14,12,11],[14,13,12,11,6,4,3,5,2,21,22],[25,24,26,27,17,14],[27,21,18,14,10,7,4,1,11,12,13],[19,18,14,11,8,5],[3,14,20,23,28,15,12,16,17,18,19]],""ycollect"":[[54,29,57,25,48,96],[12,26,24,36,22,55,13,38,102,95,32],[84,86,70,60,63,95],[77,90,71,77,63,17,72,19,44,25,96],[-1,21,15,49,28,44],[90,98,61,88,89,71,58,90,50,87,73],[90,83,66,68,69,51],[7,71,71,19,17,47,2,10,55,44,100],[50,58,65,52,44,38],[73,92,97,87,84,93,99,76,97,72,56],[36,40,37,67,91,101],[19,72,80,50,63,100,49,99,45,28,30],[65,33,71,48,65,18],[52,72,38,51,59,3,11,55,82,77,42],[28,34,32,11,58,40],[44,48,49,25,22,75,46,83,89,101,73]],""ycollectScaled"":[[42,25,44,22,38,70],[12,21,20,27,18,39,13,28,67,63,25],[55,57,47,41,43,62],[64,74,60,64,54,18,60,20,39,24,79],[4,20,16,40,25,36],[59,64,42,58,58,48,40,59,35,57,49],[69,64,52,53,54,41],[10,53,53,18,17,37,6,12,42,35,73],[39,44,49,40,34,30],[61,76,80,72,70,77,81,64,80,60,48],[28,31,29,48,63,70],[19,60,66,43,53,81,42,80,39,26,28],[51,28,55,39,51,18],[40,54,31,40,45,7,12,42,61,57,34],[25,29,27,13,46,33],[37,40,41,23,21,60,39,66,70,79,58]]}","18,100,78",1.06,22/02/2017 17:22:08,22/02/2017 17:23:20,22/02/2017 17:26:26,0:04:18,0:01:12,30,1,Tried to find that cluster early and then explore only that
5,1,0,1,"[71,72,62,78,79,75,75,76,61,71,68,64,68,63,61,73]","[22,9,15,12,39,38,25,16,29,30,37,35,7,6,8,2]","{""xcollect"":[[13,23,4,10,8,6,7,9,29,28,29],[12,26,25,24,27,28],[11,10,9,7,10,12,27,23,21,19,20],[19,11,6,10,14,15],[3,4,5,6,7,8,9,10,19,25,26],[17,12,15,14,16,26],[15,14,13,12,16,17,18,25,29,0,1],[16,7,7,6,7,8],[1,5,3,9,12,16,13,10,23,26,27],[10,9,8,11,12,13],[22,21,23,24,25,26,27,8,8,7,3],[16,17,15,14,13,3],[23,15,5,0,4,3,28,19,10,7,7],[6,23,22,24,25,26],[6,7,5,4,3,2,1,26,23,19,20],[13,12,6,5,7,8]],""ycollect"":[[40,0,19,47,60,52,45,45,71,52,72],[0,69,77,62,73,97],[89,98,78,64,98,45,22,61,72,46,69],[28,37,6,27,100,94],[52,70,74,51,60,65,62,53,-1,63,72],[40,33,94,63,68,57],[67,61,65,17,101,79,34,29,42,53,37],[17,97,99,63,98,78],[61,72,61,66,61,54,38,74,40,80,35],[74,92,35,68,81,39],[72,68,92,89,99,101,56,23,23,49,94],[97,78,92,81,58,71],[39,35,60,0,10,9,44,15,19,42,43],[40,65,25,100,97,51],[67,58,76,53,86,98,80,54,46,83,30],[45,19,94,64,100,73]],""ycollectScaled"":[[33,5,18,38,48,42,37,37,55,42,56],[5,55,60,50,58,75],[60,66,53,45,66,33,19,43,50,34,48],[27,34,10,26,83,78],[46,60,63,45,52,56,54,47,4,55,62],[35,30,76,52,56,48],[55,51,54,18,81,64,31,27,37,45,33],[18,79,80,53,79,64],[42,49,42,45,42,38,28,50,29,54,26],[58,70,30,53,63,33],[54,51,68,66,72,74,43,21,21,38,69],[67,55,64,57,42,50],[32,29,46,5,12,11,35,15,18,34,34],[30,46,21,68,66,37],[46,40,51,37,57,65,54,38,33,56,23],[38,19,74,52,78,58]]}","7,102,79",1.16,22/02/2017 17:34:26,22/02/2017 17:36:13,22/02/2017 17:39:31,0:05:05,0:01:47,23,0,I tried to click around the high numbers to increase my bonus.
6,1,1,0,"[65,76,74,62,64,69,65,60,72,71,61,60,74,60,63,63]","[28,31,26,18,21,2,15,9,13,10,36,22,24,30,16,29]","{""xcollect"":[[11,12,9,10,13,14],[26,2,3,1,1,0,4,5,6,17,15],[13,26,3,4,2,1],[24,23,22,25,26,27,28,29,21,8,6],[20,21,22,23,19,18],[24,6,1,3,1,0,2,1,1,0,1],[3,4,5,6,6,6],[22,4,0,1,28,27,29,9,15,14,18],[11,26,25,27,28,29],[2,1,3,4,5,24,12,11,9,10,13],[27,26,2,17,16,15],[8,10,9,11,12,13,7,24,2,28,18],[29,28,27,26,19,18],[13,27,3,2,1,0,4,22,18,8,9],[13,14,12,15,16,26],[29,16,6,2,23,22,21,20,18,17,19]],""ycollect"":[[47,76,3,17,96,99],[31,46,46,59,58,67,40,24,15,25,44],[1,7,40,42,34,25],[87,65,40,99,101,94,83,72,18,49,93],[101,79,58,54,99,72],[13,-1,101,56,99,100,73,102,100,101,99],[71,87,101,97,96,100],[2,-2,65,39,66,61,38,6,38,15,101],[13,98,84,101,89,78],[60,51,64,57,45,43,56,67,56,67,40],[59,36,53,79,82,66],[77,100,93,96,79,53,43,4,15,33,39],[66,61,56,56,73,66],[3,25,68,90,99,102,42,4,40,54,66],[94,98,63,83,51,47],[58,37,32,51,56,59,58,67,89,70,81]],""ycollectScaled"":[[36,54,7,16,67,69],[29,40,40,50,49,56,35,23,16,24,38],[6,10,35,36,30,24],[59,45,30,66,68,63,56,50,16,35,63],[70,56,42,40,68,51],[14,4,75,44,73,74,55,75,74,75,73],[51,62,71,68,67,70],[6,4,44,28,45,42,28,9,28,14,66],[14,76,65,78,69,61],[48,41,50,45,37,36,45,53,45,53,33],[41,27,37,53,55,45],[51,65,61,63,52,37,31,7,14,25,28],[54,50,46,46,59,54],[7,20,46,59,64,66,30,7,29,37,45],[64,67,45,57,37,35],[42,28,25,37,40,42,42,47,61,49,56]]}","10,26,21",1.11,22/02/2017 18:03:56,22/02/2017 18:05:30,22/02/2017 18:08:58,0:05:02,0:01:34,34,0,How did you try to increase your performance bonus?Varied where I clicked but when found a high number clicked around it
7,0,0,0,"[70,75,65,70,79,71,79,63,65,62,78,62,66,73,80,79]","[34,4,24,30,6,29,35,10,3,21,12,8,22,39,37,25]","{""xcollect"":[[27,26,25,24,26,26],[23,22,21,24,25,26,24,24,24,24,24],[12,12,12,12,12,12],[23,22,24,24,24,24,24,24,24,24,24],[25,25,25,25,25,25],[12,11,10,9,10,10,10,10,10,10,10],[25,24,23,22,20,21],[4,6,7,8,5,3,10,10,10,10,10],[22,21,20,19,18,21],[8,9,10,7,6,7,7,7,7,7,7],[24,22,19,20,21,18],[10,9,11,12,13,14,16,18,18,18,18],[29,28,27,26,26,26],[9,10,11,8,7,6,5,4,5,5,5],[26,26,26,26,26,26],[0,1,4,6,6,6,6,6,6,6,6]],""ycollect"":[[50,63,55,43,63,62],[63,38,37,83,67,55,83,82,81,82,83],[95,95,97,98,96,97],[59,11,99,100,100,101,102,100,102,99,100],[96,96,96,99,98,98],[59,63,75,65,76,74,76,75,74,75,73],[5,0,30,71,82,73],[31,56,40,51,40,28,99,100,99,98,98],[52,73,47,0,24,73],[83,56,38,99,57,98,101,99,101,101,102],[29,39,27,17,33,46],[63,41,67,62,46,29,24,99,100,101,99],[72,51,100,96,94,95],[64,53,58,65,63,50,75,69,75,78,75],[102,99,100,100,102,98],[52,35,30,68,71,70,70,70,70,70,72]],""ycollectScaled"":[[40,49,44,35,49,48],[52,34,33,67,55,46,67,67,66,67,67],[67,67,68,69,67,68],[46,13,74,75,75,76,76,75,76,74,75],[81,81,81,83,82,82],[47,50,58,51,59,58,59,58,58,58,57],[9,5,29,61,70,63],[25,40,30,37,30,23,67,68,67,67,67],[39,52,36,5,21,52],[56,40,29,66,40,66,68,66,68,68,68],[28,35,26,18,31,41],[44,30,47,43,34,23,20,66,67,68,66],[53,39,71,68,67,68],[52,44,47,52,51,42,60,55,60,62,60],[87,84,85,85,87,83],[46,33,29,59,61,60,60,60,60,60,62]]}","6,72,62",1.24,22/02/2017 18:08:18,22/02/2017 18:09:30,22/02/2017 18:12:46,0:04:28,0:01:12,29,1,How did you try to increase your performance bonus?  If the uncovered box was a high value I repeatedly clicked that same box.  If the value was lower I clicked the boxes around to find the highest value box in range.
8,0,0,1,"[79,63,62,69,70,71,66,80,80,60,77,76,70,69,79,76]","[3,7,36,31,25,30,39,2,6,8,29,20,32,26,38,1]","{""xcollect"":[[14,13,12,11,10,9,10,10,10,10,10],[17,9,3,26,17,17],[17,17,17,17,17,17,17,17,17,17,17],[22,14,10,5,5,5],[7,8,6,7,7,7,7,7,7,7,7],[13,21,17,6,3,6],[26,25,27,26,26,26,26,26,26,26,26],[5,6,6,6,6,6],[7,13,14,15,14,14,14,14,14,14,14],[29,15,11,10,12,11],[23,15,10,9,11,10,10,10,10,10,10],[28,13,7,2,21,2],[12,13,11,14,13,12,13,13,13,13,13],[27,26,25,24,25,25],[24,15,15,15,15,15,15,15,15,15,15],[19,12,11,13,13,13]],""ycollect"":[[68,78,94,98,99,64,101,101,100,99,98],[46,8,11,29,46,44],[89,88,89,88,90,89,88,87,89,88,90],[29,17,20,100,98,98],[80,54,70,77,78,79,78,80,79,80,80],[40,37,34,40,35,41],[71,63,48,71,70,72,70,73,71,71,71],[66,96,95,95,93,95],[10,64,81,40,80,80,79,79,80,81,80],[32,13,68,64,61,68],[39,25,74,63,63,74,75,76,75,74,75],[28,1,21,37,11,38],[89,88,72,50,89,89,90,90,89,88,89],[54,79,98,84,102,100],[39,94,92,94,93,94,93,95,94,95,93],[12,67,32,87,85,87]],""ycollectScaled"":[[59,67,79,82,83,56,85,85,84,83,82],[34,10,12,23,34,33],[60,60,60,60,61,60,60,59,60,60,61],[25,17,19,74,73,73],[61,43,54,59,60,60,60,61,60,61,61],[33,31,29,33,30,34],[52,47,37,52,51,53,51,53,52,52,52],[58,82,81,81,79,81],[13,56,70,37,69,69,68,68,69,70,69],[24,13,46,43,42,46],[35,24,62,54,54,62,63,64,63,62,63],[26,6,21,33,13,34],[67,67,55,40,67,67,68,68,67,67,67],[42,60,73,63,75,74],[36,79,78,79,78,79,78,80,79,80,78],[14,56,29,71,70,71]]}","13,87,71",1.23,22/02/2017 17:35:53,22/02/2017 17:37:30,22/02/2017 17:41:26,0:05:33,0:01:37,28,1,"If the revealed tile was high, I would search very close by for the tile I would click the rest of my clicks with. If it was low I would explore around to see if I could find a higher tile to get more points."
9,0,1,0,"[73,74,70,65,73,76,65,72,66,62,69,60,65,61,80,63]","[6,35,2,29,13,23,8,19,0,16,3,39,26,27,9,21]","{""xcollect"":[[6,17,24,25,23,27],[8,15,21,22,20,19,18,17,16,14,25],[13,20,25,6,2,1],[14,6,19,20,18,17,16,15,21,26,22],[29,28,27,26,25,24],[28,27,29,25,22,23,24,26,19,20,21],[0,7,8,6,5,9],[3,2,4,5,6,7,8,9,10,11,12],[11,10,12,9,8,7],[1,7,14,15,13,16,17,12,11,22,24],[1,10,11,9,12,13],[15,14,16,13,12,11,17,10,9,18,19],[8,7,9,6,5,10],[8,16,17,15,18,19,20,21,22,26,27],[9,14,20,21,19,18],[2,3,1,4,5,0,6,7,8,9,10]],""ycollect"":[[22,31,59,60,37,31],[52,57,91,74,101,97,85,77,65,52,61],[30,28,17,-1,74,102],[12,32,83,67,90,71,33,11,56,3,59],[77,90,101,101,83,56],[92,100,70,45,26,11,19,82,87,82,56],[1,83,97,65,50,100],[72,60,91,99,92,83,85,87,80,67,58],[90,99,75,94,62,24],[57,58,99,81,93,53,28,63,38,75,73],[11,57,78,50,99,99],[92,99,83,101,86,66,73,51,41,61,41],[91,96,65,75,49,40],[31,78,87,70,85,71,63,60,60,100,91],[5,13,63,26,92,99],[92,82,95,71,56,87,44,40,28,13,-1]],""ycollectScaled"":[[21,28,48,49,32,28],[43,47,72,60,80,77,68,62,53,43,50],[26,25,17,4,57,76],[13,26,59,49,64,51,26,12,41,7,43],[61,71,79,79,66,46],[75,81,58,39,25,13,19,67,71,67,48],[6,59,68,47,38,70],[57,48,71,76,71,65,66,68,63,53,47],[64,70,55,67,46,21],[40,41,66,55,63,38,22,44,29,52,50],[13,44,59,40,73,73],[60,64,55,66,57,45,49,36,30,42,30],[64,67,47,54,37,31],[24,53,58,48,57,48,43,42,42,66,61],[9,15,55,26,79,84],[63,57,65,50,40,60,33,30,23,13,4]]}","2,94,64",1.13,22/02/2017 17:36:58,22/02/2017 17:37:36,22/02/2017 17:40:39,0:03:41,0:00:38,27,1,"It depended on the number of clicks and the starting position - sometimes, I would explore and take chances, while sometimes, I had to be more conservative."
10,0,1,1,"[73,72,78,62,76,77,73,61,71,74,78,77,62,60,64,78]","[25,4,26,30,7,28,31,32,3,38,37,13,14,24,36,6]","{""xcollect"":[[19,10,9,8,6,7,2,1,3,0,4],[23,22,21,20,24,19],[22,10,4,16,17,18,19,20,1,27,21],[18,7,12,2,1,0],[1,2,0,14,12,11,10,13,9,8,7],[5,1,16,17,14,13],[27,14,21,22,20,10,7,5,2,0,18],[12,5,2,7,9,10],[19,21,17,25,27,14,12,13,15,7,5],[28,29,27,26,23,22],[13,12,14,15,17,18,19,20,16,21,22],[12,8,5,3,1,0],[10,14,6,2,1,0,3,19,22,20,17],[20,18,23,26,11,8],[12,11,13,10,9,8,4,17,18,15,23],[6,2,15,16,14,13]],""ycollect"":[[25,58,63,70,63,66,98,100,84,89,69],[94,100,96,87,79,74],[49,42,40,61,92,100,87,71,22,32,62],[40,38,20,88,100,101],[68,53,59,51,99,91,79,84,81,92,101],[48,19,81,72,100,96],[17,29,100,83,57,30,22,23,47,65,-1],[16,66,0,62,82,62],[56,18,5,26,26,72,100,101,29,53,34],[74,88,64,59,63,48],[61,51,66,69,85,89,81,76,78,74,70],[25,6,71,74,79,69],[33,17,-1,96,100,83,72,59,49,47,66],[76,65,61,57,60,101],[94,99,70,94,83,65,50,78,58,67,18],[23,17,88,63,100,95]],""ycollectScaled"":[[23,47,51,56,51,53,77,78,66,70,55],[73,77,74,68,62,58],[43,38,36,53,77,83,73,60,22,30,53],[30,29,17,60,67,68],[57,45,50,44,80,74,65,69,67,75,82],[42,20,67,60,82,79],[17,26,78,66,47,27,21,22,39,52,4],[15,45,5,43,55,43],[45,18,9,23,23,56,76,77,26,43,29],[60,70,52,49,52,41],[53,45,56,59,71,74,68,64,66,63,60],[24,10,60,62,66,58],[25,16,4,65,67,56,50,42,35,34,46],[51,44,42,39,41,66],[65,68,50,65,58,47,37,55,42,48,17],[23,18,74,54,83,79]]}","12,74,63",1.12,22/02/2017 17:54:30,22/02/2017 17:58:10,22/02/2017 18:08:40,0:14:10,0:03:40,60,0,I clicked at even intervals till i saw colors darken then i narrowed.
