"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","overall","Horizon","tau","lambda","beta"
"1",1,1,5,73.1641084166508,0.43,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,1,"Short",0.0380424027107897,0.905024743336261,0.33661530151033
"2",1,2,3,0.786153227202399,0.43,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,1,"Short",0.0380424027107897,0.905024743336261,0.33661530151033
"3",1,3,14,13.4367208001501,0.43,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,1,"Short",0.0380424027107897,0.905024743336261,0.33661530151033
"4",1,4,9,6.40245056068167,0.43,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,1,"Short",0.0380424027107897,0.905024743336261,0.33661530151033
"5",1,5,5,5.71068533948004,0.43,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,1,"Short",0.0380424027107897,0.905024743336261,0.33661530151033
"6",1,6,18,100,0.43,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,1,"Short",0.0380424027107897,0.905024743336261,0.33661530151033
"7",1,1,26,100,0.41,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,"Long",0.00673794779085991,0.445033715828803,0.558576172104427
"8",1,2,14,68.6909082339062,0.45,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,"Long",0.00673794779085991,0.445033715828803,0.558576172104427
"9",1,3,26,61.088627480364,0.45,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,"Long",0.00673794779085991,0.445033715828803,0.558576172104427
"10",1,4,26,61.088627480364,0.45,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,"Long",0.00673794779085991,0.445033715828803,0.558576172104427
"11",1,5,26,61.088627480364,0.45,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,"Long",0.00673794779085991,0.445033715828803,0.558576172104427
"12",1,6,26,61.088627480364,0.45,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,"Long",0.00673794779085991,0.445033715828803,0.558576172104427
"13",1,7,26,61.088627480364,0.45,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,"Long",0.00673794779085991,0.445033715828803,0.558576172104427
