"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"1",1,"Cumulative","Rough",397.067090298374,"BMT","UCB",0.0271389608279443,1.01,0.924633260636143,NA,4.05787515426494,0.0100098696684012,"BMT-UCB",0.876543209876543
"2",2,"Cumulative","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.04,0.105140944773302,NA,16.8510937508468,0.0326222464351994,"BMT-UCB",0.876543209876543
"3",3,"Cumulative","Smooth",214.131752705076,"BMT","UCB",0.475352038619336,1.26,7.36461980263027,NA,0.0140235110637041,0.00673923253037652,"BMT-UCB",0.876543209876543
"4",4,"Best","Rough",396.56912834371,"BMT","UCB",0.0283590261431504,1.06,3.88507634141359,NA,2.24657476948766,0.0148278413319295,"BMT-UCB",0.876543209876543
"5",5,"Best","Rough",408.730966559614,"BMT","UCB",-0.0014389068864431,1.16,0.298900628311423,NA,0.263980279323942,0.141902466473416,"BMT-UCB",0.876543209876543
"6",6,"Best","Smooth",410.248631790526,"BMT","UCB",-0.00515736507584252,1.11,1.3212743427301,NA,0.295311103050845,0.0101405187504842,"BMT-UCB",0.876543209876543
"7",7,"Cumulative","Rough",196.550692904802,"BMT","UCB",0.518427701460566,1.24,5.26349966345681,NA,0.0729542260215379,0.00946821135141339,"BMT-UCB",0.876543209876543
"8",8,"Cumulative","Rough",260.293729942372,"BMT","UCB",0.362249768895685,1.23,2.61196990100397,NA,0.0231939338444939,0.0437148991664592,"BMT-UCB",0.876543209876543
"9",9,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.13,0.299954979839605,NA,13.0011093992373,0.0624827625979824,"BMT-UCB",0.876543209876543
"10",10,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.12,0.338345736477828,NA,16.2579807863636,0.141251561266431,"BMT-UCB",0.876543209876543
"11",11,"Best","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.15,0.64606695776114,NA,10.0183313561251,0.0171125114157481,"BMT-UCB",0.876543209876543
"12",12,"Best","Rough",401.349688356354,"BMT","UCB",0.0166460922451775,1.01,1.75852671594925,NA,0.235092408070087,0.0953829309024866,"BMT-UCB",0.876543209876543
"13",13,"Best","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.22,0.563564251619189,NA,14.6039381539104,0.0583562331955802,"BMT-UCB",0.876543209876543
"14",14,"Best","Smooth",396.482014310806,"BMT","UCB",0.0285724657624198,1.2,2.3944916187716,NA,26.5492359456408,0.0808881580886533,"BMT-UCB",0.876543209876543
"15",15,"Cumulative","Rough",410.417847636122,"BMT","UCB",-0.00557196378576408,1.05,0.00673800111841644,NA,3.21196238063954,0.187284260347813,"BMT-UCB",0.876543209876543
"16",16,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.13,0.0792133594096038,NA,15.3343629145599,0.120734002987551,"BMT-UCB",0.876543209876543
"17",17,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.17,0.196252421089063,NA,15.3283340575403,0.0362400903311314,"BMT-UCB",0.876543209876543
"18",18,"Best","Rough",396.652270029377,"BMT","UCB",0.0281553192414877,1.06,1.72236518423756,NA,6.11963663723187,0.170745867762734,"BMT-UCB",0.876543209876543
"19",19,"Best","Rough",398.202314374154,"BMT","UCB",0.0243575284175507,1.12,1.68984411721249,NA,42.5319039102925,0.265204285669953,"BMT-UCB",0.876543209876543
"20",20,"Best","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.16,0.0716566793313769,NA,10.7033205321121,0.0451799336861639,"BMT-UCB",0.876543209876543
"21",21,"Best","Smooth",399.552015280241,"BMT","UCB",0.0210506025650953,1.35,1.22956185074383,NA,0.682128743539351,0.037968955062497,"BMT-UCB",0.876543209876543
"22",22,"Cumulative","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.09,0.213357314766844,NA,7.19971182340858,0.0321937834643257,"BMT-UCB",0.876543209876543
"23",23,"Cumulative","Rough",396.448538167954,"BMT","UCB",0.0286544862469119,0.95,1.76687276323795,NA,35.4064671499563,0.140069106823474,"BMT-UCB",0.876543209876543
"24",24,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.17,0.0574764098623501,NA,9.27862057387806,0.0370726522928304,"BMT-UCB",0.876543209876543
"25",25,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.02,0.321243776337922,NA,8.64575804991312,0.0228737008376785,"BMT-UCB",0.876543209876543
"26",26,"Best","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.21,0.121024837284467,NA,6.60188960724579,0.0483115095677298,"BMT-UCB",0.876543209876543
"27",27,"Best","Rough",87.5796565912578,"BMT","UCB",0.785419547971912,0.58,0.283078084430622,NA,0.0235836335336653,0.00673794988409116,"BMT-UCB",0.876543209876543
"28",28,"Best","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.19,0.177009577086418,NA,14.0127638992912,0.0392090984424473,"BMT-UCB",0.876543209876543
"29",29,"Best","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.2,0.564551041745837,NA,12.4766753881676,0.0367140167181373,"BMT-UCB",0.876543209876543
"30",30,"Cumulative","Rough",318.058799274625,"BMT","UCB",0.220718559809098,1.25,6.4225872587206,NA,0.125791527848889,0.00673878559569725,"BMT-UCB",0.876543209876543
"31",31,"Cumulative","Rough",212.667285019146,"BMT","UCB",0.478940156571136,1.11,3.76732512145767,NA,0.0103081443085783,0.00951428549786507,"BMT-UCB",0.876543209876543
"32",32,"Cumulative","Smooth",352.632961004146,"BMT","UCB",0.136007800014302,1.17,1.97186689358014,NA,0.216318271868411,0.0199948632022009,"BMT-UCB",0.876543209876543
"33",33,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.18,0.142431148411183,NA,9.93050131284937,0.0317439676567337,"BMT-UCB",0.876543209876543
"34",34,"Best","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,0.82,0.12946209963194,NA,12.5612549956687,0.0546448277204577,"BMT-UCB",0.876543209876543
"35",35,"Best","Rough",383.85705694543,"BMT","UCB",0.0595050951393677,0.92,12.0197215539086,NA,0.0677933406734018,0.00673803505579148,"BMT-UCB",0.876543209876543
"36",36,"Best","Smooth",338.506037220242,"BMT","UCB",0.1706204236452,1.36,3.74111168496646,NA,0.15960243043657,0.0226223945106348,"BMT-UCB",0.876543209876543
"37",37,"Best","Smooth",398.292911830777,"BMT","UCB",0.0241355540007578,1.17,3.69348808210138,NA,1.19726881940023,0.012724263630488,"BMT-UCB",0.876543209876543
"38",38,"Cumulative","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,0.99,0.0780738088186048,NA,15.5670050942654,0.0919799488077762,"BMT-UCB",0.876543209876543
"39",39,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.04,0.0938283947013802,NA,12.3117938765054,0.0483216334024051,"BMT-UCB",0.876543209876543
"40",40,"Best","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.19,0.105150962625027,NA,22.2582717949372,0.0914641665868035,"BMT-UCB",0.876543209876543
"41",41,"Best","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.15,0.113108203808619,NA,18.0293502564202,0.0301110580571029,"BMT-UCB",0.876543209876543
"42",42,"Best","Smooth",395.35096552609,"BMT","UCB",0.0313436682189768,1.21,1.53477641543965,NA,40.3064567588427,0.249468192038682,"BMT-UCB",0.876543209876543
"43",43,"Best","Smooth",311.383840334204,"BMT","UCB",0.237072993731912,0.96,2.36653139042307,NA,0.172694869611352,0.0284457430652802,"BMT-UCB",0.876543209876543
"44",44,"Cumulative","Rough",265.296637412762,"BMT","UCB",0.349992057593376,1.28,8.96431919412426,NA,0.0115206118220783,0.00673831563484788,"BMT-UCB",0.876543209876543
"45",45,"Cumulative","Rough",237.319996880633,"BMT","UCB",0.418538115037162,1.27,3.93047296634574,NA,0.0778314858670202,0.0119551586915432,"BMT-UCB",0.876543209876543
"46",46,"Cumulative","Smooth",396.375713366906,"BMT","UCB",0.0288329155686978,1.11,0.136249607504301,NA,1.20978613243481,0.0124762535608448,"BMT-UCB",0.876543209876543
"47",47,"Best","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.28,0.164644570703659,NA,10.1910923354818,0.109845817673705,"BMT-UCB",0.876543209876543
"48",48,"Best","Rough",400.62964032765,"BMT","UCB",0.0184102945439194,1.21,11.7232576158311,NA,0.430027195475422,0.00819002156667982,"BMT-UCB",0.876543209876543
"49",49,"Best","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.17,0.295051944602688,NA,13.4605611760197,0.119957450419422,"BMT-UCB",0.876543209876543
"50",50,"Best","Smooth",442.849157485339,"BMT","UCB",-0.0850324846209509,1.21,4.80413287393158,NA,0.293839826018905,0.011929521324285,"BMT-UCB",0.876543209876543
"51",51,"Cumulative","Rough",398.064377235557,"BMT","UCB",0.0246954906190917,1.02,6.5751819610312,NA,0.352033783141962,0.0168316348627622,"BMT-UCB",0.876543209876543
"52",52,"Cumulative","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.03,0.40271195833566,NA,13.7185006580467,0.0303958754246816,"BMT-UCB",0.876543209876543
"53",53,"Cumulative","Smooth",329.994494897665,"BMT","UCB",0.191474702710928,1.29,7.83129267401436,NA,0.024525748850172,0.0107195691389119,"BMT-UCB",0.876543209876543
"54",54,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.11,0.150281404704206,NA,6.72205863124374,0.020587708389699,"BMT-UCB",0.876543209876543
"55",55,"Best","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,0.98,0.288190176861716,NA,5.62186308200384,0.0413560294700614,"BMT-UCB",0.876543209876543
"56",56,"Best","Rough",405.699082609894,"BMT","UCB",0.00598956513262316,1.23,0.248577381073033,NA,2.39621163664013,0.0860594593193238,"BMT-UCB",0.876543209876543
"57",57,"Best","Smooth",396.318678261506,"BMT","UCB",0.0289726582803551,1.37,1.52824374708844,NA,1.57075428719843,0.0228431930034597,"BMT-UCB",0.876543209876543
"58",58,"Best","Smooth",397.739558576343,"BMT","UCB",0.0254913345106292,1.08,2.56365937333932,NA,0.718893957017288,0.0249117565201055,"BMT-UCB",0.876543209876543
"59",59,"Cumulative","Rough",291.345112719977,"BMT","UCB",0.286170231571022,1.21,6.8631022707954,NA,0.200327577513767,0.0067445174435375,"BMT-UCB",0.876543209876543
"60",60,"Cumulative","Smooth",396.561717967139,"BMT","UCB",0.0283771824367041,1.11,1.26345634890972,NA,1.52090379299733,0.0103294177488305,"BMT-UCB",0.876543209876543
"61",61,"Cumulative","Smooth",314.798066274814,"BMT","UCB",0.228707738897888,1.34,5.89700008727247,NA,0.0733862713086973,0.0129191118089087,"BMT-UCB",0.876543209876543
"62",62,"Best","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.15,0.364639330041532,NA,8.60904837339996,0.0274996254348333,"BMT-UCB",0.876543209876543
"63",63,"Best","Rough",337.18955309166,"BMT","UCB",0.173845964488747,1.02,3.80687651969606,NA,0.0977416920645874,0.0338531949185935,"BMT-UCB",0.876543209876543
"64",64,"Best","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.21,0.106485404837015,NA,8.13047636106775,0.0424982624902668,"BMT-UCB",0.876543209876543
"65",65,"Best","Smooth",386.296743326381,"BMT","UCB",0.0535275767657291,1.14,0.530823990267962,NA,0.920122251443749,0.0125740538449464,"BMT-UCB",0.876543209876543
"66",66,"Cumulative","Rough",236.473862606905,"BMT","UCB",0.420611243455333,1.3,4.88960109463827,NA,0.0435835964072757,0.0144230896031976,"BMT-UCB",0.876543209876543
"67",67,"Cumulative","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.04,0.617192529842998,NA,11.4523622715746,0.104183518172724,"BMT-UCB",0.876543209876543
"68",68,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.18,0.456866309314693,NA,12.3191185977397,0.0318087020389707,"BMT-UCB",0.876543209876543
"69",69,"Cumulative","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.1,0.082561490452306,NA,10.1375997991486,0.0244635589047947,"BMT-UCB",0.876543209876543
"70",70,"Best","Rough",398.52370774186,"BMT","UCB",0.0235700768927868,1.04,0.242127398714448,NA,2.37061356380639,0.0210988674039879,"BMT-UCB",0.876543209876543
"71",71,"Best","Rough",406.236770630983,"BMT","UCB",0.00467216628560707,1.22,0.0430219779553647,NA,3.85497053626993,0.375731866896716,"BMT-UCB",0.876543209876543
"72",72,"Best","Smooth",396.990015606257,"BMT","UCB",0.0273278028823455,1.39,3.23302905980445,NA,3.57947468573078,0.0137957657540114,"BMT-UCB",0.876543209876543
"73",73,"Best","Smooth",394.910223291537,"BMT","UCB",0.0324235384947836,1.14,0.452979370746569,NA,26.2431675954525,0.621720869824438,"BMT-UCB",0.876543209876543
"74",74,"Best","Smooth",396.836799141864,"BMT","UCB",0.0277032012278888,1.24,0.135769977873396,NA,3.27231006443449,0.010757617038032,"BMT-UCB",0.876543209876543
"75",75,"Best","Rough",397.973313456526,"BMT","UCB",0.0249186075805901,1.04,0.243817961245136,NA,1.93624437208698,0.02062152832684,"BMT-UCB",0.876543209876543
"76",76,"Best","Smooth",396.672279265172,"BMT","UCB",0.028106294262072,1.09,0.749356543865165,NA,42.1822773050307,0.481545050505948,"BMT-UCB",0.876543209876543
"77",77,"Cumulative","Smooth",395.053161627529,"BMT","UCB",0.0320733227718278,1.15,1.53131846349776,NA,38.6105264560566,0.213965619512713,"BMT-UCB",0.876543209876543
"78",78,"Best","Smooth",387.115714792194,"BMT","UCB",0.0515210004194385,1.33,0.2335465258109,NA,9.92660590345341,0.0727827420735253,"BMT-UCB",0.876543209876543
"79",79,"Cumulative","Smooth",396.108279909568,"BMT","UCB",0.0294881589710638,1.15,0.674237268217977,NA,2.25000487282514,0.0217921019723697,"BMT-UCB",0.876543209876543
"80",80,"Best","Rough",387.115714792194,"BMT","UCB",0.0515210004194385,1.06,0.183168999701782,NA,11.9311096773011,0.0349956859719562,"BMT-UCB",0.876543209876543
"81",81,"Best","Smooth",395.511709056953,"BMT","UCB",0.0309498276759137,1.3,2.86491841131802,NA,32.2299971694985,0.0529947128442476,"BMT-UCB",0.876543209876543
"82",1,"Cumulative","Rough",398.10329368642,"RBF","UCB",0.0246001407405626,1.01,NA,0.185091377830163,3.34359524632623,0.00690136044418004,"RBF-UCB",0.123456790123457
"83",2,"Cumulative","Rough",388.524992948145,"RBF","UCB",0.0480681033026024,1.04,NA,0.607641846495566,28.7155608030102,2.3304104854817,"RBF-UCB",0.123456790123457
"84",3,"Cumulative","Smooth",254.36837938229,"RBF","UCB",0.376767574183975,1.26,NA,0.346132858010714,0.0603664077679931,0.0592593767340744,"RBF-UCB",0.123456790123457
"85",4,"Best","Rough",397.849412106161,"RBF","UCB",0.0252221804513121,1.06,NA,0.30831350673966,2.36343278655889,0.206645376316033,"RBF-UCB",0.123456790123457
"86",5,"Best","Rough",407.544458760926,"RBF","UCB",0.00146817667253463,1.16,NA,0.324207854533171,0.485004780940301,0.124307381700424,"RBF-UCB",0.123456790123457
"87",6,"Best","Smooth",399.181633117437,"RBF","UCB",0.0219580823955835,1.11,NA,0.0477129014595444,0.480803157654271,0.0114955103783883,"RBF-UCB",0.123456790123457
