"","participant","reward","environment","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"1",1,"Cumulative","Rough",5,1,243.070489658792,0.404448731865903,"BMT","UCB",4.29918207349254,NA,0.126995692258385,0.00676070709256038,15.4943858138184,1.01
"2",1,"Cumulative","Rough",5,2,243.070489658792,0.404448731865903,"BMT","UCB",0.00673798414322078,NA,0.0782434436074353,0.016822915297343,20.5881794081829,1.01
"3",1,"Cumulative","Rough",5,3,243.070489658792,0.404448731865903,"BMT","UCB",1.15775719583287,NA,0.114340031009431,0.0236035217008951,13.7808406572507,1.01
"4",1,"Cumulative","Rough",5,4,243.070489658792,0.404448731865903,"BMT","UCB",4.51046253262119,NA,0.124952659259326,0.00675408681064527,16.4900110828584,1.01
"5",1,"Cumulative","Rough",5,5,243.070489658792,0.404448731865903,"BMT","UCB",4.43233515557733,NA,0.12585306924003,0.00675264491532267,3.38894507479851,1.01
"6",1,"Cumulative","Rough",5,6,243.070489658792,0.404448731865903,"BMT","UCB",4.59995695528873,NA,0.122743147858561,0.00674006166868508,16.5978155832083,1.01
"7",1,"Cumulative","Rough",5,7,243.070489658792,0.404448731865903,"BMT","UCB",4.9844163451107,NA,0.11820056286402,0.00674550681670336,13.988141350424,1.01
"8",1,"Cumulative","Rough",5,8,243.070489658792,0.404448731865903,"BMT","UCB",4.50281515287358,NA,0.125955021630155,0.00673803914648666,13.2925529079648,1.01
"9",1,"Cumulative","Rough",10,1,243.070489658792,0.404448731865903,"BMT","UCB",3.71653045169899,NA,0.0418522684001877,0.0201415755524326,13.215533558854,1.01
"10",1,"Cumulative","Rough",10,2,243.070489658792,0.404448731865903,"BMT","UCB",5.64839559936174,NA,0.0625246595271322,0.00936226051082398,9.48282079517685,1.01
"11",1,"Cumulative","Rough",10,3,243.070489658792,0.404448731865903,"BMT","UCB",6.1776499050204,NA,0.0579551242974185,0.00939759483552513,6.951241857278,1.01
"12",1,"Cumulative","Rough",10,4,243.070489658792,0.404448731865903,"BMT","UCB",6.10449521118307,NA,0.0579154359869447,0.00949701525632357,10.1159873208052,1.01
"13",1,"Cumulative","Rough",10,5,243.070489658792,0.404448731865903,"BMT","UCB",5.72026510542932,NA,0.0523476111991585,0.0108713001892617,23.0876168249893,1.01
"14",1,"Cumulative","Rough",10,6,243.070489658792,0.404448731865903,"BMT","UCB",7.51960278275573,NA,0.0691856639438696,0.00673796421777807,26.0172001824401,1.01
"15",1,"Cumulative","Rough",10,7,243.070489658792,0.404448731865903,"BMT","UCB",6.01550251606183,NA,0.056710874729189,0.00979307325686592,6.87633392595501,1.01
"16",1,"Cumulative","Rough",10,8,243.070489658792,0.404448731865903,"BMT","UCB",4.4585046363807,NA,0.0351143824916707,0.016280197380333,33.7028833147877,1.01
"17",2,"Cumulative","Rough",5,1,256.949484645954,0.370443562926497,"BMT","UCB",5.37910159455856,NA,0.0612321948303138,0.00673805013560382,10.4452102210414,1.04
"18",2,"Cumulative","Rough",5,2,256.949484645954,0.370443562926497,"BMT","UCB",5.15643753311187,NA,0.0579118676064728,0.00673817559920221,16.8823291572089,1.04
"19",2,"Cumulative","Rough",5,3,256.949484645954,0.370443562926497,"BMT","UCB",5.14166299488631,NA,0.060170029799249,0.00673795742273446,16.7183619788563,1.04
"20",2,"Cumulative","Rough",5,4,256.949484645954,0.370443562926497,"BMT","UCB",5.03578863165802,NA,0.0635812635501193,0.00674098663194219,16.5953275038577,1.04
"21",2,"Cumulative","Rough",5,5,256.949484645954,0.370443562926497,"BMT","UCB",4.6443989363202,NA,0.0643668225334774,0.00674314276263643,4.21898458074123,1.04
"22",2,"Cumulative","Rough",5,6,256.949484645954,0.370443562926497,"BMT","UCB",0.0067380552811326,NA,0.0949998351875752,0.00673795149494121,23.5558669635616,1.04
"23",2,"Cumulative","Rough",5,7,256.949484645954,0.370443562926497,"BMT","UCB",5.04419695083928,NA,0.0644573901487202,0.00673806728754547,16.488375001064,1.04
"24",2,"Cumulative","Rough",5,8,256.949484645954,0.370443562926497,"BMT","UCB",5.03430244907252,NA,0.0648950738420407,0.00673985512750709,10.0145685971374,1.04
"25",2,"Cumulative","Rough",10,1,256.949484645954,0.370443562926497,"BMT","UCB",3.81233312510895,NA,0.086291809718725,0.0143103525052406,20.287402411773,1.04
"26",2,"Cumulative","Rough",10,2,256.949484645954,0.370443562926497,"BMT","UCB",5.18518558317909,NA,0.0857502415203874,0.00933430096951068,19.9797220201732,1.04
"27",2,"Cumulative","Rough",10,3,256.949484645954,0.370443562926497,"BMT","UCB",3.89455304848826,NA,0.0751046517396171,0.013552055757153,10.0224412244495,1.04
"28",2,"Cumulative","Rough",10,4,256.949484645954,0.370443562926497,"BMT","UCB",3.94282234723401,NA,0.0720537347049692,0.0142050099757283,4.00072205723724,1.04
"29",2,"Cumulative","Rough",10,5,256.949484645954,0.370443562926497,"BMT","UCB",3.78114157595349,NA,0.0718600089109908,0.0144313642167095,32.0380714681243,1.04
"30",2,"Cumulative","Rough",10,6,256.949484645954,0.370443562926497,"BMT","UCB",3.89135050094995,NA,0.0747316294535772,0.0136491794445363,10.0461552192414,1.04
"31",2,"Cumulative","Rough",10,7,256.949484645954,0.370443562926497,"BMT","UCB",3.44602407784245,NA,0.107074756976395,0.00673797948911415,35.5321525041009,1.04
"32",2,"Cumulative","Rough",10,8,256.949484645954,0.370443562926497,"BMT","UCB",3.84217148048874,NA,0.0732347196822765,0.0140292281479728,10.1237937373864,1.04
"33",3,"Cumulative","Smooth",5,1,309.550348747784,0.241565263611889,"BMT","UCB",1.13566307885462,NA,0.0864118997750383,0.0526035132261397,16.3725899248913,1.26
"34",3,"Cumulative","Smooth",5,2,309.550348747784,0.241565263611889,"BMT","UCB",1.28146719591599,NA,0.100955469117561,0.0491252116112425,16.5153116639601,1.26
"35",3,"Cumulative","Smooth",5,3,309.550348747784,0.241565263611889,"BMT","UCB",1.16304219778411,NA,0.0868286061729373,0.0542016696540986,16.9811065087878,1.26
"36",3,"Cumulative","Smooth",5,4,309.550348747784,0.241565263611889,"BMT","UCB",1.61898941888889,NA,0.142722393108615,0.0318530450195278,9.1934717283613,1.26
"37",3,"Cumulative","Smooth",5,5,309.550348747784,0.241565263611889,"BMT","UCB",1.25690775327516,NA,0.101905135533848,0.0519030829555922,6.33059633908894,1.26
"38",3,"Cumulative","Smooth",5,6,309.550348747784,0.241565263611889,"BMT","UCB",0.00673809316812303,NA,0.0849900217706334,0.0511977010859443,10.6949351422144,1.26
"39",3,"Cumulative","Smooth",5,7,309.550348747784,0.241565263611889,"BMT","UCB",1.4629697176955,NA,0.119221856426259,0.044968451068902,11.6804933906558,1.26
"40",3,"Cumulative","Smooth",5,8,309.550348747784,0.241565263611889,"BMT","UCB",1.25162923495325,NA,0.0956389521400393,0.051090288271557,16.6191346669865,1.26
"41",3,"Cumulative","Smooth",10,1,309.550348747784,0.241565263611889,"BMT","UCB",1.62481801993801,NA,0.0151015365654293,0.0685514994041136,24.6652906561694,1.26
"42",3,"Cumulative","Smooth",10,2,309.550348747784,0.241565263611889,"BMT","UCB",1.60894797236205,NA,0.0155069012806554,0.0648880256567108,18.5318488375025,1.26
"43",3,"Cumulative","Smooth",10,3,309.550348747784,0.241565263611889,"BMT","UCB",1.79761669049496,NA,0.0149620325947758,0.0620555198264791,23.4062144289798,1.26
"44",3,"Cumulative","Smooth",10,4,309.550348747784,0.241565263611889,"BMT","UCB",1.60722311412505,NA,0.0199095249582863,0.0665598445630251,22.7573452473025,1.26
"45",3,"Cumulative","Smooth",10,5,309.550348747784,0.241565263611889,"BMT","UCB",1.50595151365076,NA,0.0149619724178028,0.0718340136456771,30.4183649002365,1.26
"46",3,"Cumulative","Smooth",10,6,309.550348747784,0.241565263611889,"BMT","UCB",1.52637031357701,NA,0.0210230442494485,0.0702796549836955,30.0569466566558,1.26
"47",3,"Cumulative","Smooth",10,7,309.550348747784,0.241565263611889,"BMT","UCB",0.880382706056021,NA,0.00673795273084589,0.0791581471187011,26.5031445697078,1.26
"48",3,"Cumulative","Smooth",10,8,309.550348747784,0.241565263611889,"BMT","UCB",1.43898756828503,NA,0.0231089107634675,0.0727230226351536,28.8235540862839,1.26
"49",4,"Best","Rough",5,1,211.933722651127,0.480737470589559,"BMT","UCB",7.24557606692788,NA,0.0201227933383874,0.00673795746491792,5.01730917490128,1.06
