"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"1",1,"Cumulative","Rough",243.070489658792,"BMT","UCB",0.404448731865903,1.01,4.55520974395496,NA,0.0737145537756524,0.00937992767317455,"BMT-UCB",0.493827160493827
"2",2,"Cumulative","Rough",256.949484645954,"BMT","UCB",0.370443562926497,1.04,4.29361064177711,NA,0.07195687180798,0.00674206469728931,"BMT-UCB",0.493827160493827
"3",3,"Cumulative","Smooth",309.550348747784,"BMT","UCB",0.241565263611889,1.26,1.45097864299026,NA,0.0540494662670505,0.0581285947402889,"BMT-UCB",0.493827160493827
"4",4,"Best","Rough",211.933722651127,"BMT","UCB",0.480737470589559,1.06,5.8036496933572,NA,0.0415484548392152,0.00673802318054619,"BMT-UCB",0.493827160493827
"5",5,"Best","Rough",268.644968989346,"BMT","UCB",0.341788251695887,1.16,8.28697678897042,NA,0.057471377780914,0.00673859823040514,"BMT-UCB",0.493827160493827
"6",6,"Best","Smooth",297.029096414035,"BMT","UCB",0.272243803472731,1.11,6.40045992680725,NA,0.00797434155096253,0.0143675726672306,"BMT-UCB",0.493827160493827
"7",7,"Cumulative","Rough",323.556703778371,"BMT","UCB",0.207248047597261,1.24,0.430359411027761,NA,0.0297740957780803,0.089654585991995,"BMT-UCB",0.493827160493827
"8",8,"Cumulative","Rough",291.043375700213,"BMT","UCB",0.286909522733086,1.23,1.34069887651432,NA,0.0251145005071492,0.0594365764982526,"BMT-UCB",0.493827160493827
"9",9,"Cumulative","Smooth",150.849850918903,"BMT","UCB",0.630400135620319,1.13,6.95581502253803,NA,0.0133579356919827,0.00673846846463489,"BMT-UCB",0.493827160493827
"10",10,"Cumulative","Smooth",230.400710181382,"BMT","UCB",0.435491180685349,1.12,6.54553619571429,NA,0.108391282072137,0.00677002158861108,"BMT-UCB",0.493827160493827
"11",11,"Best","Rough",197.276093635608,"BMT","UCB",0.516650384412564,1.15,7.40675858018812,NA,0.00878167766382698,0.00673797494503555,"BMT-UCB",0.493827160493827
"12",12,"Best","Rough",393.092335714753,"BMT","UCB",0.0368775767171879,1.01,0.955328380231348,NA,0.00673810598844683,0.104915930685048,"BMT-UCB",0.493827160493827
"13",13,"Best","Smooth",198.696921372325,"BMT","UCB",0.513169189465411,1.22,4.4971068928501,NA,0.0729306542470499,0.0126156207225442,"BMT-UCB",0.493827160493827
"14",14,"Best","Smooth",190.687535278507,"BMT","UCB",0.532793126751441,1.2,4.81360761432973,NA,0.0232223608697376,0.00673813846038306,"BMT-UCB",0.493827160493827
"15",15,"Cumulative","Rough",412.879809457945,"BMT","UCB",-0.0116040596076088,1.05,1.58105758700522,NA,0.0488973639923088,0.0775344892766375,"BMT-UCB",0.493827160493827
"16",16,"Cumulative","Smooth",165.818740658031,"BMT","UCB",0.593724596441495,1.13,6.38520093991644,NA,0.0196699117622648,0.00673815051362041,"BMT-UCB",0.493827160493827
"17",17,"Cumulative","Smooth",155.809473337424,"BMT","UCB",0.618248477782453,1.17,7.80861589455811,NA,0.0379698087064022,0.00673835429067714,"BMT-UCB",0.493827160493827
"18",18,"Best","Rough",309.583953991988,"BMT","UCB",0.24148292681391,1.06,6.84029775547174,NA,0.158907873725696,0.00673808993866061,"BMT-UCB",0.493827160493827
"19",19,"Best","Rough",399.062073462178,"BMT","UCB",0.0222510176030082,1.12,9.67048708271467,NA,0.00712898688079572,0.0143741700751838,"BMT-UCB",0.493827160493827
"20",20,"Best","Smooth",170.350885801187,"BMT","UCB",0.582620308170372,1.16,3.35644884544198,NA,0.053227800213357,0.00675398712449273,"BMT-UCB",0.493827160493827
"21",21,"Best","Smooth",325.977031723032,"BMT","UCB",0.201317959667762,1.35,1.69023622369084,NA,0.120328842251608,0.0517711660949614,"BMT-UCB",0.493827160493827
"22",22,"Cumulative","Rough",200.13847845512,"BMT","UCB",0.509637205184014,1.09,6.68384175739039,NA,0.0633827725319273,0.00673833777689895,"BMT-UCB",0.493827160493827
"23",23,"Cumulative","Rough",246.822979241525,"BMT","UCB",0.395254691352002,0.95,3.34260479195387,NA,0.0510913130279859,0.0142605527114051,"BMT-UCB",0.493827160493827
"24",24,"Cumulative","Smooth",335.916501990162,"BMT","UCB",0.176965089311183,1.17,3.43105280488305,NA,0.528164702907713,0.0173894007606651,"BMT-UCB",0.493827160493827
"25",25,"Cumulative","Smooth",220.932623335915,"BMT","UCB",0.458689106256392,1.02,1.5884820650164,NA,0.122920352414352,0.00673801935436373,"BMT-UCB",0.493827160493827
"26",26,"Best","Rough",249.441544744413,"BMT","UCB",0.388838898105664,1.21,2.75796499917211,NA,0.0744071559447582,0.01195314029763,"BMT-UCB",0.493827160493827
"27",27,"Best","Rough",143.970874355002,"BMT","UCB",0.647254436699182,0.58,2.64997011396863,NA,0.00673794917743657,0.0112838015454988,"BMT-UCB",0.493827160493827
"28",28,"Best","Smooth",204.100826694512,"BMT","UCB",0.49992898629627,1.19,4.75511410452056,NA,0.0504212484239454,0.00811385343579782,"BMT-UCB",0.493827160493827
