"","","","","par1","par2"
"cv",5,1,24.7663592091577,-3.38921266270573,-4.93892900015803
"cv",5,2,16.6158500007056,2.60991730614242,-4.99999998993815
"cv",5,3,16.5975323497775,2.60913345870906,-4.99999998358812
"cv",5,4,16.5654526378351,2.6040116925365,-4.99999999977982
"cv",5,5,16.6157257506636,2.61163251732408,-4.99999968519919
"cv",5,6,16.6197715691718,2.6137816173381,-4.99999965297359
"cv",5,7,16.5472228286526,2.60229486454508,-4.99999999906204
"cv",5,8,16.657267269059,2.61591209753301,-4.99999999562868
"cv",10,1,32.4687184191026,2.6301334307,-4.9999999855705
"cv",10,2,32.5069900513223,2.6321990956897,-4.9999999857272
"cv",10,3,35.5161191089694,2.44573819297031,-4.99999999176023
"cv",10,4,33.8405964928774,2.53516556903286,-4.99999999851726
"cv",10,5,34.1702664805859,2.5125376977184,-4.99999994200121
"cv",10,6,32.318994662269,2.62633138418301,-4.99999999961806
"cv",10,7,32.3741494651655,2.62642929230475,-4.99999999965774
"cv",10,8,32.4397062367736,2.63086944202746,-4.99999999970831
