"","","","","par1","par2"
"cv",5,1,17.0059870630947,3.99999999808019,3.99999999486331
"cv",5,2,17.005989182176,3.99999999958884,3.99999999278173
"cv",5,3,17.0059875345143,3.99999999918908,3.99999999884772
"cv",5,4,17.0059890569179,3.99999999990854,3.99999999596896
"cv",5,5,17.005991901567,3.99999999940832,3.99999999823282
"cv",5,6,17.0059904904679,3.99999999981478,3.99999999828462
"cv",5,7,17.0059889765635,3.99999999979889,3.99999999915559
"cv",5,8,17.005988197304,3.99999999982552,3.99999999982414
"cv",10,1,34.0119741090125,3.99999999988577,3.9999999987104
"cv",10,2,34.0119817383184,3.99999999993126,3.99999999915751
"cv",10,3,34.0119793165492,3.99999999902386,3.99999998455019
"cv",10,4,34.0119755997753,3.9999999993891,3.99999999833541
"cv",10,5,34.011975065582,3.9999999997692,3.99999999977487
"cv",10,6,34.0119820776866,3.99999999984421,3.99999999867472
"cv",10,7,34.0119821225928,3.99999999983381,3.99999999729547
"cv",10,8,34.0119797748733,3.99999999985925,3.99999999995434
