"","","","","par1","par2"
"cv",5,1,16.4723095690557,-1.35998415337192,-3.9257145323939
"cv",5,2,16.4723095690557,-1.06497638674632,-4.60620678736611
"cv",5,3,16.4723095690557,-0.311099223973775,-4.8388225579183
"cv",5,4,16.4723095690557,-2.20400608516186,-3.91250881592849
"cv",5,5,16.4723095690557,-2.98427209626407,-2.7830975619231
"cv",5,6,16.4723095690557,-3.3826430852334,-2.98318493631545
"cv",5,7,16.4723095690557,-3.39242913495381,-4.44558010300775
"cv",5,8,16.4723095690557,-3.42989309271798,-2.73389437291663
"cv",10,1,32.0641039061938,1.74053418054377,-2.89418186012673
"cv",10,2,32.0670365879366,1.23754711305786,-2.0402966464496
"cv",10,3,32.0638505595195,1.39076999384049,-2.29192560860293
"cv",10,4,32.0645339187564,2.52003274724889,-4.36805993699775
"cv",10,5,40.4343479713848,-2.56395742238359,-4.10396290728433
"cv",10,6,32.0646967182007,2.46621407148309,-4.2626973441974
"cv",10,7,32.0646325473746,1.94165510701326,-3.26090597780654
"cv",10,8,32.0640117575562,2.79973848511755,-4.91859268558725
