"","","","","par1","par2"
"cv",5,1,17.0059869083108,0.0653643217673245,3.68304035478722
"cv",5,2,17.0059869083108,-3.58628730985134,-2.23901916045756
"cv",5,3,17.0059869083108,-0.206347317202951,-0.143383076696283
"cv",5,4,17.0059869083108,-3.14864775146095,3.71705331797111
"cv",5,5,17.0059869083108,0.502303532405185,0.437683975040371
"cv",5,6,17.0059869083108,-1.25918812267497,-2.51273271002645
"cv",5,7,17.0059869083108,-4.92176416355711,-2.14889032996395
"cv",5,8,17.0059869083108,0.98228907322377,-2.44444065983407
"cv",10,1,34.0119738166216,-3.55721566875822,0.220236770575866
"cv",10,2,34.0119738166216,-3.08064961482234,1.98022385916651
"cv",10,3,34.0119738166216,-0.348248258713475,-0.301039690506673
"cv",10,4,34.0119738166216,-3.22565694805601,0.285327590911065
"cv",10,5,34.0119738166216,0.793109693693323,2.4989902393622
"cv",10,6,34.0119738166216,1.00063085625879,-2.43953522425553
"cv",10,7,34.0119738166216,3.05529433360268,-3.14080577582415
"cv",10,8,34.0119738166216,-3.03656746840231,0.378822185797617
