"","","","","par1","par2"
"cv",5,1,16.8100719574739,-4.65527918870902,-1.85188144367074
"cv",5,2,16.7164002579274,-4.24395677739376,-1.78249037422433
"cv",5,3,16.734529017562,-4.65906674704982,-1.79283605264207
"cv",5,4,16.703650619303,-4.6572163497919,-1.77412100835774
"cv",5,5,16.7637049105518,-4.65732144401831,-1.81458121831505
"cv",5,6,16.69607580082,-4.63789659690279,-1.76986781262923
"cv",5,7,16.7353329597908,-4.65617694360686,-1.79540373256564
"cv",5,8,16.7271141540077,-4.65973956542946,-1.79029452666118
"cv",10,1,32.5975562961199,-4.9999999999984,-1.93205150589486
"cv",10,2,32.6331705186626,-4.99999999999991,-1.93711268208891
"cv",10,3,32.6656808731785,-4.99999999999885,-1.94184926460687
"cv",10,4,32.6817692563068,-4.99999999999988,-1.94570607173014
"cv",10,5,32.6137631827747,-4.49476255924337,-1.93231155577408
"cv",10,6,32.5936057036236,-4.99999999999802,-1.93188143120581
"cv",10,7,32.6455868021524,-4.99999999999983,-1.9398403934051
"cv",10,8,32.7472495823282,-4.99999999999852,-1.95627164430393
