"","","","","par1","par2"
"cv",5,1,11.8911914118668,-4.99999999999895,-1.25211785270051
"cv",5,2,9.0448470053212,-4.99999999999962,-1.17674196524134
"cv",5,3,14.5175572801796,-4.99999999999842,-1.31900228949724
"cv",5,4,18.7606370505321,-4.99999999999923,-1.43713301535761
"cv",5,5,15.4188493424041,-4.99999999999843,-1.354104763218
"cv",5,6,17.7064070476395,-4.99999999999766,-1.39818047426999
"cv",5,7,15.5559724856087,-4.99999999999813,-1.37987278937687
"cv",5,8,12.6955834459503,-4.99999999999899,-1.27068086668801
"cv",10,1,29.7690937951211,-4.99999999999906,-1.41904509824186
"cv",10,2,31.5299921344946,-4.99999999999851,-1.42209579555087
"cv",10,3,23.0945590786421,-4.99999999999766,-1.40405045685355
"cv",10,4,30.0692707343155,-4.99999999999761,-1.43046743120048
"cv",10,5,27.6275348007321,-4.99999999999791,-1.39159276740339
"cv",10,6,28.6117764124437,-4.99999999999887,-1.39084752006881
"cv",10,7,26.2444594946648,-4.99999999999857,-1.36457146217085
"cv",10,8,29.3334554572137,-4.99999999999948,-1.40920895509902
