"","","","","par1","par2"
"cv",5,1,17.0059823231101,3.99999999982086,3.99999999538063
"cv",5,2,17.0260197955671,3.99999999867239,-4.99999999526362
"cv",5,3,16.9907585482631,3.99999999999974,-4.67611504319527
"cv",5,4,17.0018754658004,3.99999999942649,-4.99999996665749
"cv",5,5,17.0323593261988,3.99999999885557,-4.99999999157855
"cv",5,6,16.9917041763433,3.99999999976025,-4.99999997941077
"cv",5,7,17.0095823815383,3.99999999976151,-4.99999998251756
"cv",5,8,17.0080937844059,3.99999999759376,-4.99999999968375
"cv",10,1,34.0131109281427,3.99999999952602,-4.99999997650289
"cv",10,2,34.0104202567233,3.99999999905232,-4.99999999520822
"cv",10,3,33.9933450045304,3.99999999999426,-4.25964635578038
"cv",10,4,33.9850193616774,4,-4.94744709312774
"cv",10,5,34.0282398143679,3.99999999942314,-4.99999996388516
"cv",10,6,34.0244365148079,3.99999999982069,-4.99999999416876
"cv",10,7,33.9938586576186,3.99999999962161,-4.99999998211003
"cv",10,8,34.0307025722266,3.99999999985952,-4.99999999658663
