"","","","","par1","par2"
"cv",5,1,6.80291195201958,-4.99999999999809,-0.360063443860468
"cv",5,2,11.0328761256775,-4.99999999999845,-0.43051427579178
"cv",5,3,14.3962016933258,-4.99999999999842,-0.481627547114671
"cv",5,4,13.1776233823387,-4.99999999999249,-0.464907371795691
"cv",5,5,14.3217623975636,-4.99999999998537,-0.470445631253805
"cv",5,6,18.2884713306731,-4.99999999999255,-0.535368813954152
"cv",5,7,14.0721666625885,-4.99999999999012,-0.46682880970235
"cv",5,8,10.5746479247078,-4.9999999999758,-0.413242158882954
"cv",10,1,25.6498801571684,-0.548211157301082,-0.39443375616914
"cv",10,2,21.6377632500921,-0.606806602639156,-0.357778588717148
"cv",10,3,30.8278466548118,-4.9999999999998,-0.383208999764325
"cv",10,4,30.4739422597716,-0.541766239120708,-0.435768629384343
"cv",10,5,24.902797038888,-1.00717354910319,-0.351931868625534
"cv",10,6,28.5430013854833,-0.499479442443921,-0.420209226386963
"cv",10,7,29.5603784846706,-0.522353095000056,-0.411838385223951
"cv",10,8,26.6835869507396,-0.531884795985823,-0.404153594004151
