"","","","","par1","par2"
"cv",5,1,11.0083747714337,-4.75101545732468,-0.996572916029627
"cv",5,2,15.5909234497553,-0.029318954795599,-1.09801766108477
"cv",5,3,11.036525197418,-3.32909283132422,-1.00038255167575
"cv",5,4,16.8972364785197,-0.384646276683562,-1.12119830244656
"cv",5,5,14.1341121788948,-3.9834758558333,-1.06892821205712
"cv",5,6,11.4274200554051,-2.90570204134255,-1.00693358001637
"cv",5,7,15.019624445662,3.01023949991378,-1.0885197689615
"cv",5,8,15.9697026519144,0.641584913913092,-1.10408117545399
"cv",10,1,28.9473582857351,-2.25364735200535,-0.772239074839152
"cv",10,2,30.2804035272543,3.61224657224854,-0.795652266987363
"cv",10,3,25.1879897357084,-2.53127018238394,-0.692547892648116
"cv",10,4,31.3312745890258,-0.0101001758111909,-0.815049780906266
"cv",10,5,29.5986900462904,0.911267088726163,-0.785613882018323
"cv",10,6,31.9280884110762,3.97545319632627,-0.823105096372688
"cv",10,7,32.2520518608956,-4.09829768623832,-0.829807692364969
"cv",10,8,34.9113294663592,-3.86718669723769,-0.867182734506163
