"","","","","par1","par2"
"cv",5,1,16.5747815784848,-4.48362682943772,-1.5327321520315
"cv",5,2,13.4682334955738,-4.55002592800822,-1.40249441687188
"cv",5,3,14.8284001324985,-4.52032868804137,-1.46983338590496
"cv",5,4,16.8510782960042,-4.50614453840398,-1.53982087205866
"cv",5,5,13.1946206355816,-4.56546619501928,-1.3696125607709
"cv",5,6,16.2831321423663,-3.95677325482962,-1.51613756301715
"cv",5,7,16.5715145192239,-4.51076841508737,-1.52311054979542
"cv",5,8,17.7018572256147,-4.48105397691292,-1.57558675529408
"cv",10,1,32.5265069611016,-4.99999999999923,-1.56199826176495
"cv",10,2,29.352897643082,-4.99999999999798,-1.50535543959704
"cv",10,3,29.5407269774656,-4.99999999999978,-1.51045495353743
"cv",10,4,33.1194384933588,-4.99999999999955,-1.59221494993051
"cv",10,5,33.1853842183814,-4.99999999999998,-1.59015749856376
"cv",10,6,29.3419559459694,-4.99999999999915,-1.51198543283028
"cv",10,7,29.7263729845337,-4.99999999999908,-1.5182268013937
"cv",10,8,30.4790179193366,-4.99999999999761,-1.53719668133387
