"","","","","par1","par2","par3"
"cv",5,1,17.3907188746253,-4.9999784306772,3.80063340959701,3.97386814610321
"cv",5,2,16.7917338349834,-4.99968161139204,3.79593432982147,3.99978231305027
"cv",5,3,18.4728070444708,-4.99999218126479,3.80035976972806,3.90542255287783
"cv",5,4,15.7384938793461,-4.99943924739947,3.6829440023389,3.99980725388125
"cv",5,5,15.1749089059925,-4.99986795788987,3.62873509407057,3.99979923552373
"cv",5,6,16.1837530540014,-4.99973260192203,3.73483713186477,3.99949144052758
"cv",5,7,14.5104327760147,-4.99989312173992,3.5198786313335,3.99997062829144
"cv",5,8,17.5500857416947,-4.99970412345215,3.8007288414547,3.95476056882984
"cv",10,1,32.2101037829517,-4.99964684800115,3.80053236025384,3.69190263881399
"cv",10,2,28.622147283845,-4.99994035499334,3.79984326004463,3.73934451307823
"cv",10,3,25.3357580651732,-4.99998659201042,3.80044009956882,3.8406645119578
"cv",10,4,31.8475250389105,-4.99995271777221,3.7966013249545,3.69365410443595
"cv",10,5,35.5844936777986,-4.99965683143553,3.80051068529395,3.62338457539765
"cv",10,6,32.725402694007,-4.99996965088047,3.80044994157364,3.6787438937985
"cv",10,7,33.0496228776581,-4.99978606370902,3.79952235704484,3.6577780876263
"cv",10,8,29.1185110057451,-4.9999834839898,3.80041368608195,3.7262902748165
