"","","","","par1","par2"
"cv",5,1,14.8223153585951,-0.374088020376708,-1.88326087230235
"cv",5,2,23.018029120816,-0.391187718095147,-2.21921976906221
"cv",5,3,16.1359629681216,-0.359860740275297,-2.01320563954869
"cv",5,4,15.5799183769128,-0.382192264549628,-1.95844716533918
"cv",5,5,22.9637663892174,1.26993667846996,-2.38285956509341
"cv",5,6,13.401413461551,-0.340962028751243,-1.84529887717213
"cv",5,7,15.0221481030176,-0.373925857172297,-1.87372250510799
"cv",5,8,16.5702563174625,-0.372275608601434,-1.98405181659705
"cv",10,1,27.0508306468192,-0.535936313802514,-2.60926064909249
"cv",10,2,29.4160695700122,-0.529089440568055,-2.69769332365421
"cv",10,3,25.2598655155887,-0.518231063672377,-2.60793588339471
"cv",10,4,22.9619248738814,-0.512462819041638,-2.59187388756587
"cv",10,5,25.2391679594976,-0.522845892971733,-2.60711718188335
"cv",10,6,26.468564075843,-0.465179211280864,-2.67005762909225
"cv",10,7,25.5052816290769,-0.513851000434867,-2.63617708149495
"cv",10,8,28.5905444646705,-0.540710240432657,-2.65272588623593
