"","","","","par1","par2"
"cv",5,1,16.50464293307,1.355632074038,-2.5925917233166
"cv",5,2,8.40358115265093,1.51064412359299,-2.58828476988745
"cv",5,3,7.79749762934579,1.81010653184222,-2.55170689029517
"cv",5,4,7.45061331368836,1.37906580177379,-2.55330259682944
"cv",5,5,8.79427087821951,1.75101165319332,-2.54593597566195
"cv",5,6,15.7856355130233,1.55304914431104,-2.64695764266815
"cv",5,7,11.5479595025148,1.24734156331315,-2.58417677296029
"cv",5,8,8.96451825186148,1.70102738960729,-2.53905745956534
"cv",10,1,17.8235189518809,1.57503379871294,-2.56588599045689
"cv",10,2,30.7109290685178,1.1997056645786,-2.61986655124219
"cv",10,3,23.7131694619005,1.50383680296046,-2.66394955551134
"cv",10,4,7.33087811790229,1.5644489878926,-2.52102415991364
"cv",10,5,29.5649535912269,1.53949656488285,-2.51805591605687
"cv",10,6,20.0114186111269,1.08006357695123,-2.5426439234989
"cv",10,7,22.9455555386552,1.73979673954549,-2.59614837482323
"cv",10,8,10.2816522718613,1.50076330156711,-2.50274986054002
