"","","","","par1","par2"
"cv",5,1,13.7048785865602,-3.07333214807489,-0.697476339316908
"cv",5,2,15.411632228421,-4.80187015019264,-0.836097568740659
"cv",5,3,15.2133355520902,-2.33402597624296,-0.832303415325841
"cv",5,4,14.4787566021296,-2.30815455834247,-0.791959806245414
"cv",5,5,15.4103383164553,-2.22549492761363,-0.849512464820279
"cv",5,6,15.4121081165501,-3.41708112531989,-0.836723206807148
"cv",5,7,19.4062207894009,-3.6530405907711,-0.988382822008178
"cv",5,8,17.5769906414244,-3.49477387124281,-0.929230311934691
"cv",10,1,25.7714140449541,-1.68467399623008,-0.852656558242222
"cv",10,2,30.7223210783546,-1.68461100018612,-0.938282922724982
"cv",10,3,35.266709822581,-1.68417286995078,-0.992249455367136
"cv",10,4,26.8209174438339,-1.68388565168819,-0.863468585460832
"cv",10,5,30.3341507089505,-2.94892037207426,-0.928896221875042
"cv",10,6,28.8416199783307,-1.68451624237195,-0.907998642846625
"cv",10,7,31.1688784740034,-1.68479405219184,-0.945895410054076
"cv",10,8,33.8450871525455,-1.68485410136437,-0.982820282102893
