"","","","","par1","par2"
"cv",5,1,13.3709385562064,2.14148094714983,-1.55090842516627
"cv",5,2,14.9653644573036,2.16433697910954,-1.53877360996526
"cv",5,3,15.1108028986073,2.16430292972346,-1.58117205160279
"cv",5,4,13.5555834545989,2.16550995743225,-1.56855993352659
"cv",5,5,13.6476745318423,2.15413567596832,-1.54398998886864
"cv",5,6,15.708208004787,2.16485648127787,-1.56950664973475
"cv",5,7,14.9025103149181,2.33007480925727,-1.51834521287915
"cv",5,8,18.6233415799188,2.16721651591954,-1.67082375852407
"cv",10,1,26.6196080609131,1.66955449759557,-1.53073464073276
"cv",10,2,27.1628216428402,1.60080360271186,-1.55776588535224
"cv",10,3,30.2587806014072,1.76105651025427,-1.61559929451434
"cv",10,4,30.6697514236239,1.76249889410775,-1.64591061114936
"cv",10,5,30.9251980425948,1.76039552231243,-1.65823730573384
"cv",10,6,26.6312228775853,1.76007974309319,-1.60709091185136
"cv",10,7,32.4612981473256,1.76555217838617,-1.64799176703092
"cv",10,8,30.154278928118,1.7584652769956,-1.59939665421503
