"","","","","par1","par2","par3"
"cv",5,1,10.4273561354588,3.1583300390227,-4.76814283650867,-2.10868430839304
"cv",5,2,15.7602748270215,-0.345154839476443,-0.365689587820435,-1.61974652611404
"cv",5,3,8.28474348330265,-1.10307397123427,3.99960516200028,2.86135028930629
"cv",5,4,18.909033272889,-1.10982831944763,3.99987619764293,2.67644622686987
"cv",5,5,14.353993513041,-0.302306398624246,-0.477619965165149,-1.68339823094655
"cv",5,6,10.1552620412091,-0.345962633262804,-0.220516325459602,-1.40200582627426
"cv",5,7,16.2246757816821,-0.38529040644549,-0.182324619908349,-1.46589530313265
"cv",5,8,19.7565944420471,-0.420604066863867,-0.0754127332426241,-1.42436400155374
"cv",10,1,30.1686269616348,-0.318975114303392,-0.470274790980454,-1.68740919860206
"cv",10,2,31.5172672565632,-1.11281679280258,3.9998321206982,2.78080332589942
"cv",10,3,22.9407901377419,-1.10896617453133,3.99998442381449,2.8534123941808
"cv",10,4,25.1716817238387,-0.339971411601952,-0.369734795271528,-1.58012730048288
"cv",10,5,24.5906403812107,-0.245075548423942,-0.652552989171489,-1.77367538310511
"cv",10,6,40.1750219830616,-1.12810606842019,3.99960855384704,2.69436759042255
"cv",10,7,24.4495161217172,-0.278850239096195,-0.530664881811225,-1.7089813485893
"cv",10,8,27.272321928756,-0.243101734885019,-0.669407105187833,-1.84227843601736
