"","V1","V2","V3","V4"
"cv",5,1,16.8838615395181,0.878211972248591
"cv",5,2,17.5922898943175,0.379448592168204
"cv",5,3,17.428672613809,0.440901124252803
"cv",5,4,17.458800981676,0.425685257803638
"cv",5,5,17.4086604803912,0.449036669931063
"cv",5,6,16.9152024247841,2.82252696022849
"cv",5,7,17.3907862029639,0.460125930679283
"cv",5,8,16.9602724880158,3.99993072427006
"cv",10,1,28.1854331480724,-0.418811395634856
"cv",10,2,29.4048393874875,-0.463771175286524
"cv",10,3,35.4327683615715,-0.625018012908446
"cv",10,4,29.7423047487756,-0.472494696808917
"cv",10,5,33.2251104649848,-0.581020564153506
"cv",10,6,34.7387224353562,-0.60429083793145
"cv",10,7,33.8613761760257,-0.592974620301055
"cv",10,8,32.658749797139,-0.559153479573038
