"","V1","V2","V3","V4"
"cv",5,1,15.4209016401184,-0.427606474971501
"cv",5,2,17.4892643582115,-0.567473734829279
"cv",5,3,17.1342163967612,-0.546452074910415
"cv",5,4,15.2188988727702,-0.410564810983791
"cv",5,5,16.0023437927915,-0.473597747899093
"cv",5,6,15.425237476325,-0.433307365212127
"cv",5,7,14.9438214419481,-0.384423837974977
"cv",5,8,18.3177246103562,-0.60800835514425
"cv",10,1,31.2226048761343,-0.61728799726959
"cv",10,2,27.8125851162128,-0.51107084015229
"cv",10,3,32.6640553526822,-0.65174648006732
"cv",10,4,33.3709573226019,-0.670996392625934
"cv",10,5,31.1221773722778,-0.616390740950846
"cv",10,6,32.414351697126,-0.648182056083619
"cv",10,7,30.0486347500247,-0.585808611150485
"cv",10,8,35.3969068994992,-0.711999742677308
