"","","","","par1","par2"
"cv",5,1,0,-3.73014988169765,1.22586648567857
"cv",5,2,0,-0.901419837496614,1.71180705998328
"cv",5,3,0,-0.167331765531636,-1.36595711870852
"cv",5,4,0,1.20365715352818,-1.68606623210084
"cv",5,5,0,-1.88563568008119,3.91958546475507
"cv",5,6,0,3.36665585142835,-2.44740493246354
"cv",5,7,0,-0.147583621213832,-2.27627622887788
"cv",5,8,0,3.51434746177707,-2.78602366355592
"cv",10,1,0,-1.16633177951977,-4.75103858728366
"cv",10,2,0,0.249141243984923,-2.30742524132055
"cv",10,3,0,-4.26350258149802,-1.79224907418494
"cv",10,4,0,1.33399967686273,3.10856611141935
"cv",10,5,0,2.45160767238335,1.53573612138899
"cv",10,6,0,1.21375197824091,1.79703178651193
"cv",10,7,0,0.277922910013748,-1.27991113429746
"cv",10,8,0,-2.09150133849241,2.14397470196709
