"","","","","par1","par2"
"cv",5,1,11.4537527188819,-0.621772752344425,-4.99999999999342
"cv",5,2,8.47754065607313,-0.63680084057115,-4.99999999999962
"cv",5,3,15.6566061411715,-0.593759651164831,-4.99999999999881
"cv",5,4,16.1986511102699,-0.596236661604814,-4.99999999999999
"cv",5,5,10.9597488023423,-0.626809759908123,-4.99999999999968
"cv",5,6,6.91075208893901,-0.639219287594168,-4.99999999998831
"cv",5,7,14.4152805744347,-0.610746817324457,-4.99999999999946
"cv",5,8,17.0971715037501,-0.601990763443036,-4.99999999999997
"cv",10,1,33.8434550521155,-0.556706471828048,-4.99999999999993
"cv",10,2,20.5656073328606,-0.566735042146116,-4.99999999999998
"cv",10,3,20.4855946507384,-0.578065874386076,-4.99999999999854
"cv",10,4,20.292066996481,-0.575969722063645,-4.99999999999996
"cv",10,5,19.9116567485542,-0.574434016961878,-4.99999999999984
"cv",10,6,22.0798240934858,-0.568848922862422,-4.99999999999994
"cv",10,7,19.0649845553277,-0.57618484860701,-4.99999999999963
"cv",10,8,25.748289533577,-0.571147758342867,-4.99999999999954
