"","","","","par1","par2"
"cv",5,1,16.4723095690557,-1.88017726092737,-3.53534946447029
"cv",5,2,16.4723095690557,-2.82675847058302,-3.74877715311009
"cv",5,3,16.4723095690557,-3.41020919903256,-3.81852627750236
"cv",5,4,16.4723095690557,-4.34624724261964,-3.80657077813431
"cv",5,5,16.4723095690557,-3.36477085751726,-4.30799515072084
"cv",5,6,16.4723095690557,-2.90911026343685,-4.14865161504278
"cv",5,7,16.4723095690557,-3.69754315610725,-4.0474125014482
"cv",5,8,16.4723095690557,-2.01404098671719,-3.93913920015134
"cv",10,1,31.9171547799685,-3.87843484104491,-4.02361494079471
"cv",10,2,31.9171547799685,-1.97278441059054,-3.66886273701505
"cv",10,3,31.9171547799685,-2.27189319178199,-4.26570474145533
"cv",10,4,31.9171547799685,-4.26943084597352,-3.89151174429731
"cv",10,5,31.9171547799685,-3.05615922912753,-4.19697064783592
"cv",10,6,31.9171547799685,-2.71452930068625,-4.16777117610194
"cv",10,7,31.9171547799685,-2.49815468506242,-3.92191639400459
"cv",10,8,31.9171547799685,-4.82938485341578,-4.23254403602743
