"","","","","par1","par2"
"cv",5,1,17.0059869083108,0.104939796961844,2.25228804125904
"cv",5,2,17.0059869083108,-1.79393616582857,-0.503975897819485
"cv",5,3,17.0059869083108,-0.966273865946701,2.2219571669018
"cv",5,4,17.0059869083108,-1.06590718303833,0.03724725896407
"cv",5,5,17.0059869083108,-0.99387657827731,2.4040560892091
"cv",5,6,17.0059869083108,3.48715971237779,-1.30809016072723
"cv",5,7,17.0059869083108,-0.105287563055754,2.50554411941483
"cv",5,8,17.0059869083108,3.17207861778977,-1.60398585274385
"cv",10,1,34.0119738166215,-3.49712596322486,2.60723539863142
"cv",10,2,34.0119738166215,1.38423072435087,1.45519809935812
"cv",10,3,34.0119738166215,-1.39277954050244,0.219258288491967
"cv",10,4,34.0119738166215,-0.376808340195566,1.39175706718153
"cv",10,5,34.0119738166215,2.05390814748881,-2.47648334922269
"cv",10,6,34.0119738166215,0.103143274058648,0.210597346469772
"cv",10,7,34.0119738166215,-1.73658381130543,-3.60718828781658
"cv",10,8,34.0119738166215,1.58707806629141,-1.04703479810667
