"","","","","par1","par2"
"cv",5,1,17.9124847392105,0.449087618920066,-2.58809119427452
"cv",5,2,13.8511449331079,0.368547390999307,-2.45376971325134
"cv",5,3,14.4389649103295,0.4213274011881,-2.48460039181792
"cv",5,4,15.8613672453834,0.426120496957729,-2.68858495492948
"cv",5,5,15.7867712655133,0.454139736905559,-2.51864746597632
"cv",5,6,14.0538181578056,0.389635270220431,-2.46599370651021
"cv",5,7,16.2997380091068,0.400826798397196,-2.55092278244806
"cv",5,8,15.8207334209329,0.41033891990102,-2.52087966147866
"cv",10,1,33.0284061194491,0.537816208071183,-2.02719839538781
"cv",10,2,30.2293142190206,0.574361476120611,-1.90434118157369
"cv",10,3,33.8618208897275,0.486034052358085,-2.07715041087959
"cv",10,4,30.3849268991826,0.682415613554311,-1.76568338373328
"cv",10,5,32.6113526331754,0.415608042911461,-2.07435931009876
"cv",10,6,28.1504360398634,0.526449132021065,-1.87395600016433
"cv",10,7,34.2481459021118,0.560741511401681,-2.00522288821204
"cv",10,8,30.0599762565675,0.461865773643458,-1.95189891047775
