"","V1","V2","V3","V4"
"cv",5,1,17.2009660361304,-0.307731441636689
"cv",5,2,15.4181980041444,0.0674459842516621
"cv",5,3,16.2851117809117,-0.18658424900369
"cv",5,4,17.6597891544547,-0.366869104095463
"cv",5,5,20.8853846781085,-0.5740094307721
"cv",5,6,15.1587475493248,0.316087779652218
"cv",5,7,15.8031901136092,-0.0552064458992512
"cv",5,8,17.6888864574503,-0.368319331446939
"cv",10,1,33.6515882320122,1.854980197876
"cv",10,2,34.1847414962168,0.80904774055531
"cv",10,3,37.7099518518268,0.139378922938724
"cv",10,4,34.006910505833,0.907419267532286
"cv",10,5,33.647422080707,1.45475211720326
"cv",10,6,33.8469276102543,1.04249062444933
"cv",10,7,33.7611780649632,2.48636699359113
"cv",10,8,34.4131280668899,0.706164473471486
