"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"244",1,"Cumulative","Rough",405.955184477698,"BMT","GV",0.0053620854564328,1.01,0.0817637279416601,NA,NA,0.78958613859573,"BMT-GV",0,1
"245",2,"Cumulative","Rough",387.115714792194,"BMT","GV",0.0515210004194385,1.04,0.162580607391794,NA,NA,0.0346348323216362,"BMT-GV",0,1
"246",3,"Cumulative","Smooth",408.149126771804,"BMT","GV",-1.33310217331761e-05,1.26,54.59815000828,NA,NA,54.5981499928164,"BMT-GV",0,1
"247",4,"Best","Rough",396.68907204868,"BMT","GV",0.0280651499687941,1.06,1.91668710449763,NA,NA,0.0169060138798932,"BMT-GV",0,1
"248",5,"Best","Rough",416.897265882465,"BMT","GV",-0.0214473000258717,1.16,4.20610009239308,NA,NA,0.0532315312930936,"BMT-GV",0,1
"249",6,"Best","Smooth",441.660729830067,"BMT","GV",-0.0821206971876975,1.11,0.00673794699915089,NA,NA,2.62171467742615,"BMT-GV",0,1
"250",7,"Cumulative","Rough",408.149947487932,"BMT","GV",-1.53418727053545e-05,1.24,54.5981500191183,NA,NA,54.5981499987949,"BMT-GV",0,1
"251",8,"Cumulative","Rough",408.152702886233,"BMT","GV",-2.20929223895272e-05,1.23,54.5981500183686,NA,NA,54.5981500025313,"BMT-GV",0,1
"252",9,"Cumulative","Smooth",387.115714792194,"BMT","GV",0.0515210004194385,1.13,0.0892841009625673,NA,NA,0.0206755427996511,"BMT-GV",0,1
"253",10,"Cumulative","Smooth",387.115714792194,"BMT","GV",0.0515210004194385,1.12,0.320977981741958,NA,NA,0.016084956341432,"BMT-GV",0,1
"254",11,"Best","Rough",387.115714792194,"BMT","GV",0.0515210004194385,1.15,0.067749099494316,NA,NA,0.0240196029176808,"BMT-GV",0,1
"255",12,"Best","Rough",406.702695881383,"BMT","GV",0.00353059466117533,1.01,0.00673794700545107,NA,NA,9.01584631786721,"BMT-GV",0,1
"256",13,"Best","Smooth",387.115714792194,"BMT","GV",0.0515210004194385,1.22,0.110754774949913,NA,NA,0.0201275971882533,"BMT-GV",0,1
