"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed","mainTextBest"
"1",1,"Cumulative","Rough",389.058084767249,"LocalSearch","",0.0467619656906498,1.01,NA,NA,NA,0.68007985639549,"LocalSearch-",0,NA
"2",2,"Cumulative","Rough",361.040658160044,"LocalSearch","",0.115407953812029,1.04,NA,NA,NA,0.41601498459461,"LocalSearch-",0,NA
"3",3,"Cumulative","Smooth",307.210308248054,"LocalSearch","",0.247298637864995,1.26,NA,NA,NA,0.351380627204383,"LocalSearch-",0,NA
"4",4,"Best","Rough",375.158861561814,"LocalSearch","",0.0808166961422792,1.06,NA,NA,NA,0.49822333511041,"LocalSearch-",0,NA
"5",5,"Best","Rough",369.2175702782,"LocalSearch","",0.0953735580767636,1.16,NA,NA,NA,0.455184383271422,"LocalSearch-",0,NA
"6",6,"Best","Smooth",361.723563586754,"LocalSearch","",0.113734755253603,1.11,NA,NA,NA,0.423791450126022,"LocalSearch-",0,NA
"7",7,"Cumulative","Rough",245.6821651341,"LocalSearch","",0.398049819996931,1.24,NA,NA,NA,0.217995765803621,"LocalSearch-",0,NA
"8",8,"Cumulative","Rough",269.903655379774,"LocalSearch","",0.33870432210388,1.23,NA,NA,NA,0.296578015849469,"LocalSearch-",0,NA
"9",9,"Cumulative","Smooth",361.864033302989,"LocalSearch","",0.113390587939193,1.13,NA,NA,NA,0.440217334338462,"LocalSearch-",0,NA
"10",10,"Cumulative","Smooth",366.488335374938,"LocalSearch","",0.102060504361172,1.12,NA,NA,NA,0.43271750431522,"LocalSearch-",0,NA
"11",11,"Best","Rough",391.64208470865,"LocalSearch","",0.0404308621325,1.15,NA,NA,NA,0.627623985553906,"LocalSearch-",0,NA
"12",12,"Best","Rough",365.163585482642,"LocalSearch","",0.105306297297308,1.01,NA,NA,NA,0.44359602039958,"LocalSearch-",0,NA
"13",13,"Best","Smooth",383.877427274517,"LocalSearch","",0.0594551854389458,1.22,NA,NA,NA,0.556714857340296,"LocalSearch-",0,NA
"14",14,"Best","Smooth",343.660641157914,"LocalSearch","",0.157991038168918,1.2,NA,NA,NA,0.365186338277051,"LocalSearch-",0,NA
"15",15,"Cumulative","Rough",360.859407035997,"LocalSearch","",0.115852040368682,1.05,NA,NA,NA,0.435658302766585,"LocalSearch-",0,NA
"16",16,"Cumulative","Smooth",358.119828394167,"LocalSearch","",0.1225643300283,1.13,NA,NA,NA,0.40463553700202,"LocalSearch-",0,NA
"17",17,"Cumulative","Smooth",371.56003321486,"LocalSearch","",0.0896342485684669,1.17,NA,NA,NA,0.474547830001804,"LocalSearch-",0,NA
"18",18,"Best","Rough",390.177823869647,"LocalSearch","",0.0440184732850165,1.06,NA,NA,NA,0.637905470481821,"LocalSearch-",0,NA
"19",19,"Best","Rough",407.520079109304,"LocalSearch","",0.00152790968438665,1.12,NA,NA,NA,1.97891635691793,"LocalSearch-",0,NA
"20",20,"Best","Smooth",369.356128492818,"LocalSearch","",0.0950340741659754,1.16,NA,NA,NA,0.466456393616776,"LocalSearch-",0,NA
"21",21,"Best","Smooth",373.723644355095,"LocalSearch","",0.0843331469821548,1.35,NA,NA,NA,0.473214384788038,"LocalSearch-",0,NA
"22",22,"Cumulative","Rough",365.551815941757,"LocalSearch","",0.104355087043119,1.09,NA,NA,NA,0.441986324114409,"LocalSearch-",0,NA
"23",23,"Cumulative","Rough",337.075664021137,"LocalSearch","",0.174125006097094,0.95,NA,NA,NA,0.363570408537565,"LocalSearch-",0,NA
"24",24,"Cumulative","Smooth",392.023246748641,"LocalSearch","",0.0394969703359287,1.17,NA,NA,NA,0.657459505233943,"LocalSearch-",0,NA
"25",25,"Cumulative","Smooth",380.012249215053,"LocalSearch","",0.068925325965298,1.02,NA,NA,NA,0.519085311754134,"LocalSearch-",0,NA
"26",26,"Best","Rough",377.352410541581,"LocalSearch","",0.0754422433304704,1.21,NA,NA,NA,0.500117711150826,"LocalSearch-",0,NA
"27",27,"Best","Rough",245.382576067837,"LocalSearch","",0.398783848420467,0.58,NA,NA,NA,0.225630238768902,"LocalSearch-",0,NA
"28",28,"Best","Smooth",365.708215761088,"LocalSearch","",0.103971889103831,1.19,NA,NA,NA,0.440868732220988,"LocalSearch-",0,NA
"29",29,"Best","Smooth",378.337508792728,"LocalSearch","",0.0730286368349599,1.2,NA,NA,NA,0.541907887108021,"LocalSearch-",0,NA
"30",30,"Cumulative","Rough",317.188130335007,"LocalSearch","",0.2228518010423,1.25,NA,NA,NA,0.313597181019045,"LocalSearch-",0,NA
"31",31,"Cumulative","Rough",305.736628385365,"LocalSearch","",0.250909326732574,1.11,NA,NA,NA,0.45229671061885,"LocalSearch-",0,NA
"32",32,"Cumulative","Smooth",372.990891265209,"LocalSearch","",0.0861284781740371,1.17,NA,NA,NA,0.569224814257293,"LocalSearch-",0,NA
"33",33,"Cumulative","Smooth",373.23095977336,"LocalSearch","",0.0855402821134253,1.18,NA,NA,NA,0.463841749733907,"LocalSearch-",0,NA
"34",34,"Best","Rough",367.205455147338,"LocalSearch","",0.100303476634538,0.82,NA,NA,NA,0.460196856147942,"LocalSearch-",0,NA
"35",35,"Best","Rough",380.029282331487,"LocalSearch","",0.0688835928281055,0.92,NA,NA,NA,0.497498472077644,"LocalSearch-",0,NA
