"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"1",1,"Cumulative","Rough",241.887489596873,"BMT","UCB",0.407347221057527,1.01,4.41785929135884,NA,0.023002392055045,0.00974120263796667,"BMT-UCB"
"2",2,"Cumulative","Rough",255.992710792871,"BMT","UCB",0.37278777131774,1.04,3.98176314593503,NA,0.0172942751601632,0.00939010373733146,"BMT-UCB"
"3",3,"Cumulative","Smooth",309.149765834244,"BMT","UCB",0.242546738831226,1.26,1.04460669837096,NA,0.0181026448242787,0.058735762687249,"BMT-UCB"
"4",4,"Best","Rough",211.302139259448,"BMT","UCB",0.482284924130195,1.06,5.7642841728241,NA,0.0100855349484938,0.00673889347748325,"BMT-UCB"
"5",5,"Best","Rough",268.768878114839,"BMT","UCB",0.341484659775189,1.16,8.02603514557879,NA,0.0134876829705858,0.00673804492168958,"BMT-UCB"
"6",6,"Best","Smooth",299.775764969675,"BMT","UCB",0.265514142690989,1.11,5.01474338187916,NA,0.00673796485778135,0.0195483771117571,"BMT-UCB"
"7",7,"Cumulative","Rough",324.34130109909,"BMT","UCB",0.205325691946499,1.24,0.00674202410835318,NA,0.0115125917803524,0.0893345028209605,"BMT-UCB"
"8",8,"Cumulative","Rough",291.810170168577,"BMT","UCB",0.285030786162993,1.23,1.36476144774528,NA,0.00865322940057728,0.0593496155351311,"BMT-UCB"
"9",9,"Cumulative","Smooth",151.664604480489,"BMT","UCB",0.628403893635122,1.13,6.67092125506954,NA,0.00673802781976446,0.00673821739633475,"BMT-UCB"
"10",10,"Cumulative","Smooth",230.79060816257,"BMT","UCB",0.434535884806096,1.12,6.49228075668932,NA,0.0276149213081482,0.00675044538778235,"BMT-UCB"
"11",11,"Best","Rough",197.637724091917,"BMT","UCB",0.515764347291591,1.15,7.06302415625784,NA,0.00673818065197072,0.00673804231424704,"BMT-UCB"
"12",12,"Best","Rough",391.921975681141,"BMT","UCB",0.0397450963538568,1.01,1.37107057662723,NA,0.00673795084425893,0.0974132080753253,"BMT-UCB"
"13",13,"Best","Smooth",197.628329744797,"BMT","UCB",0.515787364546166,1.22,3.99946282053073,NA,0.025539371682695,0.0163795126951982,"BMT-UCB"
"14",14,"Best","Smooth",190.707533457776,"BMT","UCB",0.532744128861815,1.2,4.69871990240082,NA,0.0085080563742534,0.00673819487577147,"BMT-UCB"
"15",15,"Cumulative","Rough",413.839809128554,"BMT","UCB",-0.0139561716309242,1.05,1.31040601638231,NA,0.0192681133148732,0.0846290055536002,"BMT-UCB"
"16",16,"Cumulative","Smooth",165.921910850399,"BMT","UCB",0.593471817344433,1.13,6.28107667002713,NA,0.00675910693721945,0.00674382453542422,"BMT-UCB"
"17",17,"Cumulative","Smooth",155.704517671865,"BMT","UCB",0.618505631498682,1.17,7.69457522318146,NA,0.00911025096996677,0.00673847627001613,"BMT-UCB"
"18",18,"Best","Rough",309.303153147921,"BMT","UCB",0.242170921884855,1.06,6.43512082755511,NA,0.0429938427937498,0.00673889578321587,"BMT-UCB"
"19",19,"Best","Rough",399.800276492287,"BMT","UCB",0.0204423334170394,1.12,8.04271271035848,NA,0.00674133214502581,0.00884256215240924,"BMT-UCB"
"20",20,"Best","Smooth",166.750459040219,"BMT","UCB",0.591441776898757,1.16,2.69647738032897,NA,0.0219843886397948,0.00673867764237921,"BMT-UCB"
"21",21,"Best","Smooth",325.982275516569,"BMT","UCB",0.201305111757285,1.35,1.33018702791661,NA,0.0349916827501265,0.0588364655134882,"BMT-UCB"
"22",22,"Cumulative","Rough",200.402082735108,"BMT","UCB",0.508991343716205,1.09,6.68458688697365,NA,0.0150053495848465,0.0067382424536109,"BMT-UCB"
