"","","","","par1","par2","par3"
"cv",5,1,17.4025366773416,0.0190086770596462,-1.24375822877299,-4.99995169773784
"cv",5,2,24.7663592091577,0.271839939537861,1.34084028460588,-2.48063430374188
"cv",5,3,16.4723095690557,-0.525839903826214,-1.33449644606917,-4.99999160573613
"cv",5,4,16.4723095690561,-0.487352694649175,-1.32714581743409,-4.99996951966539
"cv",5,5,16.4723095690557,-0.491941826946298,-1.32809045407595,-4.9999949114327
"cv",5,6,16.4723095690592,-0.492356348290877,-1.32834326625676,-4.99999288344843
"cv",5,7,16.4723095690557,-0.48212221634253,-1.3267618991356,-4.99981743744481
"cv",5,8,16.4723095690557,-0.495676149664162,-1.32927213359626,-4.9999644019433
"cv",10,1,34.7135557350113,-4.99997886992441,-1.59272288601806,-1.60886403137099
"cv",10,2,32.5797822113621,-4.99997250949024,-1.54842674373001,-1.21163429509428
"cv",10,3,32.6337760961171,-4.99931956778453,-1.56948328494341,-1.23844221395969
"cv",10,4,33.3728344962552,-4.99994130166071,-1.20975219858821,-0.913982076105406
"cv",10,5,34.7786022088836,-4.99999688438131,-1.59298542132998,-1.59451743656391
"cv",10,6,33.384465628936,-4.99996836270529,-1.48934784310068,-1.20050070388544
"cv",10,7,33.7144279964264,-4.99997308313191,-1.44204194575964,-1.24515504762865
"cv",10,8,32.5507688857846,-4.99998399635948,-1.53498061876951,-1.19367791001644
