"","","","","par1","par2","par3"
"cv",5,1,16.4723095690557,-3.5804738601467,1.26707810127431,-4.27686698685542
"cv",5,2,16.4723095690561,-2.07498961964211,3.49878395456393,-4.96843054922931
"cv",5,3,16.5056064820321,-0.517094584632016,3.99992599530483,1.97466557897264
"cv",5,4,16.5004301308023,-0.533101268868499,3.99998629184431,1.92150413273279
"cv",5,5,16.4587862712204,-0.549402473512099,3.99999698892862,1.95762782447215
"cv",5,6,16.4723095690557,-2.11978419460242,2.1597752152685,-3.00780299813238
"cv",5,7,16.4723095690557,-2.10720127257885,2.95746373717004,-2.99200402388467
"cv",5,8,16.9917879153083,-0.398473385204956,3.99998618533596,1.96018951920822
"cv",10,1,32.425446699615,-0.361218575395959,3.28410772069905,1.37446420455619
"cv",10,2,32.6352725331499,-0.540381200585491,0.634865731446475,-1.60824618786304
"cv",10,3,32.1665043538952,-0.409556568163194,1.17521977236907,-0.819266869622665
"cv",10,4,32.1623749596816,-0.396653345602462,3.99891514863586,2.01757040126176
"cv",10,5,31.6837253225946,-0.452451036794623,3.58631372207719,1.55522287699273
"cv",10,6,31.526289627293,-0.479596204597841,1.82058184923787,-0.247233756391757
"cv",10,7,31.7838570654664,-0.454210454156338,3.42575855588496,1.35579980577388
"cv",10,8,31.7956733108634,-0.461112595083561,1.78154516836449,-0.291925095587262
