"","","","","par1","par2","par3"
"cv",5,1,16.9263476687037,-0.193366448379419,-2.7327845307243,-2.49838228878986
"cv",5,2,15.830891460127,-0.063277764093741,-2.87251594528089,-2.46268465980858
"cv",5,3,5.19961084160242,-0.932043330065553,-3.36171346360881,-2.22009914672333
"cv",5,4,8.37836637449955,0.279625784758773,-2.75912892463302,-2.51675316002127
"cv",5,5,17.9631146771168,-0.369477546307128,-2.91708573030869,-2.55030162765713
"cv",5,6,12.2462199143676,0.0986507806599873,-3.08034878481363,-2.44036904948865
"cv",5,7,12.4046981010667,-0.875348258526285,-3.42833029076382,-2.30788210808778
"cv",5,8,16.7996690617406,-0.494370041047427,-3.37166207777221,-2.38869448779715
"cv",10,1,19.808166297447,0.314290230574494,-3.89446434046357,-2.46502541456314
"cv",10,2,33.9525172518431,0.324931703965949,-3.23494302987284,-2.56307963348881
"cv",10,3,23.2543660313026,0.278872082447913,-3.04662402790736,-2.5464711851663
"cv",10,4,19.7835073326794,0.308861651279732,-3.71568133932183,-2.49617183458504
"cv",10,5,19.8479472207617,0.222797536750325,-3.51790542603211,-2.51436698986665
"cv",10,6,23.0383190939653,0.279970055677624,-3.68265089535066,-2.51883416080053
"cv",10,7,28.7281663392622,0.405148821809137,-3.57453469986784,-2.59122645668967
"cv",10,8,20.1446212306827,0.214694890662341,-3.38278920225891,-2.46822610123887
