"","","","","par1","par2","par3"
"cv",5,1,6.61643998758068,-0.934177520291748,-1.80992639378717,-4.99999817617779
"cv",5,2,16.4504688461333,-0.844768587990305,-1.7698970738113,-4.75147872796835
"cv",5,3,5.62897909463401,-0.645615835311805,-2.42859560600732,-2.99172133742356
"cv",5,4,3.34487601449936,-0.942225992327029,-1.7622500454544,-4.99999964033566
"cv",5,5,15.9759015843502,-0.969896312907186,-1.97059261887812,-4.9999999509762
"cv",5,6,6.73888010092941,-0.93082560386952,-1.83431643190569,-4.99999965133553
"cv",5,7,16.1371816418128,-0.941698862168518,-1.74822528727129,-4.86364695793032
"cv",5,8,11.5129654651702,-0.939696478526944,-1.76130181869365,-4.99999883089881
"cv",10,1,18.5644793485834,-0.590627910109721,-2.01633930081578,-3.74960278632922
"cv",10,2,4.65098430521763,-0.625643135099241,-1.90165323020666,-3.74636731500317
"cv",10,3,4.60689002567781,-0.655758726714924,-1.87904195341194,-3.87368111631787
"cv",10,4,13.4129645882726,-0.73616499949223,-1.83210403178204,-3.86952689562983
"cv",10,5,10.3090266866322,-0.654079278142032,-1.85580252828464,-3.87468645947879
"cv",10,6,29.3519179615917,-0.938101374393796,-1.50653612795891,-4.99999862882551
"cv",10,7,12.613325170871,-0.686523134103079,-1.83975703727701,-3.89413190994142
"cv",10,8,16.4367412662177,-0.677148660683972,-1.83985590500426,-3.89881905349655
