"","trial","Environment","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,"Smooth",49.6510113461173,0.28601698783271,49.6510113461173,0.28601698783271,"GP-UCB"
"2",2,"Smooth",50.4197953106615,0.288013648778161,65.5505526388305,0.237540595302321,"GP-UCB"
"3",3,"Smooth",67.0484964165288,0.279188984593902,72.2932974616715,0.203912643183185,"GP-UCB"
"4",4,"Smooth",72.1723933429193,0.251304028589356,76.1910437846683,0.180021615344305,"GP-UCB"
"5",5,"Smooth",75.4067835204199,0.227660853505644,78.5505283683714,0.162714911000524,"GP-UCB"
"6",6,"Smooth",77.60195575747,0.207333167257032,80.0345514798863,0.150825733574641,"GP-UCB"
"7",7,"Smooth",79.1389100828099,0.191267999145523,81.044124833401,0.142373084714408,"GP-UCB"
"8",8,"Smooth",80.3283039236038,0.175654557985411,81.7795061645947,0.1360669658708,"GP-UCB"
"9",9,"Smooth",81.0692883908058,0.16665404037266,82.2764723220339,0.131705130467384,"GP-UCB"
"10",10,"Smooth",81.8127018249879,0.153681633011319,82.6578284482636,0.12816123112503,"GP-UCB"
"11",11,"Smooth",82.1749959169312,0.14848207868998,82.8970026820487,0.126120267443644,"GP-UCB"
"12",1,"Rough",50.4289298280385,0.263107810819895,50.4289298280385,0.263107810819895,"GP-UCB"
"13",2,"Rough",50.5955119462761,0.266468015616454,64.9162193257287,0.218660589118806,"GP-UCB"
"14",3,"Rough",65.7642775660016,0.263552258715721,71.2877917087506,0.188271313735239,"GP-UCB"
"15",4,"Rough",70.2188739071608,0.24254189548022,74.6548334728704,0.168973592639285,"GP-UCB"
"16",5,"Rough",73.4901180707274,0.220030370935821,76.8308492778242,0.15592862754983,"GP-UCB"
"17",6,"Rough",75.6048993180666,0.203234726815521,78.2468848057893,0.146663986269795,"GP-UCB"
"18",7,"Rough",77.2381553948423,0.187393188346388,79.2760606126655,0.1395933291951,"GP-UCB"
"19",8,"Rough",78.5036954502654,0.172091165629009,79.9673327006549,0.135051248823989,"GP-UCB"
"20",9,"Rough",79.2704958119505,0.163480338575395,80.4516897887309,0.131916257051653,"GP-UCB"
"21",10,"Rough",79.814327685417,0.156938404205315,80.7885261213628,0.129694944581283,"GP-UCB"
"22",11,"Rough",80.3126670012435,0.149157484713149,81.0441485453805,0.127906206240013,"GP-UCB"
