"participant","leaveoutindex","reward","environment","horizon","kError","beta","tau"
1,1,"Cumulative","Rough",5,2.3218014198925,0.281102642239781,0.0766335617244002
1,2,"Cumulative","Rough",5,2.05123988795574,0.299957495785145,0.0929024173175819
1,3,"Cumulative","Rough",5,3.38631210228124,0.359573164626574,0.0581555989309133
1,4,"Cumulative","Rough",5,0.778323742354152,15.3101630562207,0.0302034037432342
1,5,"Cumulative","Rough",5,1.61461088330963,0.306274144268509,0.124495823344052
1,6,"Cumulative","Rough",5,0.912134533398091,0.255457125328837,0.155964643090927
1,7,"Cumulative","Rough",5,2.75025646218441,0.345653158268464,0.0771947122348701
1,8,"Cumulative","Rough",5,2.04851211234633,0.318248391934493,0.0990941393569998
1,1,"Cumulative","Rough",10,0.0299543728403228,1.07390587411778,0.00748336514786756
1,2,"Cumulative","Rough",10,1.44840730550729,0.460071584298241,0.100121207266075
1,3,"Cumulative","Rough",10,1.08664024255254,0.471265498664224,0.129724336511088
1,4,"Cumulative","Rough",10,1.74661164293635,0.459200088314514,0.0825844624680173
1,5,"Cumulative","Rough",10,1.12466594934107,0.455830060643,0.123462894508395
1,6,"Cumulative","Rough",10,1.08220161674217,0.469884744259028,0.129871463245226
1,7,"Cumulative","Rough",10,2.05966833070596,0.51233960183321,0.0833703229306426
1,8,"Cumulative","Rough",10,1.3365862130205,0.501657043949485,0.123511564113215
2,1,"Cumulative","Rough",5,0.290119090981442,30.5482989377558,0.0121463721935865
2,2,"Cumulative","Rough",5,0.0546105551333062,6.90118609699953,0.160806609616832
2,3,"Cumulative","Rough",5,0.0368254379911487,9.32950811986383,0.0467305584460444
2,4,"Cumulative","Rough",5,0.133373156820132,1.43696525620308,0.0790520352393957
2,5,"Cumulative","Rough",5,1.63277665226909,14.5790969073037,0.0218383692904329
2,6,"Cumulative","Rough",5,0.83050815378683,43.4785575192217,0.0499344207838348
2,7,"Cumulative","Rough",5,0.0307095326680253,35.2336625632027,0.0487754679000931
2,8,"Cumulative","Rough",5,0.359136712122574,4.25322416445179,0.191439269285162
2,1,"Cumulative","Rough",10,0.0306137917440228,1.21670656015513,0.0643604655174525
2,2,"Cumulative","Rough",10,0.404114827202295,0.575270496261908,0.013022026158721
2,3,"Cumulative","Rough",10,1.96626804634269,14.0910200674014,0.165992357071593
2,4,"Cumulative","Rough",10,1.03311373533528,23.9637843356361,0.0658482531072208
2,5,"Cumulative","Rough",10,0.248388212522432,0.981685558587795,0.0211509072110535
2,6,"Cumulative","Rough",10,0.32125020421123,1.22495425207376,0.0314511224990429
2,7,"Cumulative","Rough",10,0.0173809758129667,13.4843498157763,0.337111429357944
2,8,"Cumulative","Rough",10,0.153528601421241,16.9636167446662,0.558059006393798
3,1,"Cumulative","Smooth",5,10.4077405336265,0.00807402057842136,0.0067380460049516
3,2,"Cumulative","Smooth",5,10.6680534045693,0.00829402463991962,0.00673823445310776
3,3,"Cumulative","Smooth",5,7.99360360931188,0.161042896541046,0.00675138121457359
3,4,"Cumulative","Smooth",5,9.613466466515,0.00827377065199284,0.00673825370967194
3,5,"Cumulative","Smooth",5,10.4026930135012,0.00857756390011687,0.00673958869164243
3,6,"Cumulative","Smooth",5,10.3980144910568,0.00872494577500918,0.00673812754804692
3,7,"Cumulative","Smooth",5,9.63972993485095,0.0082848474801312,0.00673870152067879
3,8,"Cumulative","Smooth",5,10.6644040724497,0.00847842310910392,0.00673804873109657
3,1,"Cumulative","Smooth",10,9.06954956683272,0.00712674815038365,0.00673796159879698
3,2,"Cumulative","Smooth",10,8.81116391093256,0.00753795914293427,0.00673795168258406
3,3,"Cumulative","Smooth",10,8.93569901671316,0.00733512710985739,0.00673796406089496
3,4,"Cumulative","Smooth",10,8.97363668566602,0.00727564701466758,0.00673794769612599
3,5,"Cumulative","Smooth",10,9.29076448201303,0.00680266190937391,0.0067380216156069
3,6,"Cumulative","Smooth",10,9.55374668171745,0.00691930618182296,0.0067379533279798
3,7,"Cumulative","Smooth",10,8.8133713373527,0.00728080250724758,0.00673794754754562
3,8,"Cumulative","Smooth",10,9.48421963334215,0.00744225047079209,0.00673794871383276
4,1,"Best","Rough",5,0.00796658322921739,12.9576972776108,0.370507692948452
4,2,"Best","Rough",5,0.0444467195254139,0.911715292782166,0.0279329489175616
4,3,"Best","Rough",5,0.765415831762221,51.8590924917014,0.0151127758287022
4,4,"Best","Rough",5,7.12673773878451,34.7427640361442,0.00921799275631686
4,5,"Best","Rough",5,0.393837398572626,34.4384050697554,0.0527966926638789
4,6,"Best","Rough",5,0.0599872319677694,21.1603546673157,0.648407200541626
4,7,"Best","Rough",5,0.0768231744190633,8.91342688839321,0.0349324922278781
4,8,"Best","Rough",5,0.623411998269948,1.57671892397407,0.0210304461195303
4,1,"Best","Rough",10,3.0076941659417,1.65812594569476,0.244863388774259
4,2,"Best","Rough",10,17.4095784374363,1.35182336157694,0.0081076851790601
4,3,"Best","Rough",10,6.13253148310326,1.06195700618672,0.0466240749659461
4,4,"Best","Rough",10,1.66800307120702,10.6215600260615,0.0573713312757913
4,5,"Best","Rough",10,15.7592119332128,0.977316731269245,0.00703774242836427
4,6,"Best","Rough",10,17.6048536505689,1.3460805974687,0.00786738316559257
4,7,"Best","Rough",10,13.7690075122735,1.58124168888816,0.0151402816875762
4,8,"Best","Rough",10,6.11480472626092,1.57775767406564,0.0718317029351294
5,1,"Best","Rough",5,0.00673797754602015,0.196493406056002,0.0352104722405493
5,2,"Best","Rough",5,0.00673797475808225,0.19714796822532,0.030094901642624
5,3,"Best","Rough",5,0.00673802123806155,0.193519724471182,0.0389816745032536
5,4,"Best","Rough",5,0.544208913184541,4.14883624314643,0.0103248136130523
5,5,"Best","Rough",5,0.0067379789424189,0.19268575764757,0.0412357262391813
5,6,"Best","Rough",5,5.52400741766375,0.355697257847656,0.0070243088335521
5,7,"Best","Rough",5,0.00673798378531195,0.197322015236544,0.0254402232770136
5,8,"Best","Rough",5,0.00673795361580388,0.194436934910559,0.0336121268810827
5,1,"Best","Rough",10,15.9105172599125,43.833957821802,0.580664877344752
5,2,"Best","Rough",10,11.607970940817,34.6424864313109,0.849094623828469
5,3,"Best","Rough",10,23.1730739341402,7.87437005543001,0.0612693575105269
