"","trial","Environment","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,"Smooth",49.9203181769638,0.285161831007718,49.9203181769638,0.285161831007718,"Random"
"2",2,"Smooth",49.505358440357,0.284871961561246,64.8705573816178,0.242943216487285,"Random"
"3",3,"Smooth",49.7052332948234,0.283720909882441,72.4400994433874,0.214781363609476,"Random"
"4",4,"Smooth",49.434193240327,0.283956044148084,77.1947097151829,0.19482227953184,"Random"
"5",5,"Smooth",49.7729846276295,0.287657628380946,80.7369880008007,0.179971115496219,"Random"
"6",6,"Smooth",49.5717973405181,0.283265577494212,83.2809233220311,0.166876220954313,"Random"
"7",7,"Smooth",49.1567922923714,0.28517371397868,85.3144433728578,0.155898974309099,"Random"
"8",8,"Smooth",49.233381968974,0.281836874743061,86.9631668305757,0.145094727634383,"Random"
"9",9,"Smooth",49.5988470237506,0.285017526814088,88.3432228370743,0.136072889697189,"Random"
"10",10,"Smooth",49.2408191410153,0.283981804718944,89.4441120166076,0.129287950249288,"Random"
"11",11,"Smooth",49.62828853878,0.284222062813592,90.4368133773956,0.122475189489569,"Random"
"12",1,"Rough",49.8723588525222,0.266370391486812,49.8723588525222,0.266370391486812,"Random"
"13",2,"Rough",50.1266893175529,0.261020978384221,64.1094968728355,0.224000024504895,"Random"
"14",3,"Rough",50.3231186135377,0.262951241165525,71.3824721965311,0.199387975320001,"Random"
"15",4,"Rough",49.9429678421649,0.261552748425655,75.7818442292595,0.183297948454696,"Random"
"16",5,"Rough",49.9922655984152,0.263242411100178,79.0677816717199,0.171345855599633,"Random"
"17",6,"Rough",50.256666727724,0.262388587981616,81.4958404694912,0.161411549163395,"Random"
"18",7,"Rough",50.6137202209297,0.261278878141033,83.422407137931,0.153197357124872,"Random"
"19",8,"Rough",50.4453782858866,0.261519444538785,84.9851594901949,0.146557254961543,"Random"
"20",9,"Rough",49.9795643914029,0.262235607980903,86.1959127115938,0.140706811402765,"Random"
"21",10,"Rough",50.5553637522246,0.262387618120474,87.3561004286882,0.13557328009781,"Random"
"22",11,"Rough",49.9905634678292,0.264735636106611,88.3050681732949,0.130876915491674,"Random"
