"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","delta_x","overall","Horizon","tau","kError","lambda","beta","Model"
"1",1,1,3,79.0506642724066,79.0506642724066,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,NA,1,"Short",0.0766335617244002,2.3218014198925,NA,0.281102642239781,"BMT"
"2",1,2,2,59.7033824168301,79.0506642724066,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,1,1,"Short",0.0766335617244002,2.3218014198925,NA,0.281102642239781,"BMT"
"3",1,3,9,57.6350778286118,79.0506642724066,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,2,1,"Short",0.0766335617244002,2.3218014198925,NA,0.281102642239781,"BMT"
"4",1,4,7,65.1686349833162,79.0506642724066,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,3,1,"Short",0.0766335617244002,2.3218014198925,NA,0.281102642239781,"BMT"
"5",1,5,18,27.4872400873024,79.0506642724066,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,4,1,"Short",0.0766335617244002,2.3218014198925,NA,0.281102642239781,"BMT"
"6",1,6,13,45.344488105146,79.0506642724066,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,9,1,"Short",0.0766335617244002,2.3218014198925,NA,0.281102642239781,"BMT"
"7",1,1,28,53.717444709569,53.717444709569,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,NA,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"8",1,2,22,73.1609780343091,73.1609780343091,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,1,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"9",1,3,10,8.88489893569014,73.1609780343091,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"10",1,4,27,53.8238089672951,73.1609780343091,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,8,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"11",1,5,17,69.0691896841164,73.1609780343091,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,8,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"12",1,6,14,64.5864284045938,73.1609780343091,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,1,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"13",1,7,12,20.7110771882877,73.1609780343091,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"14",1,8,6,89.9057081740612,89.9057081740612,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"15",1,9,29,68.404589843482,89.9057081740612,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,9,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"16",1,10,24,90.4046836697583,90.4046836697583,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,1,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"17",1,11,7,48.3656224165916,90.4046836697583,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,1,2,"Long",0.00748336514786756,0.0299543728403228,NA,1.07390587411778,"BMT"
"18",1,1,26,40.7588525824159,40.7588525824159,"Rough","Avg. Reward Condition",5,"3",1.01,"0:04:16","0:00:52",28,NA,3,"Short",0.0929024173175819,2.05123988795574,NA,0.299957495785145,"BMT"
"19",1,2,20,100,100,"Rough","Avg. Reward Condition",5,"3",1.01,"0:04:16","0:00:52",28,9,3,"Short",0.0929024173175819,2.05123988795574,NA,0.299957495785145,"BMT"
"20",1,3,13,32.2291074630623,100,"Rough","Avg. Reward Condition",5,"3",1.01,"0:04:16","0:00:52",28,6,3,"Short",0.0929024173175819,2.05123988795574,NA,0.299957495785145,"BMT"
"21",1,4,0,2.01326098589518,100,"Rough","Avg. Reward Condition",5,"3",1.01,"0:04:16","0:00:52",28,1,3,"Short",0.0929024173175819,2.05123988795574,NA,0.299957495785145,"BMT"
"22",1,5,5,19.1163454402679,100,"Rough","Avg. Reward Condition",5,"3",1.01,"0:04:16","0:00:52",28,2,3,"Short",0.0929024173175819,2.05123988795574,NA,0.299957495785145,"BMT"
"23",1,6,10,72.0399697870742,100,"Rough","Avg. Reward Condition",5,"3",1.01,"0:04:16","0:00:52",28,3,3,"Short",0.0929024173175819,2.05123988795574,NA,0.299957495785145,"BMT"
"24",1,1,1,52.8976388165539,52.8976388165539,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,NA,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"25",1,2,21,27.5816423036034,52.8976388165539,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,11,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"26",1,3,20,66.8301803936595,66.8301803936595,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,1,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"27",1,4,11,47.234518795249,66.8301803936595,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,2,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"28",1,5,2,44.0908510302862,66.8301803936595,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,1,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"29",1,6,13,70.6443067640336,70.6443067640336,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,19,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"30",1,7,24,57.3102835629435,70.6443067640336,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,7,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"31",1,8,4,100,100,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,3,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"32",1,9,10,19.4932006688747,100,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,14,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"33",1,10,25,69.2300066185932,100,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,1,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"34",1,11,28,21.8651494441146,100,"Rough","Avg. Reward Condition",10,"4",1.01,"0:04:16","0:00:52",31,2,4,"Long",0.100121207266075,1.44840730550729,NA,0.460071584298241,"BMT"
"35",1,1,17,73.2990337657909,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,NA,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574,"BMT"
"36",1,2,24,44.5335801107466,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,11,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574,"BMT"
"37",1,3,20,27.7733809007902,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574,"BMT"
"38",1,4,3,55.1901981353088,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,21,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574,"BMT"
"39",1,5,23,39.3797132761242,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,5,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574,"BMT"
"40",1,6,21,7.12173276947763,73.2990337657909,"Rough","Avg. Reward Condition",5,"5",1.01,"0:04:16","0:00:52",33,14,5,"Short",0.0581555989309133,3.38631210228124,NA,0.359573164626574,"BMT"
"41",1,1,5,35.969262434553,35.969262434553,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,NA,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"42",1,2,0,7.74116585311143,35.969262434553,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,7,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"43",1,3,19,27.7150927116534,35.969262434553,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,5,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"44",1,4,12,32.109106814837,35.969262434553,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,17,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"45",1,5,13,50.050652539151,50.050652539151,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,5,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"46",1,6,7,6.45447613341522,50.050652539151,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,25,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"47",1,7,6,6.24294832780476,50.050652539151,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,5,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"48",1,8,22,37.7659215131719,50.050652539151,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"49",1,9,23,25.679576789171,50.050652539151,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"50",1,10,27,8.38380014718469,50.050652539151,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,5,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"51",1,11,17,25.4040902482707,50.050652539151,"Rough","Avg. Reward Condition",10,"6",1.01,"0:04:16","0:00:52",12,6,6,"Long",0.129724336511088,1.08664024255254,NA,0.471265498664224,"BMT"
"52",1,1,12,15.4344800658662,15.4344800658662,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,NA,7,"Short",0.0302034037432342,0.778323742354152,NA,15.3101630562207,"BMT"
"53",1,2,5,28.2945849725631,28.2945849725631,"Rough","Avg. Reward Condition",5,"7",1.01,"0:04:16","0:00:52",25,7,7,"Short",0.0302034037432342,0.778323742354152,NA,15.3101630562207,"BMT"
