"","id","trial","x","y","ymax","kernel","scenario","horizon","round","reward","experimentDuration","instructionsDuration","env","delta_x","overall","Horizon","tau","kError","lambda","beta","Model"
"1",1,1,29,96.4460637734693,96.4460637734693,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,NA,1,"Short",0.0380424027107897,NA,0.905024743336261,0.33661530151033,"GP"
"2",1,2,9,57.6350778286118,96.4460637734693,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,1,1,"Short",0.0380424027107897,NA,0.905024743336261,0.33661530151033,"GP"
"3",1,3,27,73.2933025538738,96.4460637734693,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,2,1,"Short",0.0380424027107897,NA,0.905024743336261,0.33661530151033,"GP"
"4",1,4,29,96.4460637734693,96.4460637734693,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,3,1,"Short",0.0380424027107897,NA,0.905024743336261,0.33661530151033,"GP"
"5",1,5,29,96.4460637734693,96.4460637734693,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,4,1,"Short",0.0380424027107897,NA,0.905024743336261,0.33661530151033,"GP"
"6",1,6,29,96.4460637734693,96.4460637734693,"Rough","Avg. Reward Condition",5,"1",1.01,"0:04:16","0:00:52",9,9,1,"Short",0.0380424027107897,NA,0.905024743336261,0.33661530151033,"GP"
"7",1,1,10,8.88489893569014,8.88489893569014,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,NA,2,"Long",0.00673794779085991,NA,0.445033715828803,0.558576172104427,"GP"
"8",1,2,1,54.0702899966243,54.0702899966243,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,1,2,"Long",0.00673794779085991,NA,0.445033715828803,0.558576172104427,"GP"
"9",1,3,16,74.1786361546876,74.1786361546876,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,2,2,"Long",0.00673794779085991,NA,0.445033715828803,0.558576172104427,"GP"
"10",1,4,16,74.1786361546876,74.1786361546876,"Rough","Avg. Reward Condition",10,"2",1.01,"0:04:16","0:00:52",37,8,2,"Long",0.00673794779085991,NA,0.445033715828803,0.558576172104427,"GP"
