"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"1",1,"Cumulative","Rough",914.479966780666,"LBMT","UCB",0.205483817799778,0.89,31.6527862597894,NA,41.9576544725467,20.9422144932351,"LBMT-UCB"
"2",2,"Cumulative","Rough",893.766386480935,"LBMT","UCB",0.223480138481767,0.86,5.63462296341803,NA,23.175237876057,11.7513289699237,"LBMT-UCB"
"3",3,"Cumulative","Smooth",788.023628522601,"LBMT","UCB",0.315351295205016,1.19,15.352082580356,NA,0.0155353187582328,0.00674171358365423,"LBMT-UCB"
"4",4,"Cumulative","Smooth",781.855160464138,"LBMT","UCB",0.320710568092193,1.27,19.656857022295,NA,46.7971182734472,17.5082072524471,"LBMT-UCB"
"5",5,"Best","Rough",914.78395190154,"LBMT","UCB",0.205219710212454,0.86,16.5402721074963,NA,0.0152232590066829,0.00769530971643802,"LBMT-UCB"
"6",6,"Best","Rough",885.321566595989,"LBMT","UCB",0.230817145631281,0.92,12.5636253816172,NA,0.0334723628632971,0.0173938019648911,"LBMT-UCB"
"7",7,"Best","Smooth",914.328463634522,"LBMT","UCB",0.205615446381747,1.39,3.17186047749399,NA,53.8219754277234,24.7559254192873,"LBMT-UCB"
"8",8,"Best","Smooth",937.386195053154,"LBMT","UCB",0.185582486226892,1.38,8.84089167361112,NA,0.182521189059587,0.107305088790247,"LBMT-UCB"
"9",9,"Cumulative","Rough",778.719478676777,"LBMT","UCB",0.323434903247461,1.24,18.7179723748947,NA,0.020379718843905,0.00767923840309357,"LBMT-UCB"
"10",10,"Cumulative","Rough",840.066987696017,"LBMT","UCB",0.270135114926181,1.1,33.6296015124376,NA,0.0164073626278922,0.00675733217122252,"LBMT-UCB"
"11",11,"Cumulative","Smooth",732.016661004443,"LBMT","UCB",0.364011127706094,1.07,2.90542438401488,NA,58.808287370014,18.9056941442301,"LBMT-UCB"
"12",12,"Cumulative","Smooth",853.899663825396,"LBMT","UCB",0.258117044080282,1.05,5.21903346224586,NA,44.9563503543576,22.586448133851,"LBMT-UCB"
"13",13,"Best","Rough",708.724895419881,"LBMT","UCB",0.384247420835725,1.16,10.6703078528989,NA,44.7156090144256,17.0843472973001,"LBMT-UCB"
"14",14,"Best","Rough",743.965287805529,"LBMT","UCB",0.353629951853818,1.12,8.94415021456207,NA,45.236622504286,19.4361834237037,"LBMT-UCB"
"15",15,"Best","Smooth",830.065250490344,"LBMT","UCB",0.278824799062179,1.29,2.83952569725815,NA,45.746638189556,20.7232026415437,"LBMT-UCB"
"16",16,"Best","Smooth",567.881620030489,"LBMT","UCB",0.506614520735021,1.2,11.8523684118322,NA,0.331103501708508,0.10813151006167,"LBMT-UCB"
"17",17,"Cumulative","Rough",683.977428567349,"LBMT","UCB",0.405748452675733,0.84,8.56568814393057,NA,47.2599256641547,17.8071996985436,"LBMT-UCB"
"18",18,"Cumulative","Rough",1017.40573738294,"LBMT","UCB",0.116060108938421,1.17,36.4569183607914,NA,50.4946871149567,29.7322169816955,"LBMT-UCB"
"19",19,"Cumulative","Smooth",828.070539379315,"LBMT","UCB",0.280557838947247,1.06,5.42765902135798,NA,0.378094518738,0.177633330066184,"LBMT-UCB"
