"","participant","reward","environment","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"1",1,"Cumulative","Rough",20,1,987.25346644002,0.14225692905967,"LBMT","UCB",1.35974713804674,NA,0.294280723661416,0.239084710269255,86.7176544361903,0.89
"2",1,"Cumulative","Rough",20,2,987.25346644002,0.14225692905967,"LBMT","UCB",1.25024410063524,NA,0.360082580949102,0.271733350284223,90.1819398941546,0.89
"3",1,"Cumulative","Rough",20,3,987.25346644002,0.14225692905967,"LBMT","UCB",0.00673863333379451,NA,42.2375796625678,33.5073056706048,88.6014821041506,0.89
"4",1,"Cumulative","Rough",20,4,987.25346644002,0.14225692905967,"LBMT","UCB",1.21034319081729,NA,0.878211336880279,0.629252771342293,93.7578869453149,0.89
"5",1,"Cumulative","Rough",40,1,987.25346644002,0.14225692905967,"LBMT","UCB",0.0067400538533311,NA,0.161260580522246,0.0964837319014983,142.831769557951,0.89
"6",1,"Cumulative","Rough",40,2,987.25346644002,0.14225692905967,"LBMT","UCB",0.146197448058901,NA,0.186521203953037,0.0944719643023016,191.773861018284,0.89
"7",1,"Cumulative","Rough",40,3,987.25346644002,0.14225692905967,"LBMT","UCB",0.00673818262868183,NA,0.171289812045896,0.101806669238294,143.230024114785,0.89
"8",1,"Cumulative","Rough",40,4,987.25346644002,0.14225692905967,"LBMT","UCB",0.309816852413192,NA,0.208860780263944,0.118584981353812,150.15884836919,0.89
"9",2,"Cumulative","Rough",20,1,972.773937600134,0.154836996848824,"LBMT","UCB",0.00673833447459048,NA,0.18331249187923,0.111470779948688,84.2770897051867,0.86
"10",2,"Cumulative","Rough",20,2,972.773937600134,0.154836996848824,"LBMT","UCB",0.00674050729450473,NA,44.6118795913948,27.0808710980418,85.6824532795453,0.86
"11",2,"Cumulative","Rough",20,3,972.773937600134,0.154836996848824,"LBMT","UCB",0.00673920656882802,NA,0.2103483728514,0.139941866619768,74.4212501374973,0.86
"12",2,"Cumulative","Rough",20,4,972.773937600134,0.154836996848824,"LBMT","UCB",0.00673913906083229,NA,0.223256287310139,0.1303391799725,88.9587097986149,0.86
"13",2,"Cumulative","Rough",40,1,972.773937600134,0.154836996848824,"LBMT","UCB",0.0350060760079289,NA,0.238191564845088,0.13124536935629,169.152624234356,0.86
"14",2,"Cumulative","Rough",40,2,972.773937600134,0.154836996848824,"LBMT","UCB",0.0171978077947349,NA,0.219658989623336,0.126680512670179,158.768144848507,0.86
"15",2,"Cumulative","Rough",40,3,972.773937600134,0.154836996848824,"LBMT","UCB",0.654889665492811,NA,37.6788852910308,22.1360192891471,151.172255310027,0.86
"16",2,"Cumulative","Rough",40,4,972.773937600134,0.154836996848824,"LBMT","UCB",0.0323270094842857,NA,0.210770727516347,0.120127061294721,160.3414102864,0.86
"17",3,"Cumulative","Smooth",20,1,640.711776192347,0.44333840783506,"LBMT","UCB",1.03955039243958,NA,0.120710038431272,0.0746764054183155,31.6425913202783,1.19
"18",3,"Cumulative","Smooth",20,2,640.711776192347,0.44333840783506,"LBMT","UCB",1.90740317848637,NA,0.125203396145801,0.0702885682474389,58.297967118554,1.19
"19",3,"Cumulative","Smooth",20,3,640.711776192347,0.44333840783506,"LBMT","UCB",1.08283686027539,NA,0.142276925541163,0.0617713124408404,101.371273235411,1.19
"20",3,"Cumulative","Smooth",20,4,640.711776192347,0.44333840783506,"LBMT","UCB",0.364835360738978,NA,0.108701033960105,0.0660533853155802,35.6813730995799,1.19
"21",3,"Cumulative","Smooth",40,1,640.711776192347,0.44333840783506,"LBMT","UCB",2.00549919014475,NA,0.0785623546208278,0.048470332262117,95.962680065233,1.19
"22",3,"Cumulative","Smooth",40,2,640.711776192347,0.44333840783506,"LBMT","UCB",1.19925910817685,NA,0.0930089850068493,0.0575065092466143,52.5174197225201,1.19
"23",3,"Cumulative","Smooth",40,3,640.711776192347,0.44333840783506,"LBMT","UCB",0.00673794746474251,NA,0.0862134692129404,0.0468035544209364,121.283930780608,1.19
"24",3,"Cumulative","Smooth",40,4,640.711776192347,0.44333840783506,"LBMT","UCB",1.58340005656275,NA,0.0890449816399619,0.0527835840082787,143.954540850163,1.19
"25",4,"Cumulative","Smooth",20,1,695.164570711876,0.396028868005452,"LBMT","UCB",0.00673800463997663,NA,0.153416832546919,0.0749685884062615,33.7306405440603,1.27
"26",4,"Cumulative","Smooth",20,2,695.164570711876,0.396028868005452,"LBMT","UCB",0.00673794955168049,NA,0.15029002408988,0.0653860055980548,75.8531948024875,1.27
"27",4,"Cumulative","Smooth",20,3,695.164570711876,0.396028868005452,"LBMT","UCB",0.00673795517524588,NA,0.14594084840338,0.069841221567215,61.3828112626,1.27
"28",4,"Cumulative","Smooth",20,4,695.164570711876,0.396028868005452,"LBMT","UCB",0.00673795529728905,NA,0.159880282864393,0.0682286863712075,68.591832662607,1.27
"29",4,"Cumulative","Smooth",40,1,695.164570711876,0.396028868005452,"LBMT","UCB",0.00673796776459075,NA,0.151094403570943,0.068495490268376,103.985062558542,1.27
"30",4,"Cumulative","Smooth",40,2,695.164570711876,0.396028868005452,"LBMT","UCB",0.00673795106602243,NA,0.145708704665113,0.0652036805074791,131.058308177381,1.27
"31",4,"Cumulative","Smooth",40,3,695.164570711876,0.396028868005452,"LBMT","UCB",0.00673796712005161,NA,0.150574625676719,0.0650312830590521,146.917937093747,1.27
"32",4,"Cumulative","Smooth",40,4,695.164570711876,0.396028868005452,"LBMT","UCB",0.00673797980494461,NA,0.143169468450684,0.0680232148741586,73.6447836104512,1.27
"33",5,"Best","Rough",20,1,260.974584826091,0.77326071831047,"LBMT","UCB",0.00673794829119002,NA,0.0323633543231762,0.0268260398895292,0.427077773814587,0.86
"34",5,"Best","Rough",20,2,260.974584826091,0.77326071831047,"LBMT","UCB",0.00673794813954663,NA,0.0349713833125848,0.0224482427215146,78.5406127332709,0.86
"35",5,"Best","Rough",20,3,260.974584826091,0.77326071831047,"LBMT","UCB",0.00673794730440591,NA,0.0257402740172954,0.0283588363849253,16.7288027183791,0.86
"36",5,"Best","Rough",20,4,260.974584826091,0.77326071831047,"LBMT","UCB",0.00673794755352137,NA,0.0337501526016878,0.0259044774184431,30.1428170266798,0.86
"37",5,"Best","Rough",40,1,260.974584826091,0.77326071831047,"LBMT","UCB",0.0445913020908824,NA,0.0597530329083324,0.0325940524096466,49.9307042090619,0.86
"38",5,"Best","Rough",40,2,260.974584826091,0.77326071831047,"LBMT","UCB",0.00673794702009371,NA,0.048817461976298,0.0338979675110542,10.7244764340339,0.86
"39",5,"Best","Rough",40,3,260.974584826091,0.77326071831047,"LBMT","UCB",0.00673794702228469,NA,0.042935265316888,0.0317351512282175,45.0264029961314,0.86
"40",5,"Best","Rough",40,4,260.974584826091,0.77326071831047,"LBMT","UCB",0.00673794724087576,NA,0.0248948768739463,0.0400252822593333,29.4536909347191,0.86
"41",6,"Best","Rough",20,1,881.106048446307,0.234479661495976,"LBMT","UCB",0.00673796078605595,NA,0.15206711910093,0.0836026531505515,54.9161633381654,0.92
"42",6,"Best","Rough",20,2,881.106048446307,0.234479661495976,"LBMT","UCB",0.761752919309607,NA,0.180275808593241,0.0844289083572514,81.5492540539689,0.92
"43",6,"Best","Rough",20,3,881.106048446307,0.234479661495976,"LBMT","UCB",0.42481540050492,NA,0.133725427429213,0.0682810181566282,59.9526037910362,0.92
"44",6,"Best","Rough",20,4,881.106048446307,0.234479661495976,"LBMT","UCB",0.861986186306828,NA,0.183904104398574,0.0831580940164424,88.919320697893,0.92
"45",6,"Best","Rough",40,1,881.106048446307,0.234479661495976,"LBMT","UCB",0.00673810000425145,NA,0.129935931145103,0.0698690187810063,136.649182067201,0.92
"46",6,"Best","Rough",40,2,881.106048446307,0.234479661495976,"LBMT","UCB",0.00673823897265228,NA,0.128226448380699,0.0670281830150152,148.651814301424,0.92
"47",6,"Best","Rough",40,3,881.106048446307,0.234479661495976,"LBMT","UCB",0.00675283659750196,NA,0.1538948828897,0.0813708020567399,121.444715939934,0.92
"48",6,"Best","Rough",40,4,881.106048446307,0.234479661495976,"LBMT","UCB",0.00673807310759679,NA,0.093952992700439,0.048662696000532,189.022994256685,0.92
"49",7,"Best","Smooth",20,1,1022.00617118269,0.112063171627806,"LBMT","UCB",0.00673800920007253,NA,40.2719851616949,28.2666629551626,86.5886517439364,1.39
"50",7,"Best","Smooth",20,2,1022.00617118269,0.112063171627806,"LBMT","UCB",1.13158179958344,NA,44.7207487552029,30.5615585547069,87.4558806213193,1.39
"51",7,"Best","Smooth",20,3,1022.00617118269,0.112063171627806,"LBMT","UCB",0.81316143759248,NA,44.736619740543,30.7731767142859,86.5989490890146,1.39
"52",7,"Best","Smooth",20,4,1022.00617118269,0.112063171627806,"LBMT","UCB",1.15869141556974,NA,44.7110155270028,31.0504058229887,86.2118992301443,1.39
"53",7,"Best","Smooth",40,1,1022.00617118269,0.112063171627806,"LBMT","UCB",0.945446518988333,NA,3.84927421242564,2.29269740818232,176.634037397905,1.39
"54",7,"Best","Smooth",40,2,1022.00617118269,0.112063171627806,"LBMT","UCB",0.00673907165173774,NA,0.516794716321375,0.314971425345542,177.27717302181,1.39
"55",7,"Best","Smooth",40,3,1022.00617118269,0.112063171627806,"LBMT","UCB",1.17834168603696,NA,0.70788480679229,0.433274190381901,170.910420432136,1.39
