"","participant","reward","environment","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"1",1,"Cumulative","Rough",987.25346644002,"LBMT","UCB",0.14225692905967,0.89,0.228007150236046,NA,0.25157075196268,0.178834845811534,"LBMT-UCB",3
"2",2,"Cumulative","Rough",972.773937600134,"LBMT","UCB",0.154836996848824,0.86,0.0119691575446198,NA,0.221457638466737,0.130792274664395,"LBMT-UCB",3
"3",3,"Cumulative","Smooth",640.711776192347,"LBMT","UCB",0.44333840783506,1.19,1.14104798422612,NA,0.100855009483477,0.0596389108437274,"LBMT-UCB",3
"4",4,"Cumulative","Smooth",695.164570711876,"LBMT","UCB",0.396028868005452,1.27,0.00673796120867033,NA,0.1504323248833,0.0681259506226831,"LBMT-UCB",3
"5",5,"Best","Rough",260.974584826091,"LBMT","UCB",0.77326071831047,0.86,0.00673794742896364,NA,0.0343607679571363,0.0300469938065714,"LBMT-UCB",3
"6",6,"Best","Rough",881.106048446307,"LBMT","UCB",0.234479661495976,0.92,0.00674553778507712,NA,0.142896273265071,0.0756199104188731,"LBMT-UCB",3
"7",7,"Best","Smooth",1022.00617118269,"LBMT","UCB",0.112063171627806,1.39,1.03851415928589,NA,22.0606296870603,15.2796801816725,"LBMT-UCB",3
"8",8,"Best","Smooth",1015.68141783892,"LBMT","UCB",0.117558227903055,1.38,0.00673863371668203,NA,0.18436978251388,0.117351865445833,"LBMT-UCB",3
"9",9,"Cumulative","Rough",450.817737701163,"LBMT","UCB",0.608321668229199,1.24,0.175197878480866,NA,0.107982038625758,0.0411931623540162,"LBMT-UCB",3
"10",10,"Cumulative","Rough",676.943531842989,"LBMT","UCB",0.411859625117381,1.1,0.139150041965581,NA,0.129728160483066,0.0644195948528375,"LBMT-UCB",3
"11",11,"Cumulative","Smooth",857.90996304678,"LBMT","UCB",0.254632826008155,1.07,0.0188178116660707,NA,0.219465462048203,0.107847385633895,"LBMT-UCB",3
"12",12,"Cumulative","Smooth",965.651980612869,"LBMT","UCB",0.161024677586365,1.05,0.320175356458364,NA,0.255095820675439,0.141171822163653,"LBMT-UCB",3
"13",13,"Best","Rough",718.935717403066,"LBMT","UCB",0.375376080189777,1.16,0.0067382965375216,NA,0.209427233748343,0.0855388575869813,"LBMT-UCB",3
"14",14,"Best","Rough",799.839217870285,"LBMT","UCB",0.305085704618034,1.12,0.432768834810222,NA,0.277760652921975,0.131161123569949,"LBMT-UCB",3
"15",15,"Best","Smooth",957.294388043918,"LBMT","UCB",0.168285900118822,1.29,0.00674753024622726,NA,44.641160729506,25.6617838551469,"LBMT-UCB",3
"16",16,"Best","Smooth",592.485997583551,"LBMT","UCB",0.485237807379899,1.2,0.28419245249264,NA,0.646823807369131,0.235716886942254,"LBMT-UCB",3
"17",17,"Cumulative","Rough",714.810992849179,"LBMT","UCB",0.378959712991181,0.84,0.683876551192122,NA,0.466448059635964,0.190401040891073,"LBMT-UCB",3
"18",18,"Cumulative","Rough",584.730461129738,"LBMT","UCB",0.491975953034298,1.17,0.452938632091731,NA,0.09656735037112,0.0576820998482101,"LBMT-UCB",3
"19",19,"Cumulative","Smooth",874.080016076411,"LBMT","UCB",0.240584001248981,1.06,0.00674437280726564,NA,0.247389021736411,0.128046698738542,"LBMT-UCB",3
"20",20,"Cumulative","Smooth",686.019261727338,"LBMT","UCB",0.403974472330734,1.01,0.357621929390498,NA,0.368029444648017,0.137704914835379,"LBMT-UCB",3
"21",21,"Best","Rough",868.923027325511,"LBMT","UCB",0.24506448323093,1.31,0.192119236634558,NA,0.220597726434903,0.112135897259046,"LBMT-UCB",3
"22",22,"Best","Rough",921.253785516958,"LBMT","UCB",0.199598605660882,1.14,0.274801302696478,NA,0.278418839232933,0.140063488452595,"LBMT-UCB",3
"23",23,"Best","Smooth",897.936808481226,"LBMT","UCB",0.21985680294004,1.39,0.151616150699951,NA,0.114396834603218,0.0825992220497865,"LBMT-UCB",3
"24",24,"Best","Smooth",998.514417750082,"LBMT","UCB",0.13247321769603,1.26,0.231330996135418,NA,0.233445570870163,0.138752058595096,"LBMT-UCB",3
"25",25,"Cumulative","Rough",709.729954553548,"LBMT","UCB",0.383374207889817,0.9,0.00673997708144889,NA,0.237420638172943,0.0946016850473428,"LBMT-UCB",3
"26",26,"Cumulative","Rough",698.318385954471,"LBMT","UCB",0.393288778187265,0.92,0.361282535146514,NA,0.41271788485524,0.161867548145937,"LBMT-UCB",3
"27",27,"Cumulative","Smooth",801.838677906817,"LBMT","UCB",0.303348538783467,1.18,0.44182592278804,NA,0.185679560401086,0.0865202648413341,"LBMT-UCB",3
"28",28,"Cumulative","Smooth",806.166067348172,"LBMT","UCB",0.299588827184817,1.15,0.00673908225881415,NA,43.6960058929277,20.0255836662548,"LBMT-UCB",3
"29",29,"Best","Rough",654.512748854301,"LBMT","UCB",0.431347881515904,1.09,0.736722649432947,NA,0.376900464428906,0.145096113861732,"LBMT-UCB",3
"30",30,"Best","Rough",759.652612612614,"LBMT","UCB",0.34000052981351,1.23,0.289854881633101,NA,0.225386590970747,0.101223119373911,"LBMT-UCB",3
"31",31,"Best","Smooth",933.225737648249,"LBMT","UCB",0.189197164353947,1.4,0.00674104013042442,NA,0.281184626128899,0.14887872413552,"LBMT-UCB",3
"32",32,"Best","Smooth",834.917452293059,"LBMT","UCB",0.274609121309138,1.27,0.0747203890751806,NA,0.25708426706814,0.115752353436635,"LBMT-UCB",3
"33",33,"Cumulative","Rough",583.301792144837,"LBMT","UCB",0.493217205624562,0.85,0.00674042470068915,NA,17.3514542189068,5.72951572341408,"LBMT-UCB",3
"34",34,"Cumulative","Smooth",596.501984716923,"LBMT","UCB",0.481748647550401,1.05,0.00674352837314712,NA,1.53518659112693,0.562903264212226,"LBMT-UCB",3
"35",35,"Cumulative","Smooth",764.15968835097,"LBMT","UCB",0.336084703618726,1.07,0.0067412059860592,NA,0.20903671676825,0.0921548817964649,"LBMT-UCB",3
