"","participant","reward","environment","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"1",1,"Cumulative","Rough",20,1,1001.72839341589,0.129680859450419,"LocalSearch","",NA,NA,NA,0.338130525700121,87.2711019609636,0.89
"2",1,"Cumulative","Rough",20,2,1001.72839341589,0.129680859450419,"LocalSearch","",NA,NA,NA,0.375418853487788,80.7891218515248,0.89
"3",1,"Cumulative","Rough",20,3,1001.72839341589,0.129680859450419,"LocalSearch","",NA,NA,NA,0.309420755102213,95.4084546545072,0.89
"4",1,"Cumulative","Rough",20,4,1001.72839341589,0.129680859450419,"LocalSearch","",NA,NA,NA,0.343679739604228,86.0857199013831,0.89
"5",1,"Cumulative","Rough",40,1,1001.72839341589,0.129680859450419,"LocalSearch","",NA,NA,NA,0.29312888837039,156.073133616971,0.89
"6",1,"Cumulative","Rough",40,2,1001.72839341589,0.129680859450419,"LocalSearch","",NA,NA,NA,0.285932088099237,160.896569111937,0.89
"7",1,"Cumulative","Rough",40,3,1001.72839341589,0.129680859450419,"LocalSearch","",NA,NA,NA,0.280236862749488,165.697556730757,0.89
"8",1,"Cumulative","Rough",40,4,1001.72839341589,0.129680859450419,"LocalSearch","",NA,NA,NA,0.275486223330686,169.506735587851,0.89
"9",2,"Cumulative","Rough",20,1,997.588584196896,0.133277598072584,"LocalSearch","",NA,NA,NA,0.337324475919582,71.8983998180475,0.86
"10",2,"Cumulative","Rough",20,2,997.588584196896,0.133277598072584,"LocalSearch","",NA,NA,NA,0.289991957701686,85.2507241159308,0.86
"11",2,"Cumulative","Rough",20,3,997.588584196896,0.133277598072584,"LocalSearch","",NA,NA,NA,0.289388924163559,85.3966694276547,0.86
"12",2,"Cumulative","Rough",20,4,997.588584196896,0.133277598072584,"LocalSearch","",NA,NA,NA,0.274558756349053,91.8265132179994,0.86
"13",2,"Cumulative","Rough",40,1,997.588584196896,0.133277598072584,"LocalSearch","",NA,NA,NA,0.313139757689929,151.312191825424,0.86
"14",2,"Cumulative","Rough",40,2,997.588584196896,0.133277598072584,"LocalSearch","",NA,NA,NA,0.283306075587353,171.861563827258,0.86
"15",2,"Cumulative","Rough",40,3,997.588584196896,0.133277598072584,"LocalSearch","",NA,NA,NA,0.300922549786671,158.390743607317,0.86
"16",2,"Cumulative","Rough",40,4,997.588584196896,0.133277598072584,"LocalSearch","",NA,NA,NA,0.272401199026912,181.651778357265,0.86
"17",3,"Cumulative","Smooth",20,1,576.657457266148,0.498989919924319,"LocalSearch","",NA,NA,NA,0.175093159476367,67.4457664843328,1.19
"18",3,"Cumulative","Smooth",20,2,576.657457266148,0.498989919924319,"LocalSearch","",NA,NA,NA,0.177778741731041,65.1188810451236,1.19
"19",3,"Cumulative","Smooth",20,3,576.657457266148,0.498989919924319,"LocalSearch","",NA,NA,NA,0.19461862582705,47.006803216687,1.19
"20",3,"Cumulative","Smooth",20,4,576.657457266148,0.498989919924319,"LocalSearch","",NA,NA,NA,0.192188874959532,50.8619395014013,1.19
"21",3,"Cumulative","Smooth",40,1,576.657457266148,0.498989919924319,"LocalSearch","",NA,NA,NA,0.152622768228639,62.2905731961215,1.19
"22",3,"Cumulative","Smooth",40,2,576.657457266148,0.498989919924319,"LocalSearch","",NA,NA,NA,0.130068297669213,126.817826721901,1.19
"23",3,"Cumulative","Smooth",40,3,576.657457266148,0.498989919924319,"LocalSearch","",NA,NA,NA,0.152481911151993,67.0593239310754,1.19
"24",3,"Cumulative","Smooth",40,4,576.657457266148,0.498989919924319,"LocalSearch","",NA,NA,NA,0.146948358936288,90.0563431695052,1.19
"25",4,"Cumulative","Smooth",20,1,626.673661397234,0.455534967385257,"LocalSearch","",NA,NA,NA,0.171625879282203,59.9425446270325,1.27
