"participant","leaveoutindex","reward","environment","horizon","lambda","beta","tau"
1,1,"Cumulative","Rough",20,0.434070363300547,0.520956030570047,0.00673806544947616
1,2,"Cumulative","Rough",20,0.664111058068886,0.430727859068161,0.033508933491941
1,3,"Cumulative","Rough",20,0.410346922708153,0.530365683002968,0.00673828764751181
1,4,"Cumulative","Rough",20,0.606805583696356,0.45245903876732,0.0309435353267394
1,1,"Cumulative","Rough",40,0.950924551179764,0.155119989648609,0.143578835270299
1,2,"Cumulative","Rough",40,0.734931720064163,0.333451615423576,0.0878028772400746
1,3,"Cumulative","Rough",40,0.430017282326697,0.517597441036981,0.0117038514389224
1,4,"Cumulative","Rough",40,0.752540887670374,0.276981309033448,0.101915397283178
2,1,"Cumulative","Rough",20,0.555781470546592,0.36707031375679,0.0154500076127224
2,2,"Cumulative","Rough",20,0.494495459683891,0.37418087948414,0.00946539302614113
2,3,"Cumulative","Rough",20,1.46574261083399,0.0948612051684505,0.0934525982092958
2,4,"Cumulative","Rough",20,0.464075806600288,0.383503844623239,0.00928460691109893
2,1,"Cumulative","Rough",40,0.449341946770608,0.560645132513302,0.0138185014845225
2,2,"Cumulative","Rough",40,0.43516424818345,0.529218356260892,0.00673797134505546
2,3,"Cumulative","Rough",40,0.417461413575931,0.548581648788981,0.0111881633923201
2,4,"Cumulative","Rough",40,0.397491689035948,0.517812433623822,0.00673884010749762
3,1,"Cumulative","Smooth",20,1.43590250079781,0.00673794701037948,0.0416543026720748
3,2,"Cumulative","Smooth",20,1.46606480578484,0.00673794701672602,0.0363336799321453
3,3,"Cumulative","Smooth",20,1.48873630581521,0.00673794728381292,0.0583820374689328
3,4,"Cumulative","Smooth",20,1.71877813943724,0.00673794713136943,0.0537639553846828
3,1,"Cumulative","Smooth",40,1.8576221648366,0.00673794708606832,0.0273016401907556
3,2,"Cumulative","Smooth",40,1.15752219171837,0.00673794704185755,0.0194574536646611
3,3,"Cumulative","Smooth",40,1.72963546568516,0.00673794703953673,0.0304446682218833
3,4,"Cumulative","Smooth",40,1.7733882502069,0.00673794701629324,0.028790118423122
4,1,"Cumulative","Smooth",20,1.57249224997548,0.0419538639770057,0.0568915463467089
4,2,"Cumulative","Smooth",20,1.57441395809517,0.00673794719112929,0.0599622577292567
4,3,"Cumulative","Smooth",20,1.60151709800983,0.00916870377975012,0.0670060074830052
4,4,"Cumulative","Smooth",20,1.53503878064526,0.054335058791456,0.0553562550170579
4,1,"Cumulative","Smooth",40,1.56576265416672,0.0212482691244507,0.0360084809360676
4,2,"Cumulative","Smooth",40,1.58215649179315,0.00673794716065962,0.0581441693143399
4,3,"Cumulative","Smooth",40,1.61655155139838,0.00673794716249086,0.0579590155039655
4,4,"Cumulative","Smooth",40,2.0041878960004,0.00673794711583287,0.052871452331451
5,1,"Best","Rough",20,0.550872121697671,0.00741618138227477,0.0274507201405281
5,2,"Best","Rough",20,0.00804391383995339,0.00673794702069231,0.0831325271887937
5,3,"Best","Rough",20,0.00950572871089808,0.00673794700462763,0.088691857650403
5,4,"Best","Rough",20,0.0968803964442904,0.00673794700395283,0.0980303172416205
5,1,"Best","Rough",40,0.978175166044178,0.00673794860190007,0.0190387995177488
5,2,"Best","Rough",40,1.1082256205754,0.011652465358274,0.0177035823410141
5,3,"Best","Rough",40,0.679499724638323,0.134625475242671,0.0219785013785714
5,4,"Best","Rough",40,1.45477828463566,0.00673794947101956,0.0130107701960971
6,1,"Best","Rough",20,1.05569255852111,0.00673794708065155,0.0962946381648114
6,2,"Best","Rough",20,1.03788289228627,0.00673794730050962,0.0918840316022641
6,3,"Best","Rough",20,1.05547901825462,0.00673794752526154,0.100522058490582
6,4,"Best","Rough",20,1.1180316481471,0.00673794751240243,0.126793033696969
6,1,"Best","Rough",40,0.0136408766858098,0.194021479224644,0.0452609974281026
6,2,"Best","Rough",40,0.0232095108657086,0.170030556540832,0.0567786249585043
6,3,"Best","Rough",40,0.0231385661236247,0.257105838086288,0.0311644122695632
6,4,"Best","Rough",40,0.0298749344397932,0.297496370632458,0.0852365005760076
7,1,"Best","Smooth",20,0.804765618618028,0.449001188320028,0.0430245274448745
7,2,"Best","Smooth",20,0.782788168692445,0.424710722729108,0.0422391729037834
7,3,"Best","Smooth",20,0.716652396378593,0.452674901870622,0.024073869226533
7,4,"Best","Smooth",20,0.664876207457203,0.502677391901529,0.0334591026517829
7,1,"Best","Smooth",40,0.65760867075634,0.449521089909515,0.03925632369398
7,2,"Best","Smooth",40,0.695518730398784,0.451119951888955,0.0436090881067547
7,3,"Best","Smooth",40,0.61442815422654,0.464210346383226,0.0387859279049697
7,4,"Best","Smooth",40,0.427891976803941,2.1195804300438,0.00677857563389862
8,1,"Best","Smooth",20,0.942121519241129,0.272708729011048,0.0487997551958608
8,2,"Best","Smooth",20,0.838566707112919,0.339070669181973,0.0389974914643412
8,3,"Best","Smooth",20,1.01584493733665,0.233800250321973,0.0601783316414616
8,4,"Best","Smooth",20,0.8771226783579,0.31244014305054,0.0478621069023751
8,1,"Best","Smooth",40,0.586691045734712,1.28911766265805,0.0252137627540474
8,2,"Best","Smooth",40,0.79228822795982,0.487094299575749,0.0427806933155794
8,3,"Best","Smooth",40,0.736499876536803,0.502368536476444,0.0410029912976484
8,4,"Best","Smooth",40,0.801384072746708,0.488121645481658,0.0440926286993422
9,1,"Cumulative","Rough",20,0.999916616145915,0.00675283613187329,0.0122734492290065
9,2,"Cumulative","Rough",20,0.480914157990805,0.226995537489512,0.00673813587542798
9,3,"Cumulative","Rough",20,0.975008726203853,0.00673794718345483,0.0321020197949683
9,4,"Cumulative","Rough",20,0.523188408321514,0.220431826195378,0.00673808735947935
9,1,"Cumulative","Rough",40,0.512364693756097,0.285487189989522,0.00673794800812033
9,2,"Cumulative","Rough",40,0.517081370936238,0.289075938147536,0.00674533713422112
9,3,"Cumulative","Rough",40,0.549401885308159,0.283628753683502,0.00761627199171836
9,4,"Cumulative","Rough",40,0.473213576724481,0.317449351050665,0.0067384246837147
10,1,"Cumulative","Rough",20,1.14752082963196,0.060703285631685,0.0597070329509139
10,2,"Cumulative","Rough",20,1.09995470703006,0.0537104651021281,0.0622642882148609
10,3,"Cumulative","Rough",20,1.1094250418753,0.0545408183505678,0.0859739949095945
10,4,"Cumulative","Rough",20,1.22028432417334,0.0146765084663658,0.0873654512917343
10,1,"Cumulative","Rough",40,0.896975759030456,0.041529257531165,0.0758796125447097
10,2,"Cumulative","Rough",40,0.931813316014615,0.00673795292757552,0.0772007580386737
10,3,"Cumulative","Rough",40,0.413834594425946,0.471007500050074,0.00679711854271737
10,4,"Cumulative","Rough",40,1.28799575061658,0.0227010422219493,0.124389005792583
11,1,"Cumulative","Smooth",20,0.432635678622788,0.494870560201847,0.00673892857738388
11,2,"Cumulative","Smooth",20,0.432199508071694,0.494755804040974,0.00676343340438276
11,3,"Cumulative","Smooth",20,0.440855271789842,0.485578462040769,0.00673934880283678
11,4,"Cumulative","Smooth",20,0.449939330837704,0.51011375570687,0.00674008075405782
11,1,"Cumulative","Smooth",40,0.42859973840187,0.512574666403894,0.00673805811848158
11,2,"Cumulative","Smooth",40,0.569391416640444,0.454916140857902,0.0174684837216464
11,3,"Cumulative","Smooth",40,0.428188285262391,0.517433036385505,0.00673797705552161
11,4,"Cumulative","Smooth",40,0.432022770572075,0.51554684005016,0.00674923635171471
12,1,"Cumulative","Smooth",20,0.761583980517108,0.447226564529782,0.0281031198076546
12,2,"Cumulative","Smooth",20,0.933564647094948,0.339324057630758,0.0538162037646294
12,3,"Cumulative","Smooth",20,0.715044333823426,0.493858695951511,0.0216729128235294
12,4,"Cumulative","Smooth",20,0.693265018001475,0.427176340831086,0.0254227478796347
12,1,"Cumulative","Smooth",40,0.650411213266046,0.427078734293145,0.0389398239593873
12,2,"Cumulative","Smooth",40,0.646946375640454,0.430823409650196,0.0355631508246231
12,3,"Cumulative","Smooth",40,0.631592827101339,0.443983680968607,0.0337579355602259
12,4,"Cumulative","Smooth",40,0.612253394348888,0.45326517463335,0.0308161443219308
13,1,"Best","Rough",20,0.476634185640021,0.472564588079579,0.00673818209579942
13,2,"Best","Rough",20,0.498839773457922,0.327349411968134,0.00674064493855425
13,3,"Best","Rough",20,0.482996761052523,0.472387017255033,0.00673936129148116
13,4,"Best","Rough",20,0.471980445023043,0.476683935801508,0.00673821116856526
13,1,"Best","Rough",40,0.433406858417564,0.502487546790402,0.0067379476746574
13,2,"Best","Rough",40,0.409266884550872,0.508196167118908,0.00673794873678362
13,3,"Best","Rough",40,0.4112635768291,0.509250385848771,0.00673794705440475
13,4,"Best","Rough",40,0.408648120561063,0.513182187583615,0.00673877935339089
14,1,"Best","Rough",20,1.56271126592623,0.0333790858382023,0.0976872640899849
14,2,"Best","Rough",20,0.441209392527332,0.481243926314505,0.00673821784567993
14,3,"Best","Rough",20,0.438622372800669,0.476985067756335,0.0067543220131663
14,4,"Best","Rough",20,0.470769531830557,0.489002239356566,0.00992900091604045
14,1,"Best","Rough",40,0.415226392675846,0.478983536728807,0.00674052357643843
14,2,"Best","Rough",40,0.415766094419717,0.478018792641999,0.00673812252012945
14,3,"Best","Rough",40,0.407461119722518,0.480057651155841,0.00673796860287087
14,4,"Best","Rough",40,0.442027275100015,0.471246055037637,0.00673795024021252
15,1,"Best","Smooth",20,0.413739836521311,0.486837281040388,0.00674194389246663
15,2,"Best","Smooth",20,0.407314023667687,0.489028870552855,0.00673989206889218
15,3,"Best","Smooth",20,0.407092818741065,0.520087243226843,0.00674153846413434
15,4,"Best","Smooth",20,0.411190394928194,0.485770577603075,0.00674791935978257
15,1,"Best","Smooth",40,0.502882984536387,0.45348965055158,0.0198703653238263
15,2,"Best","Smooth",40,0.410339498315301,0.491088256735569,0.00716989224877539
15,3,"Best","Smooth",40,0.422168671470449,0.490445963717679,0.0100511753728855
15,4,"Best","Smooth",40,0.409785246648216,0.515765503758702,0.00673950664179959
16,1,"Best","Smooth",20,0.458159689199455,0.487066674681657,0.0067379595383845
16,2,"Best","Smooth",20,0.440923207543443,0.490528673985956,0.00673891373933966
