"participant","leaveoutindex","reward","environment","horizon","tau"
1,1,"Cumulative","Rough",20,0.338130525700121
1,2,"Cumulative","Rough",20,0.375418853487788
1,3,"Cumulative","Rough",20,0.309420755102213
1,4,"Cumulative","Rough",20,0.343679739604228
1,1,"Cumulative","Rough",40,0.29312888837039
1,2,"Cumulative","Rough",40,0.285932088099237
1,3,"Cumulative","Rough",40,0.280236862749488
1,4,"Cumulative","Rough",40,0.275486223330686
2,1,"Cumulative","Rough",20,0.337324475919582
2,2,"Cumulative","Rough",20,0.289991957701686
2,3,"Cumulative","Rough",20,0.289388924163559
2,4,"Cumulative","Rough",20,0.274558756349053
2,1,"Cumulative","Rough",40,0.313139757689929
2,2,"Cumulative","Rough",40,0.283306075587353
2,3,"Cumulative","Rough",40,0.300922549786671
2,4,"Cumulative","Rough",40,0.272401199026912
3,1,"Cumulative","Smooth",20,0.175093159476367
3,2,"Cumulative","Smooth",20,0.177778741731041
3,3,"Cumulative","Smooth",20,0.19461862582705
3,4,"Cumulative","Smooth",20,0.192188874959532
3,1,"Cumulative","Smooth",40,0.152622768228639
3,2,"Cumulative","Smooth",40,0.130068297669213
3,3,"Cumulative","Smooth",40,0.152481911151993
3,4,"Cumulative","Smooth",40,0.146948358936288
4,1,"Cumulative","Smooth",20,0.171625879282203
4,2,"Cumulative","Smooth",20,0.171833373108518
4,3,"Cumulative","Smooth",20,0.185760875546038
4,4,"Cumulative","Smooth",20,0.176859008096746
4,1,"Cumulative","Smooth",40,0.153398922530368
4,2,"Cumulative","Smooth",40,0.176001682766447
4,3,"Cumulative","Smooth",40,0.175873974343723
4,4,"Cumulative","Smooth",40,0.158486697634971
5,1,"Best","Rough",20,0.170798195932087
5,2,"Best","Rough",20,0.170262434492789
5,3,"Best","Rough",20,0.170167624616599
5,4,"Best","Rough",20,0.188193716345746
5,1,"Best","Rough",40,0.0128373998545192
5,2,"Best","Rough",40,0.137517583932305
5,3,"Best","Rough",40,0.129608530794363
5,4,"Best","Rough",40,0.114237921133584
6,1,"Best","Rough",20,0.200837358465392
6,2,"Best","Rough",20,0.236025303828908
6,3,"Best","Rough",20,0.254764150514517
6,4,"Best","Rough",20,0.262023483361856
6,1,"Best","Rough",40,0.209005796677489
6,2,"Best","Rough",40,0.225949801573754
6,3,"Best","Rough",40,0.251157138933856
6,4,"Best","Rough",40,0.297414916351478
7,1,"Best","Smooth",20,0.323505682566085
7,2,"Best","Smooth",20,0.319355664201334
7,3,"Best","Smooth",20,0.319565375114499
7,4,"Best","Smooth",20,0.270662510699743
7,1,"Best","Smooth",40,0.287864199456855
7,2,"Best","Smooth",40,0.303576676334174
7,3,"Best","Smooth",40,0.303382131961512
7,4,"Best","Smooth",40,0.30766118605484
8,1,"Best","Smooth",20,0.299676132503853
8,2,"Best","Smooth",20,0.294363552145911
8,3,"Best","Smooth",20,0.298602569912696
8,4,"Best","Smooth",20,0.312069450380081
8,1,"Best","Smooth",40,0.295276941620939
8,2,"Best","Smooth",40,0.284019150335554
8,3,"Best","Smooth",40,0.27894146618627
8,4,"Best","Smooth",40,0.266620506240499
9,1,"Cumulative","Rough",20,0.127747573674693
9,2,"Cumulative","Rough",20,0.146064828995922
9,3,"Cumulative","Rough",20,0.148265297915352
9,4,"Cumulative","Rough",20,0.134154556172046
9,1,"Cumulative","Rough",40,0.154335306459544
9,2,"Cumulative","Rough",40,0.129678659978768
9,3,"Cumulative","Rough",40,0.154900120485616
9,4,"Cumulative","Rough",40,0.157060992109718
10,1,"Cumulative","Rough",20,0.188551180778795
10,2,"Cumulative","Rough",20,0.194469356826698
10,3,"Cumulative","Rough",20,0.204666028322639
10,4,"Cumulative","Rough",20,0.183188889723749
10,1,"Cumulative","Rough",40,0.193865469312794
10,2,"Cumulative","Rough",40,0.194299270805438
10,3,"Cumulative","Rough",40,0.197622837671796
10,4,"Cumulative","Rough",40,0.222699773588006
11,1,"Cumulative","Smooth",20,0.23591263518031
11,2,"Cumulative","Smooth",20,0.235507924821318
11,3,"Cumulative","Smooth",20,0.21151080006759
11,4,"Cumulative","Smooth",20,0.216297606505211
11,1,"Cumulative","Smooth",40,0.202004884270921
11,2,"Cumulative","Smooth",40,0.236025538921161
11,3,"Cumulative","Smooth",40,0.221012888460259
11,4,"Cumulative","Smooth",40,0.214191206673155
12,1,"Cumulative","Smooth",20,0.233534409054842
12,2,"Cumulative","Smooth",20,0.287762313804368
12,3,"Cumulative","Smooth",20,0.281342408380527
12,4,"Cumulative","Smooth",20,0.254348749067145
12,1,"Cumulative","Smooth",40,0.254128406599615
12,2,"Cumulative","Smooth",40,0.264654952424135
12,3,"Cumulative","Smooth",40,0.266894740773355
12,4,"Cumulative","Smooth",40,0.245093534701913
13,1,"Best","Rough",20,0.216333378039399
13,2,"Best","Rough",20,0.224595879805434
13,3,"Best","Rough",20,0.212788776185635
13,4,"Best","Rough",20,0.232774232368195
13,1,"Best","Rough",40,0.241064602171186
13,2,"Best","Rough",40,0.228876556969082
13,3,"Best","Rough",40,0.238423378318857
13,4,"Best","Rough",40,0.242599050515433
14,1,"Best","Rough",20,0.251133983583232
14,2,"Best","Rough",20,0.235175439386786
14,3,"Best","Rough",20,0.257903701085783
14,4,"Best","Rough",20,0.25333916100177
14,1,"Best","Rough",40,0.234615288205565
14,2,"Best","Rough",40,0.224592358927441
14,3,"Best","Rough",40,0.221308101243495
14,4,"Best","Rough",40,0.220276422521479
15,1,"Best","Smooth",20,0.322204195233521
15,2,"Best","Smooth",20,0.293817209045378
15,3,"Best","Smooth",20,0.271043283508477
15,4,"Best","Smooth",20,0.306866933048559
15,1,"Best","Smooth",40,0.254035582465277
15,2,"Best","Smooth",40,0.263378526678149
15,3,"Best","Smooth",40,0.261017979316325
15,4,"Best","Smooth",40,0.234272614532008
16,1,"Best","Smooth",20,0.184507720509773
16,2,"Best","Smooth",20,0.191053386270309
