"participant","leaveoutindex","reward","environment","horizon","lambda","beta","tau"
1,1,"Cumulative","Rough",20,0.826227617490667,0.429777361373842,0.11002725128833
1,2,"Cumulative","Rough",20,2.65941734006568,0.853598863660567,0.116126488271779
1,3,"Cumulative","Rough",20,0.840083474879266,0.56127349916623,0.130460008538863
1,4,"Cumulative","Rough",20,0.887173337661459,0.476294893602292,0.127406182525979
1,1,"Cumulative","Rough",40,0.724187194805518,0.45969337338402,0.105333161041498
1,2,"Cumulative","Rough",40,0.823171783909887,0.495705561703978,0.106771608089534
1,3,"Cumulative","Rough",40,0.78267677971127,0.504666701904082,0.0999890101971186
1,4,"Cumulative","Rough",40,0.753108550038335,0.49171023204084,0.108253439927761
2,1,"Cumulative","Rough",20,2.00061473848599,0.755598786903358,0.0892003371367936
2,2,"Cumulative","Rough",20,0.936348368109612,0.396827168985773,0.0780053656766295
2,3,"Cumulative","Rough",20,1.04099304669608,0.475949532708096,0.0845013666102941
2,4,"Cumulative","Rough",20,0.898168395826692,0.425592485981816,0.0839114421006207
2,1,"Cumulative","Rough",40,0.969073673777639,0.568144801563253,0.108521566571762
2,2,"Cumulative","Rough",40,0.904907843916358,0.52626622705553,0.0947465462163239
2,3,"Cumulative","Rough",40,1.11617871861797,0.651011540095678,0.102283197105586
2,4,"Cumulative","Rough",40,0.927728332898347,0.518199125383624,0.091468349084847
3,1,"Cumulative","Smooth",20,0.668991617520448,0.222037120004245,0.0377312085575926
3,2,"Cumulative","Smooth",20,0.512919832724165,0.21267686433287,0.0416286464071135
3,3,"Cumulative","Smooth",20,0.677957379829557,0.219117073291716,0.0557073457049516
3,4,"Cumulative","Smooth",20,0.738660285047926,0.259591790819981,0.0540120426958202
3,1,"Cumulative","Smooth",40,1.82142849514625,0.0296136874808154,0.0330995597607962
3,2,"Cumulative","Smooth",40,3.72043218502137,0.0067379614255361,0.0226567630202504
3,3,"Cumulative","Smooth",40,3.39071856585626,0.00673794869099037,0.0429934352019163
3,4,"Cumulative","Smooth",40,1.14042298764336,0.236641353112633,0.0401123572494342
4,1,"Cumulative","Smooth",20,1.03033130423294,0.312655368238045,0.058439654287615
4,2,"Cumulative","Smooth",20,0.952632729969616,0.332934521925406,0.0693438883849172
4,3,"Cumulative","Smooth",20,0.874955437958939,0.455247307204453,0.0785364587007381
4,4,"Cumulative","Smooth",20,1.18554953811723,0.353794001004712,0.0674010869847306
4,1,"Cumulative","Smooth",40,1.34851816184538,0.201577234948901,0.0424921333875281
4,2,"Cumulative","Smooth",40,0.930876762023603,0.307170079658656,0.0566451740443368
4,3,"Cumulative","Smooth",40,0.869609781265117,0.285183716632099,0.0565856127648875
4,4,"Cumulative","Smooth",40,0.849700402138607,0.380821498902369,0.0502566294549508
5,1,"Best","Rough",20,0.581965441596036,0.00673794701433304,0.0270619229995543
5,2,"Best","Rough",20,0.0201955078814381,0.0879666986429339,0.0330603893459692
5,3,"Best","Rough",20,0.13344591063226,0.0602759670968504,0.0227485323583741
5,4,"Best","Rough",20,0.133788849655608,0.0552749683800126,0.0247362693073618
5,1,"Best","Rough",40,0.927667833753529,0.00673794704758844,0.0218010449308488
5,2,"Best","Rough",40,1.03818360638763,0.00673794993851057,0.0241109273007202
5,3,"Best","Rough",40,0.710679343247989,0.0854770472912933,0.0332276297366099
5,4,"Best","Rough",40,1.18541390456011,0.00673794867490884,0.022087489776906
6,1,"Best","Rough",20,0.40462467427421,0.34376801930278,0.0620495339488968
6,2,"Best","Rough",20,0.493041850665697,0.295975634069312,0.0621266539021751
6,3,"Best","Rough",20,0.541956904294205,0.289437699514121,0.0680213734583825
6,4,"Best","Rough",20,0.525223200377045,0.430990499894501,0.0933563146586192
6,1,"Best","Rough",40,0.393690590804057,0.255755117353893,0.0529165590520337
6,2,"Best","Rough",40,0.40626774959273,0.235712935596137,0.0555248686888688
6,3,"Best","Rough",40,0.35267976613286,0.196438625586523,0.0547444840036866
6,4,"Best","Rough",40,0.426939268076559,0.435677247613939,0.107258473140251
7,1,"Best","Smooth",20,1.25050063708265,0.49929506582745,0.111826257007693
7,2,"Best","Smooth",20,1.30245693643361,0.520287538256967,0.102598720554321
7,3,"Best","Smooth",20,1.0635625611564,0.428961400444728,0.100701114328902
7,4,"Best","Smooth",20,0.918021628733637,0.524914968077283,0.118376523852553
7,1,"Best","Smooth",40,0.828340004516644,0.585652326440324,0.132719040226256
7,2,"Best","Smooth",40,0.845208617586282,0.533207812613948,0.129025562378864
7,3,"Best","Smooth",40,0.805266774559373,0.552235001593249,0.129788833774831
7,4,"Best","Smooth",40,0.810463082883658,0.51169306578319,0.119636188574303
8,1,"Best","Smooth",20,1.17735800343622,0.404941737485969,0.0983792261399441
8,2,"Best","Smooth",20,1.06043820290854,0.418524812493025,0.0979890232943137
8,3,"Best","Smooth",20,1.36726559023116,0.453530651764247,0.0950399806013555
8,4,"Best","Smooth",20,1.16177068653201,0.463107045271431,0.102946443827145
8,1,"Best","Smooth",40,1.25277856755391,0.702515083310082,0.126611177726422
8,2,"Best","Smooth",40,1.0258592985071,0.609639655031096,0.127084899444081
8,3,"Best","Smooth",40,1.21239819587647,0.665256161746115,0.114863386069634
8,4,"Best","Smooth",40,1.10121056092962,0.688715610882556,0.126886266937543
9,1,"Cumulative","Rough",20,0.710068686946516,0.126616366474584,0.0116349216286036
9,2,"Cumulative","Rough",20,0.512264153898304,0.182013417334279,0.0288224441986168
9,3,"Cumulative","Rough",20,0.557401871254438,0.170302178657024,0.0262991911990384
9,4,"Cumulative","Rough",20,0.569119484568458,0.166107900085035,0.0282067502773903
9,1,"Cumulative","Rough",40,0.504021765854292,0.204430964990593,0.0419441655726497
9,2,"Cumulative","Rough",40,0.421809503433322,0.253966215123008,0.0384532874129399
9,3,"Cumulative","Rough",40,0.644331015789911,0.228677015834973,0.0394471033140912
9,4,"Cumulative","Rough",40,0.484735659877248,0.210622785097304,0.0419534161823346
10,1,"Cumulative","Rough",20,0.78503299227789,0.230177919422928,0.0532676448452395
10,2,"Cumulative","Rough",20,0.660657586653342,0.237187329300591,0.0501535286293698
10,3,"Cumulative","Rough",20,0.707916236723702,0.332767890480051,0.0638526327753153
10,4,"Cumulative","Rough",20,0.653210483619876,0.332794478000578,0.0596894030073787
10,1,"Cumulative","Rough",40,0.640002959754303,0.211323631048756,0.0515928918218598
10,2,"Cumulative","Rough",40,0.606946725243341,0.202268689229857,0.0505120343650039
10,3,"Cumulative","Rough",40,0.614779307744062,0.295333294876354,0.0603476737771712
10,4,"Cumulative","Rough",40,0.679043084168283,0.283038801000428,0.0643051664282223
11,1,"Cumulative","Smooth",20,0.843485408028003,0.443671614639448,0.0868661585917619
11,2,"Cumulative","Smooth",20,0.821810043492589,0.455586628851498,0.0886657602844255
11,3,"Cumulative","Smooth",20,0.789872901454265,0.439116966627723,0.0781650214211446
11,4,"Cumulative","Smooth",20,0.830582306576622,0.486359337480041,0.0863777054466207
11,1,"Cumulative","Smooth",40,0.674606288182631,0.471658525659097,0.084382601186462
11,2,"Cumulative","Smooth",40,0.773400564164138,0.449402212633333,0.0887755705107234
11,3,"Cumulative","Smooth",40,0.699801440596617,0.528288044063041,0.0962303780967528
11,4,"Cumulative","Smooth",40,0.740388982762883,0.43337204543272,0.0776528203666097
12,1,"Cumulative","Smooth",20,1.04308380045917,0.488505458293448,0.0938270635371065
12,2,"Cumulative","Smooth",20,13.0247265619456,5.50521075980473,0.0826587600660233
12,3,"Cumulative","Smooth",20,1.02862674289253,0.438637069004226,0.0898523671944093
12,4,"Cumulative","Smooth",20,1.02691329269184,0.433386871039287,0.0898699330954923
12,1,"Cumulative","Smooth",40,0.814195384550721,0.420846815935237,0.0890965228063537
12,2,"Cumulative","Smooth",40,0.821576926573795,0.392009916994444,0.0887937047898183
12,3,"Cumulative","Smooth",40,0.850831030305368,0.425737764185911,0.0921428376751704
12,4,"Cumulative","Smooth",40,0.833592123125739,0.441323190488223,0.0911988826453261
13,1,"Best","Rough",20,0.806289909436751,0.425558490453729,0.0605077141590573
13,2,"Best","Rough",20,0.780934706066314,0.377512451079573,0.0546177404962399
