"","id","trial","x","y","z","zmax","kernel","scenario","horizon","round","env","delta_x","chosen","overall","Horizon","tau","lambda","kError","beta","Model"
"1",1,1,1,1,76.3592435056854,76.3592435056854,"Rough","Avg. Reward Condition",20,"1",5,NA,13,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"2",1,2,7,0,68.4752649344305,76.3592435056854,"Rough","Avg. Reward Condition",20,"1",5,2,8,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"3",1,3,1,3,44.7929276438267,76.3592435056854,"Rough","Avg. Reward Condition",20,"1",5,2,35,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"4",1,4,5,2,42.3575427746737,76.3592435056854,"Rough","Avg. Reward Condition",20,"1",5,3,28,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"5",1,5,0,7,66.0642048985975,76.3592435056854,"Rough","Avg. Reward Condition",20,"1",5,4,78,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"6",1,6,0,5,47.6003789921814,76.3592435056854,"Rough","Avg. Reward Condition",20,"1",5,7,56,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"7",1,7,9,9,52.4834712967987,76.3592435056854,"Rough","Avg. Reward Condition",20,"1",5,1,109,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"8",1,8,9,7,82.2639339178051,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,1,87,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"9",1,9,1,8,46.9498069203708,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,1,90,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"10",1,10,9,7,82.2639339178051,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,2,87,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"11",1,11,5,6,48.862030975187,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,2,72,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"12",1,12,4,5,27.8972182072898,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,2,60,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"13",1,13,8,4,50.6311411543037,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,4,53,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"14",1,14,7,10,38.4917850519421,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,6,118,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"15",1,15,10,5,64.2061057653187,82.2639339178051,"Rough","Avg. Reward Condition",20,"1",5,6,66,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"16",1,16,8,1,86.7518912658619,86.7518912658619,"Rough","Avg. Reward Condition",20,"1",5,8,20,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"17",1,17,6,1,87.877786509451,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,6,18,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"18",1,18,9,8,81.2433897221898,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,3,98,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"19",1,19,8,6,91.4722545331952,91.4722545331952,"Rough","Avg. Reward Condition",20,"1",5,8,75,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"20",1,20,3,4,13.4107101100565,91.4722545331952,"Rough","Avg. Reward Condition",20,"1",5,11,48,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"21",1,21,3,5,31.9706635707149,91.4722545331952,"Rough","Avg. Reward Condition",20,"1",5,1,59,1,"Short",0.0560161220891822,NA,2.03310940653172,0.282550045069858,"BMT"
"22",1,1,0,5,38.1968021459426,38.1968021459426,"Rough","Avg. Reward Condition",40,"2",1,NA,56,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"23",1,2,1,4,60.3734677972123,60.3734677972123,"Rough","Avg. Reward Condition",40,"2",1,2,46,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"24",1,3,2,0,70.8875298246222,70.8875298246222,"Rough","Avg. Reward Condition",40,"2",1,2,3,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"25",1,4,8,7,45.4982579252398,70.8875298246222,"Rough","Avg. Reward Condition",40,"2",1,1,86,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"26",1,5,5,7,56.1045851311328,70.8875298246222,"Rough","Avg. Reward Condition",40,"2",1,1,83,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"27",1,6,0,4,53.2133546704332,70.8875298246222,"Rough","Avg. Reward Condition",40,"2",1,1,45,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"28",1,7,4,0,27.0153724932925,70.8875298246222,"Rough","Avg. Reward Condition",40,"2",1,1,5,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"29",1,8,6,5,96.622130971634,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,1,62,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"30",1,9,4,10,44.8844429626108,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,1,115,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"31",1,10,2,4,44.0628638879187,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,2,47,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"32",1,11,8,9,63.0822078659968,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,1,108,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"33",1,12,10,2,27.6401369749031,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,2,33,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"34",1,13,2,5,32.535407260204,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,5,58,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"35",1,14,10,5,44.5875145646547,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,1,66,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"36",1,15,3,8,30.5083687411474,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,9,92,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"37",1,16,1,7,64.2118511787295,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,5,79,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"38",1,17,7,2,87.3844592186431,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,4,30,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"39",1,18,6,8,41.6897572985855,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,3,95,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"40",1,19,10,7,54.8683474490232,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,9,88,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"41",1,20,6,10,30.4281577841895,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,6,117,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"42",1,21,9,9,58.8980343444626,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,4,109,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"43",1,22,5,6,69.9155090037251,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,2,72,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"44",1,23,10,10,43.1852507215821,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,3,121,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
"45",1,24,1,1,29.8781350301425,96.622130971634,"Rough","Avg. Reward Condition",40,"2",1,2,13,2,"Long",0.00685357169762494,NA,15.9030099215897,0.353199758941337,"BMT"
