"","id","trial","x","y","z","zmax","kernel","scenario","horizon","round","env","delta_x","chosen","overall","Horizon","tau","lambda","kError","beta","Model"
"1",1,1,6,1,87.877786509451,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,NA,18,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"2",1,2,7,0,68.4752649344305,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,2,8,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"3",1,3,7,1,81.9911885215714,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,2,19,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"4",1,4,6,5,19.3202384321572,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,3,62,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"5",1,5,8,5,25.922745926598,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,4,64,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"6",1,6,8,4,50.6311411543037,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,7,53,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"7",1,7,10,8,69.5510436536212,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,1,99,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"8",1,8,10,7,69.0054960754502,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,1,88,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"9",1,9,10,5,64.2061057653187,87.877786509451,"Rough","Avg. Reward Condition",20,"1",5,1,66,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"10",1,10,7,6,95.8234728185907,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,2,74,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"11",1,11,6,7,60.8864429943102,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,2,84,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"12",1,12,6,8,31.779943763312,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,2,95,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"13",1,13,3,0,47.8459154961646,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,4,4,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"14",1,14,4,0,48.9349746000449,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,6,5,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"15",1,15,0,3,37.5224299882295,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,6,34,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"16",1,16,4,5,27.8972182072898,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,8,60,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"17",1,17,4,4,22.6938996654939,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,6,49,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"18",1,18,1,4,44.9843227342746,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,3,46,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"19",1,19,2,4,23.662499097667,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,8,47,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"20",1,20,3,1,36.8335295517252,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,11,15,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"21",1,21,0,5,47.6003789921814,95.8234728185907,"Rough","Avg. Reward Condition",20,"1",5,1,56,1,"Short",0.11002725128833,0.826227617490667,NA,0.429777361373842,"localGP"
"22",1,1,4,7,41.0206081591078,41.0206081591078,"Rough","Avg. Reward Condition",40,"2",1,NA,82,2,"Long",0.105333161041498,0.724187194805518,NA,0.45969337338402,"localGP"
"23",1,2,8,0,51.4039748132034,51.4039748132034,"Rough","Avg. Reward Condition",40,"2",1,2,9,2,"Long",0.105333161041498,0.724187194805518,NA,0.45969337338402,"localGP"
"24",1,3,9,0,33.4185710880108,51.4039748132034,"Rough","Avg. Reward Condition",40,"2",1,2,10,2,"Long",0.105333161041498,0.724187194805518,NA,0.45969337338402,"localGP"
"25",1,4,7,10,39.1305006812837,51.4039748132034,"Rough","Avg. Reward Condition",40,"2",1,1,118,2,"Long",0.105333161041498,0.724187194805518,NA,0.45969337338402,"localGP"
"26",1,5,8,10,52.0181459798519,52.0181459798519,"Rough","Avg. Reward Condition",40,"2",1,1,119,2,"Long",0.105333161041498,0.724187194805518,NA,0.45969337338402,"localGP"
"27",1,6,8,9,63.0822078659968,63.0822078659968,"Rough","Avg. Reward Condition",40,"2",1,1,108,2,"Long",0.105333161041498,0.724187194805518,NA,0.45969337338402,"localGP"
