"","id","trial","x","y","z","zmax","scenario","horizon","round","env","delta_x","chosen","overall","Horizon","tau","lambda","kError","beta"
"1",1,1,7,7,78.21,-0.04,"Avg. Reward Condition",20,"1",6,NA,85,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"2",1,2,0,0,46.15,-0.04,"Avg. Reward Condition",20,"1",6,10,1,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"3",1,3,3,6,37.18,-0.04,"Avg. Reward Condition",20,"1",6,8,70,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"4",1,4,6,10,41.03,0.35,"Avg. Reward Condition",20,"1",6,5,117,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"5",1,5,9,0,32.05,0.35,"Avg. Reward Condition",20,"1",6,1,10,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"6",1,6,1,7,20.51,0.35,"Avg. Reward Condition",20,"1",6,2,79,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"7",1,7,3,8,57.69,0.35,"Avg. Reward Condition",20,"1",6,2,92,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"8",1,8,4,0,71.79,0.35,"Avg. Reward Condition",20,"1",6,1,5,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"9",1,9,3,10,83.33,0.35,"Avg. Reward Condition",20,"1",6,7,114,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"10",1,10,0,3,37.18,0.35,"Avg. Reward Condition",20,"1",6,11,34,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"11",1,11,4,4,25.64,0.36,"Avg. Reward Condition",20,"1",6,2,49,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"12",1,12,4,5,64.1,0.36,"Avg. Reward Condition",20,"1",6,0,60,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"13",1,13,2,6,47.44,0.36,"Avg. Reward Condition",20,"1",6,0,69,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"14",1,14,1,10,1.28,0.36,"Avg. Reward Condition",20,"1",6,0,112,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"15",1,15,0,7,38.46,0.36,"Avg. Reward Condition",20,"1",6,0,78,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"16",1,16,7,2,37.18,0.36,"Avg. Reward Condition",20,"1",6,0,30,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"17",1,17,5,0,0,0.36,"Avg. Reward Condition",20,"1",6,0,6,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"18",1,18,3,4,28.21,0.36,"Avg. Reward Condition",20,"1",6,0,48,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"19",1,19,8,0,50,0.36,"Avg. Reward Condition",20,"1",6,0,9,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"20",1,20,10,1,25.64,0.36,"Avg. Reward Condition",20,"1",6,0,22,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"21",1,21,7,7,78.21,0.36,"Avg. Reward Condition",20,"1",6,0,85,1,"Short",0.00673803837108003,NA,4.20757518551641,0.16805840134235
"22",1,1,6,0,100,0.14,"Avg. Reward Condition",40,"2",10,NA,7,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"23",1,2,6,0,100,0.14,"Avg. Reward Condition",40,"2",10,15,7,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"24",1,3,6,0,100,0.14,"Avg. Reward Condition",40,"2",10,10,7,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"25",1,4,6,6,35.81,0.14,"Avg. Reward Condition",40,"2",10,20,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"26",1,5,6,6,35.81,0.19,"Avg. Reward Condition",40,"2",10,15,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"27",1,6,6,6,35.81,0.19,"Avg. Reward Condition",40,"2",10,1,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"28",1,7,6,0,100,0.19,"Avg. Reward Condition",40,"2",10,2,7,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"29",1,8,6,6,35.81,0.19,"Avg. Reward Condition",40,"2",10,9,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"30",1,9,3,5,23.65,0.29,"Avg. Reward Condition",40,"2",10,15,59,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"31",1,10,7,5,29.05,0.29,"Avg. Reward Condition",40,"2",10,1,63,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"32",1,11,6,0,100,0.38,"Avg. Reward Condition",40,"2",10,2,7,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"33",1,12,6,0,100,0.38,"Avg. Reward Condition",40,"2",10,1,7,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"34",1,13,6,6,35.81,0.38,"Avg. Reward Condition",40,"2",10,2,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"35",1,14,6,6,35.81,0.38,"Avg. Reward Condition",40,"2",10,1,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"36",1,15,6,6,35.81,0.38,"Avg. Reward Condition",40,"2",10,0,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"37",1,16,6,0,100,0.38,"Avg. Reward Condition",40,"2",10,0,7,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"38",1,17,6,6,35.81,0.38,"Avg. Reward Condition",40,"2",10,0,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"39",1,18,6,6,35.81,0.38,"Avg. Reward Condition",40,"2",10,0,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"40",1,19,6,0,100,0.38,"Avg. Reward Condition",40,"2",10,0,7,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"41",1,20,6,6,35.81,0.4,"Avg. Reward Condition",40,"2",10,0,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"42",1,21,6,6,35.81,0.4,"Avg. Reward Condition",40,"2",10,0,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"43",1,22,6,6,35.81,0.4,"Avg. Reward Condition",40,"2",10,0,73,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
"44",1,23,6,0,100,0.4,"Avg. Reward Condition",40,"2",10,0,7,2,"Long",0.0067379475706621,NA,8.02620427189288,0.0067380303243825
