"","id","trial","x","y","z","zmax","scenario","horizon","round","env","delta_x","chosen","overall","Horizon","tau","lambda","kError","beta"
"1",1,1,6,3,34.62,-0.04,"Avg. Reward Condition",20,"1",6,NA,40,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"2",1,2,0,3,37.18,-0.04,"Avg. Reward Condition",20,"1",6,10,34,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"3",1,3,7,4,57.69,-0.04,"Avg. Reward Condition",20,"1",6,8,52,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"4",1,4,7,6,100,0.35,"Avg. Reward Condition",20,"1",6,5,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"5",1,5,7,6,100,0.35,"Avg. Reward Condition",20,"1",6,1,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"6",1,6,7,6,100,0.35,"Avg. Reward Condition",20,"1",6,2,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"7",1,7,7,6,100,0.35,"Avg. Reward Condition",20,"1",6,2,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"8",1,8,7,6,100,0.35,"Avg. Reward Condition",20,"1",6,1,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"9",1,9,7,6,100,0.35,"Avg. Reward Condition",20,"1",6,7,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"10",1,10,7,6,100,0.35,"Avg. Reward Condition",20,"1",6,11,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"11",1,11,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,2,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"12",1,12,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"13",1,13,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"14",1,14,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"15",1,15,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"16",1,16,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"17",1,17,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"18",1,18,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"19",1,19,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"20",1,20,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"21",1,21,7,6,100,0.36,"Avg. Reward Condition",20,"1",6,0,74,1,"Short",0.0339100084805231,0.904676832154503,NA,0.0763544166932505
"22",1,1,9,2,54.05,0.14,"Avg. Reward Condition",40,"2",10,NA,32,2,"Long",0.0353837147570463,0.97737229125842,NA,0.0376057153012928
"23",1,2,1,1,64.86,0.14,"Avg. Reward Condition",40,"2",10,15,13,2,"Long",0.0353837147570463,0.97737229125842,NA,0.0376057153012928
