"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName"
"1",1,"Cumulative",591.199279414982,"LBMT","UCB",0.486355730619331,1.2,4.43845667898718,NA,0.0196662359642212,0.0194521996548568,"LBMT-UCB"
"2",2,"Cumulative",763.817701813261,"LBMT","UCB",0.336381827501341,0.91,0.94624706275316,NA,0.447587843826441,0.190961506941123,"LBMT-UCB"
"3",3,"Cumulative",768.812669969439,"LBMT","UCB",0.332042111844553,0.9,0.399491811653698,NA,38.9988483167534,14.9864452290509,"LBMT-UCB"
"4",4,"Cumulative",659.351322930688,"LBMT","UCB",0.427144043769739,1.2,9.28514454901928,NA,0.0122716746901277,0.00911063852013717,"LBMT-UCB"
"5",5,"Best",847.61790653138,"LBMT","UCB",0.263574744635845,1.26,1.40542430236446,NA,0.102863954901806,0.0565405782078031,"LBMT-UCB"
"6",6,"Best",990.954690862985,"LBMT","UCB",0.139041240575697,1.06,2.97430665486149,NA,18.6638025318164,12.1792230398149,"LBMT-UCB"
"7",7,"Cumulative",522.240996692066,"LBMT","UCB",0.546267892186929,1.05,11.9920555269411,NA,0.0127770057398193,0.00676143556500609,"LBMT-UCB"
"8",8,"Cumulative",522.210175680213,"LBMT","UCB",0.546294670020844,1.21,6.13473367754677,NA,0.0577689142184834,0.0269373903385423,"LBMT-UCB"
"9",9,"Cumulative",723.988922906169,"LBMT","UCB",0.370985766907867,0.88,0.912232090816602,NA,0.735430488421393,0.314794391606075,"LBMT-UCB"
"10",10,"Cumulative",723.882660969104,"LBMT","UCB",0.371078089136475,0.92,0.00674026482164375,NA,0.162438436437151,0.0641109988335419,"LBMT-UCB"
"11",11,"Best",804.569473281071,"LBMT","UCB",0.300975976022185,0.94,0.0672976183984391,NA,0.697467224526535,0.335482980653167,"LBMT-UCB"
"12",12,"Best",741.684196463999,"LBMT","UCB",0.355611803889683,1.02,0.808957504881995,NA,26.5673620876669,10.2602016484122,"LBMT-UCB"
"13",13,"Best",875.414226538374,"LBMT","UCB",0.239424815874781,1.04,0.00673899999608303,NA,38.417880482148,19.4296862993264,"LBMT-UCB"
"14",14,"Best",991.964220252321,"LBMT","UCB",0.138164143793514,1.26,0.0067412979396874,NA,37.2233000991126,20.3269914467614,"LBMT-UCB"
"15",15,"Cumulative",759.171954683369,"LBMT","UCB",0.340418133825365,0.9,0.156514607907891,NA,22.5051391273045,10.0298124347802,"LBMT-UCB"
"16",16,"Cumulative",708.769372548212,"LBMT","UCB",0.384208778329076,0.87,1.16979057433825,NA,17.330048266211,7.82487307001898,"LBMT-UCB"
"17",17,"Cumulative",791.192938609394,"LBMT","UCB",0.312597743195308,1.14,3.73610195336259,NA,0.104781937336487,0.0481595687942655,"LBMT-UCB"
"18",18,"Cumulative",811.294646459777,"LBMT","UCB",0.295133027994147,0.9,0.00698446340142595,NA,44.7135757678722,20.8215947975577,"LBMT-UCB"
"19",19,"Best",724.095122308246,"LBMT","UCB",0.37089349901075,1.23,0.0695800731350571,NA,0.433363379152329,0.172260644048331,"LBMT-UCB"
"20",20,"Best",1058.57035228969,"LBMT","UCB",0.0802955718621361,1.05,0.00674117976197976,NA,2.61325669445543,1.65322322340865,"LBMT-UCB"
"21",21,"Best",718.245904850528,"LBMT","UCB",0.375975401394818,1.02,0.00674867289188182,NA,44.7015550017786,18.3975636586536,"LBMT-UCB"
"22",22,"Best",601.72666012518,"LBMT","UCB",0.477209358217233,0.92,0.00674606856215432,NA,44.6743699035275,15.8076017533811,"LBMT-UCB"
"23",23,"Cumulative",897.107160680159,"LBMT","UCB",0.22057761545362,0.85,0.322292707578754,NA,44.6428223958272,22.1707892418166,"LBMT-UCB"
"24",24,"Cumulative",726.761819801177,"LBMT","UCB",0.368576625609329,0.83,0.035983348347243,NA,44.7032253643194,18.3234757992941,"LBMT-UCB"
"25",25,"Best",1046.54318016675,"LBMT","UCB",0.0907449892631769,0.76,0.0067626302386633,NA,44.3925398855818,32.2228386772651,"LBMT-UCB"
"26",26,"Best",900.558471091652,"LBMT","UCB",0.217579056631844,1.14,0.00909111928962817,NA,44.7572777677613,24.6005608511585,"LBMT-UCB"
"27",27,"Best",930.653235776583,"LBMT","UCB",0.191432198952872,1.06,0.00674183185211252,NA,44.6881836971028,25.0053586858606,"LBMT-UCB"
"28",28,"Cumulative",875.218125484053,"LBMT","UCB",0.23959519189904,0.82,0.262258140119414,NA,44.7258916429933,20.135459948849,"LBMT-UCB"
"29",29,"Cumulative",736.939384945896,"LBMT","UCB",0.359734179086041,0.82,0.273487685693569,NA,3.66903685762302,1.60476389500559,"LBMT-UCB"
"30",30,"Cumulative",785.58375017006,"LBMT","UCB",0.317471104171984,1.08,2.75136113548838,NA,0.101730000384071,0.0484290143509121,"LBMT-UCB"
"31",31,"Best",838.139323105499,"LBMT","UCB",0.271809903622114,1.47,0.599591450425124,NA,0.284979973887184,0.136281158333701,"LBMT-UCB"
"32",32,"Best",1076.81786590265,"LBMT","UCB",0.0644418130297212,1.07,0.587625964848552,NA,3.98356268413892,3.64167848783018,"LBMT-UCB"
"33",33,"Best",880.776133498557,"LBMT","UCB",0.234766297370199,0.96,0.00678908998417788,NA,44.4818130425225,22.2124045712487,"LBMT-UCB"
"34",34,"Cumulative",804.799479681391,"LBMT","UCB",0.300776142440584,0.91,0.226061225576391,NA,0.307018329761207,0.140784680705938,"LBMT-UCB"
"35",35,"Cumulative",499.508984856854,"LBMT","UCB",0.566017861473435,1.31,3.21320003574594,NA,0.041871333157666,0.0318644095441205,"LBMT-UCB"
"36",36,"Cumulative",880.582640445484,"LBMT","UCB",0.23493440751738,0.98,3.43374293235067,NA,0.145528451213895,0.0701216203348906,"LBMT-UCB"
"37",37,"Cumulative",786.747136145079,"LBMT","UCB",0.316460334098418,0.87,0.0747857714482237,NA,44.706258278766,19.8642703149436,"LBMT-UCB"
"38",38,"Best",869.081102528249,"LBMT","UCB",0.244927144731299,1.12,0.932264146114748,NA,23.1666077911962,13.0771479158301,"LBMT-UCB"
"39",39,"Best",827.949546951417,"LBMT","UCB",0.280662959283811,1.24,0.287097513734473,NA,45.3624030556765,20.638939005991,"LBMT-UCB"
