"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"1",1,"Cumulative",474.802739953901,"LBMT","UCB",0.587483078963,1.2,0.944774912804199,NA,0.0878166617583408,0.0480610405985114,"LBMT-UCB",10
"2",2,"Cumulative",702.551812602737,"LBMT","UCB",0.38961070310592,0.91,0.00674048411634156,NA,22.8164764497669,7.33488285218368,"LBMT-UCB",10
"3",3,"Cumulative",772.749014447895,"LBMT","UCB",0.328622146945968,0.9,0.578983777181539,NA,46.4271161432263,18.7238677292882,"LBMT-UCB",10
"4",4,"Cumulative",550.486047864506,"LBMT","UCB",0.521728097944548,1.2,0.19493957718694,NA,0.0814365515937256,0.0513253664115033,"LBMT-UCB",10
"5",5,"Best",914.509685508264,"LBMT","UCB",0.205457997649694,1.26,0.00673892906150171,NA,0.169119013016564,0.095365909269809,"LBMT-UCB",10
"6",6,"Best",1046.10492593257,"LBMT","UCB",0.0911257522034497,1.06,3.68644702533129,NA,0.219892402687862,0.155663456959197,"LBMT-UCB",10
"7",7,"Cumulative",435.784294429665,"LBMT","UCB",0.621382986560144,1.05,1.54106640893265,NA,0.0679016780189817,0.0272258743537073,"LBMT-UCB",10
"8",8,"Cumulative",554.733137978255,"LBMT","UCB",0.518038151805524,1.21,2.623612576048,NA,0.0972933783333155,0.0440104610589525,"LBMT-UCB",10
"9",9,"Cumulative",727.44748910744,"LBMT","UCB",0.367980904129085,0.88,0.0301631518976885,NA,0.320487604724683,0.135149791331952,"LBMT-UCB",10
"10",10,"Cumulative",755.453627203426,"LBMT","UCB",0.343648681744238,0.92,0.967691893267004,NA,0.225770296584104,0.0934150988514783,"LBMT-UCB",10
"11",11,"Best",788.013594292154,"LBMT","UCB",0.315360013119849,0.94,0.00674316520502422,NA,0.203653311655406,0.0916291576064997,"LBMT-UCB",10
"12",12,"Best",755.478695318766,"LBMT","UCB",0.343626902127386,1.02,0.00683458366508472,NA,41.4708406852171,17.9553328270057,"LBMT-UCB",10
"13",13,"Best",819.105040067919,"LBMT","UCB",0.288347221485047,1.04,0.00675031920100916,NA,0.287527793011445,0.130670746568484,"LBMT-UCB",10
"14",14,"Best",945.042377288339,"LBMT","UCB",0.178930661254561,1.26,0.00673921173540413,NA,0.227591617863021,0.12628006446875,"LBMT-UCB",10
"15",15,"Cumulative",800.696023397414,"LBMT","UCB",0.304341296997275,0.9,0.00674032046653576,NA,0.207408493928145,0.0927993403085023,"LBMT-UCB",10
"16",16,"Cumulative",810.021541243905,"LBMT","UCB",0.296239124062293,0.87,1.01549180352477,NA,0.318000281336072,0.141754285599185,"LBMT-UCB",10
"17",17,"Cumulative",752.499218362832,"LBMT","UCB",0.346215523794317,1.14,0.0718892183360965,NA,0.143046264530673,0.0687931825611243,"LBMT-UCB",10
"18",18,"Cumulative",772.198453289013,"LBMT","UCB",0.329100484105789,0.9,0.0719358113649142,NA,0.329829511100892,0.140841152230106,"LBMT-UCB",10
"19",19,"Best",725.654249212011,"LBMT","UCB",0.369538902299894,1.23,0.00674519462571237,NA,6.07748892061066,2.91403316910078,"LBMT-UCB",10
"20",20,"Best",972.240611170754,"LBMT","UCB",0.155300360174353,1.05,0.00674718917014398,NA,0.255676963964023,0.164936853665602,"LBMT-UCB",10
"21",21,"Best",681.851111521501,"LBMT","UCB",0.407595834097725,1.02,0.0191564738153074,NA,0.527019934724996,0.202801635442816,"LBMT-UCB",10
"22",22,"Best",618.268890586313,"LBMT","UCB",0.462837179199113,0.92,0.00687279014588643,NA,16.3205878135885,5.47571508883243,"LBMT-UCB",10
