"","trial","lambda","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,2.7,47.601804,0.212781576393455,47.601804,0.212781576393455,"GP-UCB"
"2",2,2.7,49.138033,0.214556447861683,60.031854,0.18026064780862,"GP-UCB"
"3",3,2.7,50.576738,0.214783578344547,66.430367,0.1644995018781,"GP-UCB"
"4",4,2.7,51.624696,0.215936719752459,70.486801,0.154489921202696,"GP-UCB"
"5",5,2.7,51.991425,0.219946542287175,73.370725,0.148249446327031,"GP-UCB"
"6",6,2.7,53.361037,0.221617005591132,75.529633,0.145082656576363,"GP-UCB"
"7",7,2.7,54.066203,0.227237565068756,77.345793,0.142508486708664,"GP-UCB"
"8",8,2.7,54.494803,0.23010251130896,78.883699,0.139207493617865,"GP-UCB"
"9",9,2.7,55.580649,0.230129895858354,80.152245,0.136364333665908,"GP-UCB"
"10",10,2.7,55.975978,0.234959548806404,81.320446,0.132997913121214,"GP-UCB"
"11",11,2.7,56.634474,0.239066156716213,82.267387,0.130891875303722,"GP-UCB"
"12",12,2.7,57.469322,0.240602780623658,83.112695,0.128453396047723,"GP-UCB"
"13",13,2.7,58.029398,0.243044947263667,83.891467,0.126441389110841,"GP-UCB"
"14",14,2.7,58.230534,0.24600228432247,84.577348,0.124512738444278,"GP-UCB"
"15",15,2.7,58.842139,0.248726610550917,85.155665,0.122741576685499,"GP-UCB"
"16",16,2.7,59.472907,0.251728822251109,85.70152,0.121042510548551,"GP-UCB"
"17",17,2.7,60.550824,0.252838121484222,86.227694,0.119488353712417,"GP-UCB"
"18",18,2.7,61.058063,0.255816085101666,86.652884,0.118131706515494,"GP-UCB"
"19",19,2.7,61.983613,0.257363805082299,87.033022,0.11678147072178,"GP-UCB"
"20",20,2.7,62.723391,0.258149616051503,87.382962,0.11560282849503,"GP-UCB"
"21",21,2.7,63.20476,0.260929356805945,87.726514,0.114447902326845,"GP-UCB"
"22",22,2.7,63.991344,0.263430016567454,88.031555,0.113457838104294,"GP-UCB"
"23",23,2.7,64.962682,0.264242659150598,88.314605,0.112391998240641,"GP-UCB"
"24",24,2.7,65.649313,0.264793985999126,88.591537,0.11138566789971,"GP-UCB"
"25",25,2.7,66.675946,0.263847286155362,88.844918,0.110464402391663,"GP-UCB"
"26",26,2.7,67.458079,0.262871641988998,89.079747,0.109553212053441,"GP-UCB"
"27",27,2.7,68.004584,0.264019241728126,89.322358,0.108654826386651,"GP-UCB"
"28",28,2.7,69.247644,0.26245201039943,89.5256,0.107758144238684,"GP-UCB"
"29",29,2.7,70.004923,0.263591387946168,89.751566,0.106902643195931,"GP-UCB"
"30",30,2.7,71.133502,0.258553239847005,89.936004,0.106152965678829,"GP-UCB"
"31",31,2.7,72.30493,0.256088946419711,90.103687,0.105510045894131,"GP-UCB"
"32",32,2.7,73.086729,0.256195672729514,90.26183,0.104843738783326,"GP-UCB"
"33",33,2.7,74.055269,0.25291344127911,90.40547,0.104262392647407,"GP-UCB"
"34",34,2.7,75.236447,0.249538575412061,90.559447,0.103566744689015,"GP-UCB"
"35",35,2.7,75.870727,0.249590844866416,90.687935,0.10310260080719,"GP-UCB"
"36",36,2.7,77.129262,0.240826148702597,90.773665,0.102818268354453,"GP-UCB"
"37",37,2.7,78.115108,0.236861305346886,90.886681,0.102339603960919,"GP-UCB"
"38",38,2.7,79.167018,0.23096893792845,90.992112,0.10198350596785,"GP-UCB"
"39",39,2.7,80.205781,0.224617123590845,91.113522,0.101449824702879,"GP-UCB"
"40",40,2.7,81.078891,0.218439254862349,91.213218,0.100987897898708,"GP-UCB"
"41",41,2.7,81.717709,0.214046753788542,91.303895,0.100560717915577,"GP-UCB"
