"","participant","reward","nLL","kernel","acq","R2","bonus","kError","lambda","beta","tau","ModelName","bestDescribed"
"1",1,"Cumulative",700.63968170321,"LocalSearch","",0.391271995859558,1.2,NA,NA,NA,0.18587129637534,"LocalSearch-",2
"2",2,"Cumulative",760.72454531714,"LocalSearch","",0.339069215940148,0.91,NA,NA,NA,0.189108938155649,"LocalSearch-",2
"3",3,"Cumulative",915.450789591657,"LocalSearch","",0.204640349969535,0.9,NA,NA,NA,0.238538643680186,"LocalSearch-",2
"4",4,"Cumulative",720.43069428228,"LocalSearch","",0.37407721814173,1.2,NA,NA,NA,0.182575471799808,"LocalSearch-",2
"5",5,"Best",894.742665533217,"LocalSearch","",0.222631930173704,1.26,NA,NA,NA,0.239380331420805,"LocalSearch-",2
"6",6,"Best",1015.44457655654,"LocalSearch","",0.117763999749676,1.06,NA,NA,NA,0.312083249967878,"LocalSearch-",2
"7",7,"Cumulative",647.535115877894,"LocalSearch","",0.43741017102972,1.05,NA,NA,NA,0.171630123753948,"LocalSearch-",2
"8",8,"Cumulative",578.040573910002,"LocalSearch","",0.497788244004309,1.21,NA,NA,NA,0.157929098480408,"LocalSearch-",2
"9",9,"Cumulative",857.20164335254,"LocalSearch","",0.255248226541451,0.88,NA,NA,NA,0.226370071257487,"LocalSearch-",2
"10",10,"Cumulative",817.66490500652,"LocalSearch","",0.289598436003025,0.92,NA,NA,NA,0.221239849153858,"LocalSearch-",2
"11",11,"Best",873.646524234319,"LocalSearch","",0.240960626539752,0.94,NA,NA,NA,0.231101292983502,"LocalSearch-",2
"12",12,"Best",835.094735262538,"LocalSearch","",0.27445509476597,1.02,NA,NA,NA,0.219986681040429,"LocalSearch-",2
"13",13,"Best",912.466843356801,"LocalSearch","",0.207232854624125,1.04,NA,NA,NA,0.251527338787902,"LocalSearch-",2
"14",14,"Best",1025.54343196631,"LocalSearch","",0.10898993762013,1.26,NA,NA,NA,0.305420218117941,"LocalSearch-",2
"15",15,"Cumulative",901.774724487268,"LocalSearch","",0.216522354419029,0.9,NA,NA,NA,0.24621239462673,"LocalSearch-",2
"16",16,"Cumulative",825.486776688604,"LocalSearch","",0.282802657142622,0.87,NA,NA,NA,0.215965622476155,"LocalSearch-",2
"17",17,"Cumulative",727.392929511193,"LocalSearch","",0.368028306460123,1.14,NA,NA,NA,0.204292446137856,"LocalSearch-",2
"18",18,"Cumulative",909.981740903081,"LocalSearch","",0.209391955080811,0.9,NA,NA,NA,0.245576440138122,"LocalSearch-",2
"19",19,"Best",822.689861583506,"LocalSearch","",0.285232665881976,1.23,NA,NA,NA,0.216423226914568,"LocalSearch-",2
"20",20,"Best",1040.62130605315,"LocalSearch","",0.0958900170200675,1.05,NA,NA,NA,0.317660645324698,"LocalSearch-",2
"21",21,"Best",822.858133389942,"LocalSearch","",0.285086468394794,1.02,NA,NA,NA,0.219369654997622,"LocalSearch-",2
"22",22,"Best",767.276213284547,"LocalSearch","",0.333377012272928,0.92,NA,NA,NA,0.195437986581233,"LocalSearch-",2
"23",23,"Cumulative",956.575528725902,"LocalSearch","",0.168910457661509,0.85,NA,NA,NA,0.268854755201334,"LocalSearch-",2
"24",24,"Cumulative",819.971995047562,"LocalSearch","",0.28759399584251,0.83,NA,NA,NA,0.211025654575517,"LocalSearch-",2
"25",25,"Best",1072.09974325983,"LocalSearch","",0.0685410004646517,0.76,NA,NA,NA,0.36668571245699,"LocalSearch-",2
"26",26,"Best",979.575127727375,"LocalSearch","",0.148928003966961,1.14,NA,NA,NA,0.296500402460218,"LocalSearch-",2
"27",27,"Best",994.443209584861,"LocalSearch","",0.13601035452338,1.06,NA,NA,NA,0.28328825788215,"LocalSearch-",2
"28",28,"Cumulative",945.748401526608,"LocalSearch","",0.178317255053542,0.82,NA,NA,NA,0.273687689971324,"LocalSearch-",2
"29",29,"Cumulative",852.772062488769,"LocalSearch","",0.259096723834421,0.82,NA,NA,NA,0.233332851204021,"LocalSearch-",2
"30",30,"Cumulative",750.782153883036,"LocalSearch","",0.347707339432314,1.08,NA,NA,NA,0.191131426496673,"LocalSearch-",2
"31",31,"Best",911.492402344525,"LocalSearch","",0.208079466010899,1.47,NA,NA,NA,0.244370460041859,"LocalSearch-",2
"32",32,"Best",1087.13114946318,"LocalSearch","",0.0554814519741254,1.07,NA,NA,NA,0.396631818224384,"LocalSearch-",2
"33",33,"Best",952.728098745156,"LocalSearch","",0.172253172090067,0.96,NA,NA,NA,0.272758925449972,"LocalSearch-",2
"34",34,"Cumulative",861.826291859062,"LocalSearch","",0.25123025107026,0.91,NA,NA,NA,0.232594238867564,"LocalSearch-",2
"35",35,"Cumulative",575.955019440988,"LocalSearch","",0.49960021018693,1.31,NA,NA,NA,0.161618194522121,"LocalSearch-",2
"36",36,"Cumulative",854.646607370411,"LocalSearch","",0.257468086470205,0.98,NA,NA,NA,0.222980736862351,"LocalSearch-",2
"37",37,"Cumulative",904.643999826672,"LocalSearch","",0.214029477843099,0.87,NA,NA,NA,0.241516333784441,"LocalSearch-",2
"38",38,"Best",912.432282357799,"LocalSearch","",0.207262881824258,1.12,NA,NA,NA,0.265249582697282,"LocalSearch-",2
"39",39,"Best",875.811663720142,"LocalSearch","",0.239079515503211,1.24,NA,NA,NA,0.233187118116461,"LocalSearch-",2
"40",40,"Best",1064.0085024836,"LocalSearch","",0.0755708119031915,1.34,NA,NA,NA,0.358151433698777,"LocalSearch-",2
"41",41,"Best",947.075642323115,"LocalSearch","",0.177164125046536,1.16,NA,NA,NA,0.256484342314639,"LocalSearch-",2
"42",42,"Cumulative",796.065293507297,"LocalSearch","",0.308364556080848,0.81,NA,NA,NA,0.207186085628975,"LocalSearch-",2
"43",43,"Cumulative",944.929509209833,"LocalSearch","",0.179028723014342,0.87,NA,NA,NA,0.260886308375759,"LocalSearch-",2
"44",44,"Cumulative",930.317180903966,"LocalSearch","",0.191724169301158,0.82,NA,NA,NA,0.252042533381762,"LocalSearch-",2
"45",45,"Best",939.18140989955,"LocalSearch","",0.184022772184157,0.96,NA,NA,NA,0.25790959407092,"LocalSearch-",2
"46",46,"Best",890.466664345132,"LocalSearch","",0.226346994759537,1.08,NA,NA,NA,0.230086634047975,"LocalSearch-",2
