"","participant","reward","horizon","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","bonus"
"1",1,"Cumulative",20,1,700.63968170321,0.391271995859558,"LocalSearch","",NA,NA,NA,0.183917025166707,66.8118496328674,1.2
"2",1,"Cumulative",20,2,700.63968170321,0.391271995859558,"LocalSearch","",NA,NA,NA,0.205962139564924,44.8941454458345,1.2
"3",1,"Cumulative",20,3,700.63968170321,0.391271995859558,"LocalSearch","",NA,NA,NA,0.174961898206491,78.8864395783218,1.2
"4",1,"Cumulative",20,4,700.63968170321,0.391271995859558,"LocalSearch","",NA,NA,NA,0.200002383116752,48.4842083666245,1.2
"5",1,"Cumulative",40,1,700.63968170321,0.391271995859558,"LocalSearch","",NA,NA,NA,0.187825567583972,105.104165626866,1.2
"6",1,"Cumulative",40,2,700.63968170321,0.391271995859558,"LocalSearch","",NA,NA,NA,0.181284096999148,120.875964723335,1.2
"7",1,"Cumulative",40,3,700.63968170321,0.391271995859558,"LocalSearch","",NA,NA,NA,0.174860720690642,141.461409262699,1.2
"8",1,"Cumulative",40,4,700.63968170321,0.391271995859558,"LocalSearch","",NA,NA,NA,0.196963756594137,94.1214990666614,1.2
"9",2,"Cumulative",20,1,760.72454531714,0.339069215940148,"LocalSearch","",NA,NA,NA,0.172837662317934,63.3234187241596,0.91
"10",2,"Cumulative",20,2,760.72454531714,0.339069215940148,"LocalSearch","",NA,NA,NA,0.18552354253817,47.6508763433975,0.91
"11",2,"Cumulative",20,3,760.72454531714,0.339069215940148,"LocalSearch","",NA,NA,NA,0.180759104642538,54.4397368810655,0.91
"12",2,"Cumulative",20,4,760.72454531714,0.339069215940148,"LocalSearch","",NA,NA,NA,0.177471113945519,56.756176598633,0.91
"13",2,"Cumulative",40,1,760.72454531714,0.339069215940148,"LocalSearch","",NA,NA,NA,0.192694333773127,166.323519805787,0.91
"14",2,"Cumulative",40,2,760.72454531714,0.339069215940148,"LocalSearch","",NA,NA,NA,0.222299146023907,112.867099055297,0.91
"15",2,"Cumulative",40,3,760.72454531714,0.339069215940148,"LocalSearch","",NA,NA,NA,0.213674504294168,126.821672102296,0.91
