"","trial","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,47.227334,0.211143906561786,47.227334,0.211143906561786,"Local BMT-UCB"
"2",2,48.049971,0.213307644354416,57.4791,0.187363865339087,"Local BMT-UCB"
"3",3,48.141195,0.213012164738144,62.297247,0.177978539423012,"Local BMT-UCB"
"4",4,48.338513,0.210567207800225,65.60763,0.170575547632288,"Local BMT-UCB"
"5",5,48.109663,0.21126138701383,67.96002,0.165870551460903,"Local BMT-UCB"
"6",6,48.212702,0.21168705975814,70.00229,0.161585342639379,"Local BMT-UCB"
"7",7,48.279804,0.211338631257668,71.736839,0.157095820190991,"Local BMT-UCB"
"8",8,48.124136,0.210549486976333,73.141573,0.153268498129325,"Local BMT-UCB"
"9",9,48.225871,0.208823642597065,74.37752,0.150117504933598,"Local BMT-UCB"
"10",10,48.133742,0.213312962868543,75.485257,0.147295125753713,"Local BMT-UCB"
"11",11,48.015568,0.210612817600523,76.399219,0.145213805559032,"Local BMT-UCB"
"12",12,48.078476,0.211631088896507,77.29493,0.143089499139477,"Local BMT-UCB"
"13",13,48.081504,0.211400803247669,78.049992,0.141071272314319,"Local BMT-UCB"
"14",14,48.182393,0.214303035324864,78.834181,0.139185965952878,"Local BMT-UCB"
"15",15,47.983942,0.211969435872812,79.497504,0.137562345781453,"Local BMT-UCB"
"16",16,47.814107,0.210625933376297,80.080185,0.135607008903168,"Local BMT-UCB"
"17",17,48.226517,0.209648405181749,80.662877,0.133954510003815,"Local BMT-UCB"
"18",18,47.755834,0.211030256985535,81.131366,0.132645316409593,"Local BMT-UCB"
"19",19,47.918065,0.213409383024866,81.608361,0.131685350193229,"Local BMT-UCB"
"20",20,48.346868,0.211492856049261,82.085966,0.130263459871071,"Local BMT-UCB"
"21",21,48.02756,0.211273679301035,82.474865,0.129243486559514,"Local BMT-UCB"
"22",22,47.892678,0.211450107381441,82.911985,0.127995067290512,"Local BMT-UCB"
"23",23,48.095067,0.212846877789855,83.318615,0.126641505345859,"Local BMT-UCB"
"24",24,48.110568,0.210758656422134,83.705055,0.125530632403667,"Local BMT-UCB"
"25",25,48.177815,0.211456943772212,84.074118,0.124534054664918,"Local BMT-UCB"
"26",26,48.160227,0.211142922181175,84.41439,0.123527676338026,"Local BMT-UCB"
"27",27,47.954202,0.213337059481972,84.740215,0.122725191976432,"Local BMT-UCB"
"28",28,48.02133,0.211295641961544,85.064502,0.121344967729688,"Local BMT-UCB"
"29",29,47.715319,0.212461283469533,85.33954,0.120549654801527,"Local BMT-UCB"
"30",30,47.690393,0.212000083644091,85.600753,0.119696364173097,"Local BMT-UCB"
"31",31,48.02954,0.211213427925531,85.873943,0.118913123074617,"Local BMT-UCB"
"32",32,48.016913,0.21388569750033,86.131999,0.118084892003896,"Local BMT-UCB"
"33",33,47.886164,0.211957069739256,86.407147,0.117080101631571,"Local BMT-UCB"
"34",34,47.907129,0.21341092607707,86.656173,0.116361893364752,"Local BMT-UCB"
"35",35,47.76857,0.210438612437144,86.907302,0.115629689217702,"Local BMT-UCB"
"36",36,47.689988,0.211363113391518,87.10219,0.115127402542886,"Local BMT-UCB"
"37",37,47.901901,0.211650905635212,87.313302,0.114553329014038,"Local BMT-UCB"
"38",38,47.762785,0.211009519351861,87.516991,0.114042604140505,"Local BMT-UCB"
"39",39,48.038499,0.209074660958915,87.706557,0.113478118489481,"Local BMT-UCB"
"40",40,47.987683,0.210612172475549,87.8955,0.112762775566032,"Local BMT-UCB"
"41",41,48.172751,0.210882790187629,88.066547,0.112099413479863,"Local BMT-UCB"
