"","trial","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,47.537512,0.209694438406781,47.537512,0.209694438406781,"LocalGP-UCB"
"2",2,48.710756,0.215825703405019,57.993032,0.186293379992528,"LocalGP-UCB"
"3",3,50.252003,0.218298944085165,63.777855,0.172686582288456,"LocalGP-UCB"
"4",4,51.021887,0.221147144220455,67.567528,0.16399279674626,"LocalGP-UCB"
"5",5,51.649689,0.224415900031496,70.4334,0.157388440312859,"LocalGP-UCB"
"6",6,52.156423,0.226775960364248,72.754857,0.151678129153288,"LocalGP-UCB"
"7",7,52.599216,0.226287238685644,74.537426,0.147067798403271,"LocalGP-UCB"
"8",8,53.05956,0.230064243819565,76.108375,0.143683524150992,"LocalGP-UCB"
"9",9,53.047744,0.232500073547228,77.402188,0.140430718462644,"LocalGP-UCB"
"10",10,53.314273,0.235778969243189,78.538961,0.137916790642626,"LocalGP-UCB"
"11",11,53.769505,0.234639371542726,79.553332,0.134919382246392,"LocalGP-UCB"
"12",12,53.988807,0.234434024915068,80.442461,0.132382838914082,"LocalGP-UCB"
"13",13,54.351964,0.235322628793392,81.302212,0.13021809970221,"LocalGP-UCB"
"14",14,54.289677,0.238557385891117,82.020673,0.128154655058911,"LocalGP-UCB"
"15",15,54.6381,0.23764272040451,82.70055,0.126341023706384,"LocalGP-UCB"
"16",16,55.077489,0.24013759226912,83.328783,0.124675244048444,"LocalGP-UCB"
"17",17,54.970593,0.241604127748865,83.921016,0.122925868537464,"LocalGP-UCB"
"18",18,55.283239,0.239402847493982,84.452449,0.121270802462888,"LocalGP-UCB"
"19",19,55.190222,0.241160566479999,84.938676,0.119898145728937,"LocalGP-UCB"
"20",20,55.279371,0.243850559574868,85.409075,0.118338481530982,"LocalGP-UCB"
"21",21,55.554101,0.244226276220597,85.835363,0.117087074457959,"LocalGP-UCB"
"22",22,55.542577,0.245118339923727,86.255551,0.115961047434439,"LocalGP-UCB"
"23",23,56.155557,0.245309435931256,86.663768,0.114692042159302,"LocalGP-UCB"
"24",24,56.061337,0.246154237312905,87.088515,0.113143002542711,"LocalGP-UCB"
"25",25,56.120656,0.248262805766468,87.47897,0.111857654165415,"LocalGP-UCB"
"26",26,56.138402,0.246636164348208,87.795569,0.11098792930616,"LocalGP-UCB"
"27",27,56.398377,0.249176202305852,88.094961,0.110152921751831,"LocalGP-UCB"
"28",28,56.387523,0.244988308750825,88.365184,0.109093855846939,"LocalGP-UCB"
"29",29,56.641158,0.247059709005505,88.667998,0.107946688489991,"LocalGP-UCB"
"30",30,56.937585,0.246669740316595,88.934182,0.106910743902583,"LocalGP-UCB"
"31",31,56.68512,0.250032780822253,89.199522,0.10599704856543,"LocalGP-UCB"
"32",32,56.668195,0.248966005535673,89.451797,0.105144298363853,"LocalGP-UCB"
"33",33,56.922145,0.250721465383836,89.716254,0.104198321751235,"LocalGP-UCB"
"34",34,57.072678,0.251190024741598,89.984726,0.103336817176991,"LocalGP-UCB"
"35",35,57.359281,0.25183563826467,90.221407,0.102408711618967,"LocalGP-UCB"
"36",36,57.316186,0.253349509122709,90.466529,0.101371721780848,"LocalGP-UCB"
"37",37,57.02765,0.252701500788183,90.650478,0.100800642915176,"LocalGP-UCB"
"38",38,57.611957,0.253578844872895,90.88617,0.0999919010777279,"LocalGP-UCB"
"39",39,57.485064,0.254041442692036,91.096412,0.0990471094460336,"LocalGP-UCB"
"40",40,57.452909,0.252467797866714,91.295814,0.0982755188716974,"LocalGP-UCB"
"41",41,57.533347,0.253170823831189,91.459487,0.0977283758599718,"LocalGP-UCB"
