"participant","leaveoutindex","reward","horizon","kError","beta","tau"
1,1,"Cumulative",20,4.20757518551641,0.16805840134235,0.00673803837108003
1,2,"Cumulative",20,4.82404155302655,0.175068173300181,0.00673812594357018
1,3,"Cumulative",20,5.15857311543141,0.162907921413691,0.00673942462497966
1,4,"Cumulative",20,4.88914036556141,0.167342091644474,0.00673853049368034
1,1,"Cumulative",40,8.02620427189288,0.0067380303243825,0.0067379475706621
1,2,"Cumulative",40,7.07421851621178,0.00680566138628496,0.00673794709400764
1,3,"Cumulative",40,5.2612169778974,0.188494031263629,0.00673794830007387
1,4,"Cumulative",40,8.24848485012897,0.00673797201636611,0.00673795177160156
2,1,"Cumulative",20,11.7413673178913,0.505675009112991,0.0154031440180321
2,2,"Cumulative",20,1.65896781027222,0.261502869290175,0.0391824264862774
2,3,"Cumulative",20,1.12680553358538,44.6062071222369,31.3839651167642
2,4,"Cumulative",20,7.2758776715309,1.06925911191855,0.0900118145410863
2,1,"Cumulative",40,0.807984872436554,0.256085498397581,0.253452645181686
2,2,"Cumulative",40,0.977628754121141,0.318700252810879,0.341845849471702
2,3,"Cumulative",40,4.99216642745124,0.371552991002624,0.0186349714904882
2,4,"Cumulative",40,1.37258209413718,0.211108937361318,0.185988176655039
3,1,"Cumulative",20,6.70559904096549,0.503561073220043,0.0249493860332186
3,2,"Cumulative",20,0.580521845185972,46.6211678694767,0.417573872285581
3,3,"Cumulative",20,4.45284233512503,0.610518888241122,0.065147989384681
3,4,"Cumulative",20,4.95219039070545,0.552950381702676,0.0492389519456842
3,1,"Cumulative",40,1.27945681499036,0.344824895161055,0.0339368433152572
3,2,"Cumulative",40,2.44666740446872,0.396631438433555,0.0196206055652259
3,3,"Cumulative",40,0.93092941085283,22.1738339479481,0.010163443899264
3,4,"Cumulative",40,2.09565238209878,0.367700327011387,0.0233951700798791
4,1,"Cumulative",20,4.25326068026782,0.0147336777910333,0.0169423278791001
4,2,"Cumulative",20,3.76223552560321,0.100265672156494,0.0131081135890113
4,3,"Cumulative",20,2.21363930362286,0.0193410949716091,0.0333761574201949
4,4,"Cumulative",20,2.36178149621374,0.0302607622308638,0.0265084482219083
4,1,"Cumulative",40,7.91747323168551,0.0833767103968034,0.00673799134718883
4,2,"Cumulative",40,4.85264322090457,0.0248581099365388,0.0134230951980612
4,3,"Cumulative",40,5.71522126033054,0.0176673399222986,0.0134817855394456
4,4,"Cumulative",40,5.45953701641226,0.0190614301634802,0.013454297245274
5,1,"Best",20,5.9545669675591,0.290507473124778,0.00673794852541169
5,2,"Best",20,5.37180071703797,0.271368565876556,0.00675331783205882
5,3,"Best",20,5.58618088281318,0.272617809311173,0.0067386094295917
5,4,"Best",20,4.82409870241295,0.269914653725014,0.00673905508791303
5,1,"Best",40,5.32334134325122,0.239219037221451,0.00673997341044363
5,2,"Best",40,4.66950970770127,0.272816983965141,0.00673954170903177
5,3,"Best",40,3.30454327226524,0.206571860899105,0.0164486877564021
5,4,"Best",40,3.51949779666505,0.215368806930682,0.0144942607718909
6,1,"Best",20,0.00673854436912318,0.0067379512256329,0.329745193784337
6,2,"Best",20,0.00674467056032297,0.00673794710408067,0.342086696118568
6,3,"Best",20,0.00673795508639887,0.00673794734734812,0.372735186495657
6,4,"Best",20,1.0375769906787,112.925487409225,0.0210582141533114
6,1,"Best",40,0.00673794715235489,0.0673883825394724,0.292407930320353
6,2,"Best",40,0.00673794705332958,0.0490049925205622,0.322239979193824
6,3,"Best",40,0.00674067962153678,0.0988050417491537,0.22744228014552
6,4,"Best",40,0.00673794746437044,0.0727170045793526,0.271634050355509
7,1,"Cumulative",20,2.04799560338883,0.00673796025010813,0.0168890327263218
7,2,"Cumulative",20,10.7362587275986,0.00673797396699972,0.00673797374942806
7,3,"Cumulative",20,9.41168689370302,0.0067379471190656,0.00673794964210809
7,4,"Cumulative",20,11.7299737632178,0.00673810477080738,0.00673797171118026
7,1,"Cumulative",40,1.34450418757251,0.00673794705671338,0.0274361997269428
7,2,"Cumulative",40,11.9134167398516,0.0067379892496348,0.00673799121614649
7,3,"Cumulative",40,4.79987863509677,0.00673797726288838,0.0274578607549721
7,4,"Cumulative",40,4.798708840305,0.00673796309813645,0.0271171948113189
8,1,"Cumulative",20,7.48007450074049,0.00673794894105101,0.00673794911990219
8,2,"Cumulative",20,5.9039687245269,0.0067379542279288,0.00673795326166284
8,3,"Cumulative",20,6.41878539220364,0.0067379527245577,0.00673795972390586
8,4,"Cumulative",20,2.06343197209005,0.0165786310482427,0.0561557021453234
8,1,"Cumulative",40,8.06931402956742,0.121969204116031,0.00673809207685113
8,2,"Cumulative",40,10.1225070094037,0.00750765405657964,0.00673892384278078
8,3,"Cumulative",40,3.29760153646917,0.00673804808565824,0.0236086223103733
8,4,"Cumulative",40,5.31711137468709,0.00673795035258516,0.0187366723035087
9,1,"Cumulative",20,18.8358317697839,0.346268683651121,0.00675620097410967
9,2,"Cumulative",20,20.9071325448717,0.410345250963581,0.00675239888976178
9,3,"Cumulative",20,12.9966093413934,0.362892501221128,0.00779757313599168
9,4,"Cumulative",20,15.2776118331113,1.75611675503983,0.0234978581008556
9,1,"Cumulative",40,0.453578249813608,0.626627155249917,0.655925071124304
9,2,"Cumulative",40,0.356173845929291,0.831458398236181,0.731286697583568
9,3,"Cumulative",40,0.679187802655973,0.366396810908899,0.274875816242948
9,4,"Cumulative",40,5.63603074361815,0.934804361663222,0.0622103585460247
10,1,"Cumulative",20,0.0520089571935086,0.21990649658438,0.00952231782306657
10,2,"Cumulative",20,8.74303501539532,0.153407762133621,0.00673972058994486
10,3,"Cumulative",20,8.76368448593995,0.155106140368824,0.00674502356632125
10,4,"Cumulative",20,8.18836695686377,0.154313594729542,0.00673795279802631
10,1,"Cumulative",40,2.22924237041198,0.0711369254698661,0.0555761815109443
10,2,"Cumulative",40,3.07831853249926,0.133397937354397,0.0218382727322568
10,3,"Cumulative",40,2.21750593271701,0.15383431359895,0.045411156605551
10,4,"Cumulative",40,1.92673409686002,0.0843226202242729,0.0530664642776593
11,1,"Best",20,0.0613936059549587,2.04065832043212,0.0368051344722597
11,2,"Best",20,0.0197619847564173,2.16981291610514,0.0334198419491168
11,3,"Best",20,0.734854376024801,18.336128088738,0.0437418359033906
11,4,"Best",20,0.0372976639101528,3.93634845098116,0.0242402858119783
11,1,"Best",40,0.0156745865652981,49.3546346000534,0.0631933261193017
11,2,"Best",40,0.0229456433155001,65.332555701398,0.533450547182596
11,3,"Best",40,0.150404892150016,61.1577888656621,0.603563156810461
11,4,"Best",40,0.394970693072849,45.3751237980948,0.235180334625931
12,1,"Best",20,1.63711663112654,0.147857353739577,0.100433207106431
12,2,"Best",20,5.62492688441977,0.351477527529207,0.0361245885590969
12,3,"Best",20,1.75398738359288,0.197664318667237,0.150794485410424
12,4,"Best",20,9.1266776727778,0.406288917612949,0.0105539106711291
12,1,"Best",40,0.0966373797140831,39.1128395959659,0.751083991348436
12,2,"Best",40,0.131590903957841,103.475092842161,26.5167485308157
12,3,"Best",40,0.959590927150008,45.7585074763005,18.4934017028875
12,4,"Best",40,0.674640097848275,59.6449212759233,18.9859260457315
13,1,"Best",20,0.975406186482462,6.40319529255826,0.0227647170154991
13,2,"Best",20,0.0460409635378974,1.88824798033241,0.0715516976545644
13,3,"Best",20,0.00897772966313579,3.43570573170921,0.131384195029522
13,4,"Best",20,0.00914369471045479,24.7988303016279,0.0122889973510569
13,1,"Best",40,0.0878754584994419,11.9976767302079,0.0776040953596335
13,2,"Best",40,0.221444708610574,10.1484741526659,0.04376440950723
13,3,"Best",40,0.101238546351197,11.3686170487417,0.00952753620901595
13,4,"Best",40,0.109165369237506,6.2537949647236,0.0219840137046722
14,1,"Best",20,11.4852982308957,0.594843213190163,0.00972201650463861
14,2,"Best",20,0.0806080326221599,22.2557820756415,0.152000097887837
14,3,"Best",20,11.3441990643217,0.614479752429005,0.00999040744055503
14,4,"Best",20,9.18750281907093,0.403159674939954,0.00925883883716912
