"participant","leaveoutindex","reward","horizon","lambda","beta","tau"
1,1,"Cumulative",20,1.04408216985436,0.150354958657884,0.00674021568049332
1,2,"Cumulative",20,0.891025203812677,0.143354267163487,0.0243989720100966
1,3,"Cumulative",20,0.887777911110723,0.162723477491013,0.0220084068993989
1,4,"Cumulative",20,1.03346877670582,0.11894540466197,0.0246503686292941
1,1,"Cumulative",40,0.9429670339622,0.041756126452087,0.0334422656805772
1,2,"Cumulative",40,0.905301682035711,0.0369942192666733,0.0279688443190834
1,3,"Cumulative",40,0.556161500353062,0.292410677871165,0.0107663258817058
1,4,"Cumulative",40,0.958479641648201,0.0559746287973211,0.0342769355094601
2,1,"Cumulative",20,1.14926692029906,0.00673795449823747,0.135852584485033
2,2,"Cumulative",20,1.10548906183281,0.00673795016985613,0.105749849975439
2,3,"Cumulative",20,1.14577493937716,0.0067379565689213,0.135060460417662
2,4,"Cumulative",20,0.430057019333535,0.500291017769301,0.00673803981295545
2,1,"Cumulative",40,1.20671909635461,0.0067379497698043,0.169733185437301
2,2,"Cumulative",40,1.18721998284616,0.0067379504460689,0.167840657062298
2,3,"Cumulative",40,1.22157471818903,0.0067379975022138,0.172949633870921
2,4,"Cumulative",40,1.33002402544324,0.0067379501772449,0.175887934508381
3,1,"Cumulative",20,0.455858523344055,0.499950602993829,0.00674544424990308
3,2,"Cumulative",20,0.451412332210601,0.507767762155987,0.006748801280379
3,3,"Cumulative",20,0.474546112453802,0.502519566073113,0.00673797478832039
3,4,"Cumulative",20,0.456063395977111,0.499857983500161,0.00677520638404033
3,1,"Cumulative",40,0.420345898563788,0.506418593980698,0.00673794813083298
3,2,"Cumulative",40,0.421937256147969,0.505569392917607,0.00673795378861777
3,3,"Cumulative",40,0.401347305469308,0.515721194928706,0.00673799919390485
3,4,"Cumulative",40,0.405566828990292,0.508621812292485,0.00677101662665989
4,1,"Cumulative",20,0.954048324785143,0.055620547367152,0.0295763126620219
4,2,"Cumulative",20,0.93921657918682,0.0842218126980976,0.0315317775542825
4,3,"Cumulative",20,1.05384179743097,0.0871351748273673,0.028159583976581
4,4,"Cumulative",20,1.00142002998889,0.064657653200552,0.0281059424906815
4,1,"Cumulative",40,0.871970636473007,0.100001794608549,0.0338276941988065
4,2,"Cumulative",40,0.946465038803125,0.047563896814089,0.030868771726125
4,3,"Cumulative",40,1.04203065825719,0.0403407009061911,0.0337372790888865
4,4,"Cumulative",40,1.00162825761441,0.04088594306005,0.0315033779755787
5,1,"Best",20,0.654468009773073,0.342475800310178,0.0251722582549336
5,2,"Best",20,1.00390030905046,0.0483769610111345,0.0861092238694673
5,3,"Best",20,0.618441390148866,0.312281945874243,0.0302532851393557
5,4,"Best",20,1.20836164213629,0.0584483856171014,0.063338489391119
5,1,"Best",40,0.59325559615915,0.26592640002475,0.0345517768199017
5,2,"Best",40,0.505950971683568,0.334351150169091,0.0231470852500697
5,3,"Best",40,0.571165563283066,0.297679250758607,0.0268266549325521
5,4,"Best",40,0.537513604515088,0.304227526905904,0.0260187859402614
6,1,"Best",20,1.33968301071486,0.00673794817803467,0.205586591710515
6,2,"Best",20,1.3955781952914,0.00673794843336578,0.215371346284847
6,3,"Best",20,2.18329538490075,0.00673799163756729,0.346440711630037
6,4,"Best",20,4.0097496339922,0.00673794740490879,1.53438103045174
6,1,"Best",40,0.961884091168636,0.00673794734958849,0.322803213778799
6,2,"Best",40,1.10511537034395,0.00673794785822908,0.254364688624635
