"participant","leaveoutindex","reward","horizon","kError","beta","tau"
1,1,"Cumulative",20,6.49809202540451,0.0118250526781863,0.0113454812027285
1,2,"Cumulative",20,7.79046233521118,0.00673829004493299,0.00904207845955155
1,3,"Cumulative",20,10.964503487958,0.00898413840113151,0.00675220031313098
1,4,"Cumulative",20,9.98286245472084,0.0068769082662931,0.00673796217709778
1,1,"Cumulative",40,9.55523931086317,0.0071533860105267,0.00673797953987141
1,2,"Cumulative",40,8.95595822608695,0.00776450289574085,0.0067379472330945
1,3,"Cumulative",40,11.3218172156696,0.00720905737401242,0.00675036584798755
1,4,"Cumulative",40,10.2144951859167,0.0077088775640107,0.00673794859622058
2,1,"Cumulative",20,1.14624799361667,1.07747129850611,0.36772361293925
2,2,"Cumulative",20,0.00673941301034027,0.26251746320999,0.0953885867454306
2,3,"Cumulative",20,0.831760287930004,44.9857143301194,15.8171779944707
2,4,"Cumulative",20,1.14399648458393,50.3555572002611,15.8792223495113
2,1,"Cumulative",40,1.1571096968237,0.698865515567602,0.265595579895737
2,2,"Cumulative",40,1.06575671460875,0.7129247400014,0.309839334321565
2,3,"Cumulative",40,0.00675314357416835,0.288260656041038,0.119112687163387
2,4,"Cumulative",40,1.14041467455878,0.487218431402256,0.202334861851551
3,1,"Cumulative",20,0.3333428440233,0.671896770550142,0.274312224239308
3,2,"Cumulative",20,0.00702512839146769,47.2293421058909,19.1674263519241
3,3,"Cumulative",20,0.358716289763306,0.949795760453008,0.404826616499983
3,4,"Cumulative",20,0.275774060008883,0.755862479522998,0.341457570441183
3,1,"Cumulative",40,0.0067390207706589,0.595469258661202,0.250042951739556
3,2,"Cumulative",40,0.00673968055170438,0.598377704546368,0.278295000870403
3,3,"Cumulative",40,0.0067394509012852,43.6430164469671,22.3153698536139
3,4,"Cumulative",40,0.00673796287461389,0.505060437762944,0.237230794717035
4,1,"Cumulative",20,5.95507619030824,0.0206328470740203,0.0168610059100286
4,2,"Cumulative",20,4.47400027317673,0.0300283251148194,0.0257956426165898
4,3,"Cumulative",20,3.23656721350679,0.0478082159792203,0.035450070351156
4,4,"Cumulative",20,3.56681489418866,0.0368837990872758,0.0294877310877651
4,1,"Cumulative",40,12.3937343424523,0.0084784427312501,0.00675099726813052
4,2,"Cumulative",40,10.3683376647069,0.00919300985699719,0.00673904702429367
4,3,"Cumulative",40,11.5775681210418,0.00917804625086246,0.00673800984296253
4,4,"Cumulative",40,11.4959093013417,0.00975083766847115,0.00673794960791488
5,1,"Best",20,0.00673795887806254,0.184959808926034,0.0957523691452916
5,2,"Best",20,0.00673796861798225,0.164914218430064,0.0816366106330037
5,3,"Best",20,0.00673811065993448,0.153146619803211,0.0809062002391413
5,4,"Best",20,0.0067379522070756,0.160783114252203,0.0720330150353278
5,1,"Best",40,4.24609164405276,0.0479552444850019,0.0408305978504974
5,2,"Best",40,4.552113442838,0.0658451014051414,0.0450592980137382
5,3,"Best",40,4.0829122763997,0.0697871326289877,0.0479797351233382
5,4,"Best",40,4.17715954045214,0.0664180268579841,0.0481650622586312
6,1,"Best",20,0.941051899807958,113.914557718533,32.1192751569145
6,2,"Best",20,5.68965354670796,0.311305553809863,0.20219703531263
6,3,"Best",20,10.8273025362149,0.285662878614153,0.203890427517784
6,4,"Best",20,148.298903073062,42.1530428222502,29.8681048115037
6,1,"Best",40,2.11990907177247,0.369186220223647,0.238244095106854
6,2,"Best",40,2.47869358416161,0.549471156880628,0.340837718789759
6,3,"Best",40,1.87699527834209,0.344989499215761,0.214880414174459
6,4,"Best",40,2.07326806198898,0.318604239227772,0.20549799235886
