"participant","leaveoutindex","reward","horizon","lambda","beta","tau"
1,1,"Cumulative",20,0.904676832154503,0.0763544166932505,0.0339100084805231
1,2,"Cumulative",20,0.853800726259603,0.0700175293486948,0.0455201313298054
1,3,"Cumulative",20,0.835166127670429,0.128670995680005,0.0431999552959012
1,4,"Cumulative",20,1.13378719888629,0.041168147544744,0.0430455928542035
1,1,"Cumulative",40,0.97737229125842,0.0376057153012928,0.0353837147570463
1,2,"Cumulative",40,1.32299756495113,0.0263867271502605,0.0253061270541674
1,3,"Cumulative",40,0.636495402192774,0.124443101622982,0.0506314915248864
1,4,"Cumulative",40,0.966041799606483,0.0698918594323721,0.0394348406390755
2,1,"Cumulative",20,0.632380543331579,0.569886749568031,0.0821090161819151
2,2,"Cumulative",20,0.622490393384709,0.495693923737608,0.0771054802474912
2,3,"Cumulative",20,0.638426636624737,0.68606886547704,0.104192278835534
2,4,"Cumulative",20,0.654898169171068,0.590918248793559,0.0915882865807224
2,1,"Cumulative",40,0.590845980466974,0.527515003509625,0.0867908981092109
2,2,"Cumulative",40,0.583975616582509,0.52248301409903,0.0971395312276341
2,3,"Cumulative",40,0.594769582620597,0.556789269377965,0.0992029740299441
2,4,"Cumulative",40,0.57215349291653,0.508653394103267,0.0931118470877399
3,1,"Cumulative",20,0.644762217839411,0.51276712491676,0.0869549425132364
3,2,"Cumulative",20,0.668716417645012,0.589686700851271,0.100484247506534
3,3,"Cumulative",20,0.659079725321152,0.556977361813687,0.0997912123864914
3,4,"Cumulative",20,0.658534025698529,0.521971960241952,0.0959318064532907
3,1,"Cumulative",40,0.657843196364383,0.616775501329098,0.106340384260081
3,2,"Cumulative",40,0.678314725947899,0.54844933870238,0.103612240044791
3,3,"Cumulative",40,0.694236175749588,0.570192614039181,0.114344611645856
3,4,"Cumulative",40,0.636016408645428,0.57821144217954,0.109890470639919
4,1,"Cumulative",20,0.954828437641936,0.0500865357086786,0.0352538162356071
4,2,"Cumulative",20,0.968880197541466,0.0298997510178552,0.0453161514766296
4,3,"Cumulative",20,1.03233542886465,0.0787137273194421,0.038956723583971
4,4,"Cumulative",20,0.971934491549759,0.0598372963624872,0.0395545374255128
4,1,"Cumulative",40,0.822571034614246,0.11726998171983,0.0448290722299986
4,2,"Cumulative",40,0.832956304947101,0.117199076244762,0.0355915414613028
4,3,"Cumulative",40,0.870124757021305,0.112983493730998,0.0416081252659438
4,4,"Cumulative",40,1.18486992093631,0.159881690308687,0.0378313084523603
5,1,"Best",20,0.785994568912598,0.374383431874602,0.0882086329841855
5,2,"Best",20,0.640751774528556,0.3418652301913,0.0777767662433077
5,3,"Best",20,0.626539622851174,0.303843778249779,0.0775989647811365
5,4,"Best",20,0.794240393633944,0.300399596570039,0.0691856859712359
5,1,"Best",40,0.942935664580505,0.206661888190965,0.0681095212841689
5,2,"Best",40,0.621817581495786,0.269788041913563,0.070897016410509
5,3,"Best",40,0.660420389042553,0.284528856479307,0.0668302640449934
5,4,"Best",40,0.621717026209215,0.252959141876079,0.0712247521797149
6,1,"Best",20,1.29411074801859,1.04686014938805,0.209170881861644
6,2,"Best",20,1.07734158406695,0.821427264743608,0.183837727356513
6,3,"Best",20,1.4782411001708,1.55693347511553,0.269092015559289
6,4,"Best",20,147.518156744669,135.835063626968,0.485490362880806
6,1,"Best",40,0.492064029537433,0.376245678817305,0.115003058214101
6,2,"Best",40,121.840758009135,126.589033445344,0.417758142499094
6,3,"Best",40,0.509356586780462,0.364411270777942,0.107834154747553
6,4,"Best",40,0.510930176145268,0.358024313181471,0.110428609347991
7,1,"Cumulative",20,1.29503302540802,0.0380968373351577,0.0203745701849051
7,2,"Cumulative",20,0.63282371547287,0.203086463519293,0.050731360170044
7,3,"Cumulative",20,0.662358449417451,0.180803702999446,0.0528943470256905
7,4,"Cumulative",20,0.59449883661346,0.234581707269119,0.0621308470441366
7,1,"Cumulative",40,0.663166141469832,0.0822512101352263,0.0241722610370793
7,2,"Cumulative",40,0.343543971956494,0.163357779182441,0.02756552916065
7,3,"Cumulative",40,0.435237344251448,0.175219093113605,0.0321905681431147
7,4,"Cumulative",40,0.282578420021056,0.177897062469111,0.0300599875930943
8,1,"Cumulative",20,0.44132456142964,0.255357758876265,0.0571265178605447
8,2,"Cumulative",20,0.502506167741936,0.154506183878786,0.0315555134317166
8,3,"Cumulative",20,148.188620368134,58.8119613276075,0.131805199434464
8,4,"Cumulative",20,0.488176389484091,0.298073274636475,0.0569711196082951
8,1,"Cumulative",40,0.534003437307365,0.173847806954563,0.0446663228279786
8,2,"Cumulative",40,0.506181775824214,0.24233772118478,0.046021876690891
8,3,"Cumulative",40,0.531834658073532,0.17318448926456,0.0289478496799655
8,4,"Cumulative",40,0.480608431446694,0.191712779876415,0.0420687154286475
9,1,"Cumulative",20,0.61303577829727,0.562289190112765,0.102539392831391
9,2,"Cumulative",20,0.644533447452785,0.56026830735843,0.105372180996317
9,3,"Cumulative",20,0.643079584106113,0.601816067758484,0.119512277116217
9,4,"Cumulative",20,0.649056783574388,0.477549641681042,0.0866347342523713
9,1,"Cumulative",40,0.564958457998641,0.577148505605819,0.112826595015479
9,2,"Cumulative",40,0.530754663254964,0.702870089750053,0.140059699380016
9,3,"Cumulative",40,0.53477582182227,0.575391120276723,0.103574406821601
9,4,"Cumulative",40,0.516550223814438,0.712858366673903,0.134112752445115
10,1,"Cumulative",20,0.689859822455866,0.401434543387056,0.0751326815735415
10,2,"Cumulative",20,0.715171510673394,0.415102042454385,0.0736132772206398
10,3,"Cumulative",20,0.676735488510597,0.418418064030922,0.0764628709942955
10,4,"Cumulative",20,0.748994060345609,0.408064954347783,0.0695013587111184
10,1,"Cumulative",40,0.610901868056826,0.28867330589414,0.056146941502545
10,2,"Cumulative",40,0.535583847176359,0.265682802622439,0.0482353548658864
10,3,"Cumulative",40,0.612562545814677,0.386682401726971,0.0642301174084678
10,4,"Cumulative",40,0.549901762018662,0.301314832227061,0.0540521332477432
11,1,"Best",20,0.714555269336793,0.432520401131517,0.0655639878617905
11,2,"Best",20,0.728635545063134,0.390582418528089,0.062747459405965
11,3,"Best",20,0.738779796021273,0.404407484244794,0.0605131016926105
11,4,"Best",20,0.738491797918525,0.414653242339058,0.0613192911956066
11,1,"Best",40,0.657816775812979,0.504749326802241,0.0887097208624928
11,2,"Best",40,0.697145092317566,0.493437614714546,0.0850385829353454
11,3,"Best",40,0.744710193960598,0.376615527233759,0.0664377396011503
11,4,"Best",40,0.662631443803119,0.506361350384497,0.0877912047973695
12,1,"Best",20,0.489189691526143,0.426436498115922,0.084317384279793
12,2,"Best",20,0.68495071168951,0.659124209391316,0.137150175411398
12,3,"Best",20,0.0149661783177289,0.522995496536807,0.103746148186648
12,4,"Best",20,0.640315830189556,1.05667152629872,0.205611913046378
12,1,"Best",40,0.60567172449782,1.45190354701009,0.250870150239016
12,2,"Best",40,0.567952064922165,1.21541810408385,0.215048109059133
12,3,"Best",40,0.523161890616678,0.819410624818197,0.134222110659972
12,4,"Best",40,0.58864139880287,1.37312533429511,0.253714315917475
13,1,"Best",20,0.721315627129044,0.499247829015994,0.097714329210514
13,2,"Best",20,0.683941011405554,0.509485609132086,0.086735448256353
13,3,"Best",20,0.665390413009466,0.45268938655224,0.0898828974328055
13,4,"Best",20,0.719223294872833,0.539369317685656,0.102317594286958
13,1,"Best",40,0.605127317045487,0.621707047104374,0.111963433549866
13,2,"Best",40,0.636170963908889,0.656879214872616,0.119225631332371
13,3,"Best",40,0.682354257708655,0.596243120864247,0.106855550921481
13,4,"Best",40,0.689964942996779,0.585699368569056,0.108005468783441
14,1,"Best",20,0.693717956317141,0.529424899305563,0.116958631516085
14,2,"Best",20,0.92580456492237,0.37888439008344,0.0881516203887825
14,3,"Best",20,0.722347991346342,0.525819351966943,0.112689134141487
14,4,"Best",20,0.733231169613175,0.459239310916137,0.103230666375051
14,1,"Best",40,0.916935651814306,0.371212581185878,0.087347895755152
14,2,"Best",40,0.716080549511651,0.4704017342423,0.102495736292509
14,3,"Best",40,0.737558292601943,0.496919678715943,0.110648255538055
14,4,"Best",40,0.793859184941758,0.424102949596214,0.103675717246505
15,1,"Cumulative",20,0.932266354914173,0.449092103651607,0.0769413962545129
15,2,"Cumulative",20,0.85233336202645,0.468396146599791,0.0934959103818336
15,3,"Cumulative",20,0.956865277049656,0.498240996123035,0.0933230740030695
15,4,"Cumulative",20,0.808271435677464,0.545950489592436,0.0972952006216823
15,1,"Cumulative",40,0.705289582394798,0.527676077952138,0.0912467618001019
15,2,"Cumulative",40,0.710098486844951,0.543849614470313,0.0912742014785299
15,3,"Cumulative",40,0.705419837082206,0.537023576495979,0.0973242562081024
15,4,"Cumulative",40,0.683544791349403,0.466363702898597,0.0810075688919168
16,1,"Cumulative",20,0.589718197357061,0.508781673353601,0.0952981356785489
16,2,"Cumulative",20,0.575815951784619,0.557043649383301,0.107951337977069
16,3,"Cumulative",20,0.687797004698677,0.496531870094234,0.0862712884198845
16,4,"Cumulative",20,0.622023497023007,0.551131572197253,0.0929739785195296
16,1,"Cumulative",40,92.845825775541,81.6812161608203,0.195946262644023
16,2,"Cumulative",40,0.301360910554221,148.404526994306,18.8374735021169
