"","trial","meanReward","meanSE","maxReward","maxSE","Model"
"1",1,47.946609,0.211283179030622,47.946609,0.211283179030622,"Random"
"2",2,47.834476,0.210525818056953,59.242357,0.18158696091926,"Random"
"3",3,48.013439,0.213334355140086,65.071877,0.166450412371568,"Random"
"4",4,47.913329,0.212637648980025,68.784671,0.157803026608163,"Random"
"5",5,48.087549,0.208877185939826,71.392687,0.150900178612862,"Random"
"6",6,47.594922,0.2125732407987,73.392286,0.146402779826117,"Random"
"7",7,47.766786,0.2094106023941,74.976292,0.142620548691851,"Random"
"8",8,47.869252,0.212393411974559,76.458635,0.139458014615373,"Random"
"9",9,47.242722,0.210201334227837,77.578427,0.13710843661827,"Random"
"10",10,48.157011,0.211649898869707,78.695695,0.134453002728432,"Random"
"11",11,47.759356,0.211491768854856,79.594255,0.132237870846237,"Random"
"12",12,47.130076,0.212807856781213,80.341712,0.130543640071441,"Random"
"13",13,47.756777,0.210832526906233,81.068727,0.129186134219871,"Random"
"14",14,47.707641,0.2098538250004,81.731828,0.127526982215376,"Random"
"15",15,47.829721,0.210858538583443,82.392975,0.125880659753544,"Random"
"16",16,47.461774,0.209621407243463,82.912615,0.124390373750084,"Random"
"17",17,47.430335,0.211004996544239,83.4108,0.122783073794074,"Random"
"18",18,47.899833,0.212355082365155,83.89212,0.121478084068901,"Random"
"19",19,48.142011,0.208390283491369,84.366526,0.120252586939321,"Random"
"20",20,47.8044,0.211044563883542,84.776833,0.119506404899873,"Random"
"21",21,48.00584,0.214860984987333,85.20422,0.118652303500912,"Random"
"22",22,47.582159,0.211230191081281,85.602297,0.117364046834318,"Random"
"23",23,47.419615,0.210153513865737,85.913437,0.116540417892692,"Random"
"24",24,47.547973,0.211865100311968,86.255725,0.115599544631064,"Random"
"25",25,48.219019,0.209769878850542,86.587588,0.114713628317989,"Random"
"26",26,47.8645,0.210123632300332,86.889961,0.113780757691843,"Random"
"27",27,47.791404,0.211472018197033,87.185717,0.112871675490815,"Random"
"28",28,47.6419,0.212292222344029,87.481753,0.112220377530163,"Random"
"29",29,47.80959,0.211232600751759,87.760833,0.1113371737482,"Random"
"30",30,47.933062,0.210824041712685,88.032002,0.110663073528544,"Random"
"31",31,47.551438,0.213299786134661,88.308001,0.109764161302816,"Random"
"32",32,47.993237,0.210513707247953,88.532893,0.109038231843952,"Random"
"33",33,47.696244,0.20983380054136,88.734132,0.108410057442624,"Random"
"34",34,47.48854,0.208630825615439,88.961757,0.107570178500481,"Random"
"35",35,47.462882,0.208862174033935,89.175964,0.10678018943585,"Random"
"36",36,47.674736,0.210387045176047,89.37526,0.106107351216766,"Random"
"37",37,47.794125,0.211239828417722,89.576398,0.105520681072352,"Random"
"38",38,48.075788,0.210873419856144,89.782004,0.10460859400734,"Random"
"39",39,47.484492,0.21163063160284,89.954848,0.10408020158765,"Random"
"40",40,48.064632,0.210798929658886,90.155664,0.103281702827385,"Random"
"41",41,47.8699,0.211428405305571,90.334837,0.102573577909867,"Random"
